type,value,exactMatch,partialMatch,matchValue,typeMatch,note
date,21 March 1575,,,,,
per,San Francesco,exact,,San Francesco,,
loc,Cividale,exact,,Cividale,true,
loc,Friuli,exact,,Friuli,true,
per,Monsignor Jacopo Maracco,,,,,
per,Fra Giulio,exact,,Fra Giulio,,
loc,Assisi,exact,,Assisi,,
org,Order of the Minor Conventuals,,,,,
loc,Aquileia,,partial,Aquileia and Concordia,,
loc,Concordia,,partial,Aquileia and Concordia,,
per,Don Bartolomeo Sgabarizza,exact,,Don Bartolomeo Sgabarizza,true,
loc,Brazzano,exact,,Brazzano,true,
per,Pietro Rotaro,exact,,Pietro Rotaro,true,
loc,Iassico,exact,,Iassico,true,
per,Paolo Gasparutto,exact,,Paolo Gasparutto,true,
per,Sgabarizza,exact,,Sgabarizza,,
per,Gasparutto,exact,,Gasparutto,true,
misc,Ember Days,exact,,Ember Days,,event
loc,Cormons,exact,,Cormons,,
loc,Verona,exact,,Verona,true,
loc,Cividale,exact,,Cividale,true,
misc,Easter,exact,,Easter,,event
loc,Gorizia,exact,,Gorizia,true,
misc,benandanti,,,,,germain to subject of text
date,7 April,exact,,7 April,,
org,Holy Office,exact,,Holy Office,true,
misc,Mass,,partial,Masses,,event
lolc,Iudri,,,,,
per,Rotaro,exact,,Rotaro,true,
per,Paolo,exact,,Paolo,true,
loc,Gradisca,exact,,Gradisca,true,
misc,Thursday,exact,,Thursday,,day
per,Battista Moduco,exact,,Battista Moduco,true,
misc,benandante,,,,,germain to subject of text
misc,Thursdays,exact,,Thursdays,,day
per,Troiano ,,partial,Troiano de'Attimis,,
loc,Attimis,,partial,Troiano de'Attimis,,
per,Maracco,exact,,Maracco,,
per,Giulio,exact,,Giulio,true,
date,27 June 1580,,,,,
per,Fra Felice,exact,,Fra Felice,true,
loc,Montefalco,exact,,Montefalco,true,
per,God,exact,,God,true,
per,Gamba Securta,,,,,
loc,Trivignano,exact,,Trivignano,,
per,Moduco,exact,,Moduco,,
per,Christ,exact,,Christ,,
loc,Cologne ,,,,,
loc,Azzano,exact,,Azzano,true,
loc,Cirghinis,exact,,Cirghinis,,
misc,Inquisition,exact,,Inquisition,,event
date,28 June,exact,,28 June,,
loc,Vicenza,exact,,Vicenza,true,
per,Baptista Vicentino ,,,,,
misc,Christmas,exact,,Christmas,,event
misc,Rogation Days,exact,,Rogation Days,,event
loc,Chiana,exact,,Chiana,true,
loc,Capodistria,,,,,
loc,Udine,exact,,Udine,true,
date,24 September,,,,,
date,1618-19,,partial,1618-19 -,,
date,1621-23 ,,,,,
per,Lord Jesus Christ,exact,,Lord Jesus Christ,,
date,2 October,,,,,
loc,Trivigniano,exact,,Trivigniano,true,
per,Madonna,exact,,Madonna,,
date,26 November 1581,exact,,26 November 1581,,
per,San Bernardino,exact,,San Bernardino,,
loc,Rome,exact,,Rome,true,
loc,Istria,,partial,Friuli and Istria,,
loc,Italy,exact,,Italy,true,
per,Domenica Barbarelli,exact,,Domenica Barbarelli,,
loc,Novi,exact,,Novi,true,
misc,Modenese Inquisition,,,,,event
date,1532,,,,,
per,Diana,exact,,Diana,,
per,Alfonso Tostado,exact,,Alfonso Tostado,true,
misc,Genesis,exact,,Genesis,,name of work
per,Giovanni Battista Della Porta,,partial,A half century later Giovanni Battista Della Porta,,
per,Latisana,exact,,Latisana,,
per,Menichino,exact,,Menichino,,
org,Venetian Holy Office,exact,,Venetian Holy Office,true,
date,1591,exact,,1591,,
misc,Gospels,,partial,Gospels I,,name of work
loc,Palmanova,exact,,Palmanova,true,
per,Menica,exact,,Menica,,
per,Maria Panzona,exact,,Maria Panzona,true,
per,Margherita,,partial,Margherita of San Rocco,,
loc,San Rocco,,partial,Margherita of San Rocco,,
date,1571,,,,,
loc,Lucca,exact,,Lucca,,
per,Polissena,,partial,Polissena of San Macario,,
loc,San Macario,,partial,Polissena of San Macario,,
per,Lena,,partial,Lena of Pescaglia,,
loc,Pescaglia,,partial,Lena of Pescaglia,,
date,1589,,,,,
per,Crezia,,partial,Crezia of Pieve San Paolo,,
loc,Pieve San Paulo,,,,,
per,Gianna,exact,,Gianna,,
date,1 October 1580,exact,,1 October 1580,,
