type,value,exactMatch,partialMatch,matchValue,typeMatch,note
date,21 March 1575,,,,False,
per,San Francesco,exact,,San Francesco,False,
loc,Cividale,exact,,Cividale,True,
loc,Friuli,exact,,Friuli,False,
per,Monsignor Jacopo Maracco,,,,False,
per,Fra Giulio,exact,,Fra Giulio,True,
loc,Assisi,,,,False,
org,Order of the Minor Conventuals,,partial,Minor Conventuals,False,
loc,Aquileia,exact,,Aquileia,True,
loc,Concordia,exact,,Concordia,True,
per,Don Bartolomeo Sgabarizza,exact,,Don Bartolomeo Sgabarizza,True,
loc,Brazzano,exact,,Brazzano,True,
per,Pietro Rotaro,exact,,Pietro Rotaro,True,
loc,Iassico,exact,,Iassico,True,
per,Paolo Gasparutto,exact,,Paolo Gasparutto,True,
per,Sgabarizza,exact,,Sgabarizza,True,
per,Gasparutto,exact,,Gasparutto,True,
misc,Ember Days,exact,,Ember Days,True,event
loc,Cormons,,,,False,
loc,Verona,exact,,Verona,True,
loc,Cividale,exact,,Cividale,True,
misc,Easter,,,,False,event
loc,Gorizia,exact,,Gorizia,True,
misc,benandanti,,,,False,germain to subject of text
date,7 April,,,,False,
org,Holy Office,exact,,Holy Office,False,
misc,Mass,exact,,Mass,False,event
lolc,Iudri,exact,,Iudri,False,
per,Rotaro,exact,,Rotaro,True,
per,Paolo,exact,,Paolo,True,
loc,Gradisca,exact,,Gradisca,True,
misc,Thursday,,,,False,day
per,Battista Moduco,exact,,Battista Moduco,True,
misc,benandante,,,,False,germain to subject of text
misc,Thursdays,,,,False,day
per,Troiano ,,partial,Troiano,True,
loc,Attimis,,partial,Troiano de 'Attimis,False,
per,Maracco,,,,False,
per,Giulio,,partial,Fra Giulio,True,
date,27 June 1580,,,,False,
per,Fra Felice,exact,,Fra Felice,True,
loc,Montefalco,exact,,Montefalco,True,
per,God,exact,,God,True,
per,Gamba Securta,,,,False,
loc,Trivignano,exact,,Trivignano,True,
per,Moduco,exact,,Moduco,True,
per,Christ,,partial,Jesus Christ,True,
loc,Cologne ,,partial,Cologne,True,
loc,Azzano,exact,,Azzano,True,
loc,Cirghinis,exact,,Cirghinis,True,
misc,Inquisition,,partial,Modenese Inquisition,True,event
date,28 June,,,,False,
loc,Vicenza,exact,,Vicenza,True,
per,Baptista Vicentino ,,partial,Baptista Vicentino,False,
misc,Christmas,exact,,Christmas,False,event
misc,Rogation Days,exact,,Rogation Days,True,event
