type,value,exactMatch,partialMatch,matchValue,typeMatch,note
date,21 March 1575,,,,,
per,San Francesco,exact,,San Francesco,,
loc,Cividale,exact,,Cividale,,
loc,Friuli,exact,,Friuli,,
per,Monsignor Jacopo Maracco,,,,,
per,Fra Giulio,exact,,Fra Giulio,,
loc,Assisi,exact,,Assisi,,
org,Order of the Minor Conventuals,,,,,
loc,Aquileia,exact,,Aquileia,,
loc,Concordia,exact,,Concordia,,
per,Don Bartolomeo Sgabarizza,exact,,Don Bartolomeo Sgabarizza,,
loc,Brazzano,exact,,Brazzano,,
per,Pietro Rotaro,exact,,Pietro Rotaro,,
loc,Iassico,exact,,Iassico,,
per,Paolo Gasparutto,exact,,Paolo Gasparutto,,
per,Sgabarizza,exact,,Sgabarizza,,
per,Gasparutto,exact,,Gasparutto,,
misc,Ember Days,exact,,Ember Days,,event
loc,Cormons,exact,,Cormons,,
loc,Verona,exact,,Verona,,
loc,Cividale,exact,,Cividale,,
misc,Easter,exact,,Easter,,event
loc,Gorizia,exact,,Gorizia,,
misc,benandanti,exact,,Benandanti,,germain to subject of text
date,7 April,,,,,
org,Holy Office,exact,,Holy Office,,
misc,Mass,exact,,Mass,,event
lolc,Iudri,exact,,Iudri,,
per,Rotaro,exact,,Rotaro,,
per,Paolo,exact,,Paolo,,
loc,Gradisca,exact,,Gradisca,,
misc,Thursday,exact,,Thursday,,day
per,Battista Moduco,exact,,Battista Moduco,,
misc,benandante,,,,,germain to subject of text
misc,Thursdays,exact,,Thursdays,,day
per,Troiano ,,,,,
loc,Attimis,,,,,
per,Maracco,exact,,Maracco,,
per,Giulio,exact,,Giulio,,
date,27 June 1580,,,,,
per,Fra Felice,exact,,Fra Felice,,
loc,Montefalco,exact,,Montefalco,,
per,God,exact,,God,,
per,Gamba Securta,,,,,
loc,Trivignano,exact,,Trivignano,,
per,Moduco,exact,,Moduco,,
per,Christ,exact,,Christ,,
loc,Cologne ,,,,,
loc,Azzano,exact,,Azzano,,
loc,Cirghinis,,,,,
misc,Inquisition,exact,,Inquisition,,event
date,28 June,,,,,
loc,Vicenza,,partial,Vicenza Baptista Vicentino,,
per,Baptista Vicentino ,,,,,
misc,Christmas,exact,,Christmas,,event
misc,Rogation Days,exact,,Rogation Days,,event
loc,Chiana,,,,,
loc,Capodistria,,,,,
loc,Udine,exact,,Udine,,
date,24 September,,,,,
date,1618-19,,,,,
date,1621-23 ,,,,,
per,Lord Jesus Christ,exact,,Lord Jesus Christ,,
date,2 October,,,,,
loc,Trivigniano,exact,,Trivigniano,,
per,Madonna,exact,,Madonna,,
date,26 November 1581,,,,,
per,San Bernardino,exact,,San Bernardino,,
loc,Rome,,partial,Rome Moduco,,
loc,Istria,,partial,Istria Moduco,,
loc,Italy,exact,,Italy,,
per,Domenica Barbarelli,exact,,Domenica Barbarelli,,
loc,Novi,exact,,Novi,,
misc,Modenese Inquisition,exact,,Modenese Inquisition,,event
date,1532,,,,,
per,Diana,exact,,Diana,,
per,Alfonso Tostado,exact,,Alfonso Tostado,,
misc,Genesis,exact,,Genesis,,name of work
per,Giovanni Battista Della Porta,exact,,Giovanni Battista Della Porta,,
per,Latisana,exact,,Latisana,,
per,Menichino,,partial,Latisana Menichino,,
org,Venetian Holy Office,exact,,Venetian Holy Office,,
date,1591,,,,,
misc,Gospels,exact,,Gospels,,name of work
loc,Palmanova,exact,,Palmanova,,
per,Menica,exact,,Menica,,
per,Maria Panzona,exact,,Maria Panzona,,
per,Margherita,exact,,Margherita,,
loc,San Rocco,exact,,San Rocco,,
date,1571,,,,,
loc,Lucca,exact,,Lucca,,
per,Polissena,exact,,Polissena,,
loc,San Macario,exact,,San Macario,,
per,Lena,,,,,
loc,Pescaglia,,,,,
date,1589,,,,,
per,Crezia,,,,,
loc,Pieve San Paulo,,,,,
per,Gianna,exact,,Gianna,,
date,1 October 1580,,,,,
date,1648,,,,,
date,1626,,,,,
per,Bishop Gian Matteo Giberti,exact,,Bishop Gian Matteo Giberti,,
per,Gaiato,,partial,Gaiato Orsolina,,
per,Orsolina,,partial,Gaiato Orsolina,,
per,la Rossa,,,,,
date,1539,,,,,
per,Andrea Alciato,exact,,Andrea Alciato,,
misc,Canon Episcopi,exact,,Canon Episcopi,,name of work
per,Johann Weyer,,,,,
loc,Europe,,,,,
misc,Ascension,exact,,Ascension,,event
date,9 April 1596 ,,,,,
per,Clement VIII ,,,,,
loc,Polcenico ,,,,,
date,26 March 1598 ,,,,,
loc,San Daniele,exact,,San Daniele,,
per,Niccoli Pellizzaro,,,,,
loc,Carnia,exact,,Carnia,,
date,1595,,,,,
misc,Epiphany,exact,,Epiphany,,event
per,Pellizzaro,,partial,Niccoli> Pellizzaro,,
per,Bartolomeo Sgabarizza,,partial,Don Bartolomeo Sgabarizza,,
misc,Winter,exact,,Winter,,season
misc,Summer,exact,,Summer,,season
date,1634,,,,,
loc,Modena,exact,,Modena,,
date,fourteenth century,,,,,
date,1498,,,,,
loc,Jiirgensburg ,,,,,
date,1692,,,,,
per,Thiess,exact,,Thiess,,
loc,Germany,exact,,Germany,,
loc,Baltic countries,,,,,
loc,Lemburg ,,,,,
per,Skeistan,exact,,Skeistan,,
per,St Lucia ,,,,,
misc,Pentecost,exact,,Pentecost,,event
per,St John ,,,,,
date,10 October 1692 ,,,,,
loc,Livonia ,,,,,
per,Caspar Peucer,exact,,Caspar Peucer,,
loc,Riga,exact,,Riga,,
