type,value,exactMatch,partialMatch,matchValue,typeMatch,note
date,21 March 1575,exact,,21 March 1575,true,
per,San Francesco,exact,,San Francesco,,
loc,Cividale,exact,,Cividale,true,
loc,Friuli,exact,,Friuli,,
per,Monsignor Jacopo Maracco,,,,,
per,Fra Giulio,exact,,Fra Giulio,true,
loc,Assisi,exact,,Assisi,,
org,Order of the Minor Conventuals,,partial,Assisi of the Order of the Minor Conventuals,,
loc,Aquileia,exact,,Aquileia,,
loc,Concordia,exact,,Concordia,,
per,Don Bartolomeo Sgabarizza,exact,,Don Bartolomeo Sgabarizza,true,
loc,Brazzano,exact,,Brazzano,,
per,Pietro Rotaro,exact,,Pietro Rotaro,true,
loc,Iassico,exact,,Iassico,true,
per,Paolo Gasparutto,exact,,Paolo Gasparutto,true,
per,Sgabarizza,exact,,Sgabarizza,true,
per,Gasparutto,exact,,Gasparutto,true,
misc,Ember Days,,partial,the Ember Days,,event
loc,Cormons,exact,,Cormons,,
loc,Verona,exact,,Verona,,
loc,Cividale,exact,,Cividale,true,
misc,Easter,exact,,Easter,true,event
loc,Gorizia,exact,,Gorizia,true,
misc,benandanti,exact,,Benandanti,,germain to subject of text
date,7 April,exact,,7 April,true,
org,Holy Office,,partial,the Holy Office of Aquileia,,
misc,Mass,,partial,Masses,,event
lolc,Iudri,exact,,Iudri,,
per,Rotaro,exact,,Rotaro,,
per,Paolo,exact,,Paolo,true,
loc,Gradisca,exact,,Gradisca,,
misc,Thursday,exact,,Thursday,,day
per,Battista Moduco,exact,,Battista Moduco,true,
misc,benandante,,,,,germain to subject of text
misc,Thursdays,exact,,Thursdays,,day
per,Troiano ,,,,,
loc,Attimis,,,,,
per,Maracco,exact,,Maracco,true,
per,Giulio,exact,,Giulio,true,
date,27 June 1580,exact,,27 June 1580,true,
per,Fra Felice,exact,,Fra Felice,,
loc,Montefalco,,partial,Fra Felice da Montefalco,,
per,God,exact,,God,true,
per,Gamba Securta,,,,,
loc,Trivignano,exact,,Trivignano,,
per,Moduco,exact,,Moduco,true,
per,Christ,exact,,Christ,,
loc,Cologne ,,,,,
loc,Azzano,exact,,Azzano,,
loc,Cirghinis,exact,,Cirghinis,,
misc,Inquisition,exact,,Inquisition,true,event
date,28 June,exact,,28 June,true,
loc,Vicenza,exact,,Vicenza,,
per,Baptista Vicentino ,,,,,
misc,Christmas,exact,,Christmas,,event
misc,Rogation Days,,partial,the Rogation Days,,event
loc,Chiana,exact,,Chiana,true,
loc,Capodistria,exact,,Capodistria,true,
loc,Udine,exact,,Udine,true,
date,24 September,exact,,24 September,true,
date,1618-19,exact,,1618-19,true,
date,1621-23 ,,,,,
per,Lord Jesus Christ,,,,,
date,2 October,exact,,2 October,true,
loc,Trivigniano,exact,,Trivigniano,true,
per,Madonna,exact,,Madonna,true,
date,26 November 1581,,,,,
