type,value,exactMatch,partialMatch,matchValue,typeMatch,note
date,21 March 1575,,,,False,
per,San Francesco,,,,False,
loc,Cividale,exact,,Cividale,True,
loc,Friuli,exact,,Friuli,True,
per,Monsignor Jacopo Maracco,,,,False,
per,Fra Giulio,,partial,Giulio,False,
loc,Assisi,exact,,Assisi,True,
org,Order of the Minor Conventuals,,partial,Conventuals,False,
loc,Aquileia,exact,,Aquileia,True,
loc,Concordia,exact,,Concordia,True,
per,Don Bartolomeo Sgabarizza,,,,False,
loc,Brazzano,,,,False,
per,Pietro Rotaro,,partial,Pietro,False,
loc,Iassico,,,,False,
per,Paolo Gasparutto,,,,False,
per,Sgabarizza,,,,False,
per,Gasparutto,,,,False,
misc,Ember Days,exact,,Ember Days,True,event
loc,Cormons,,,,False,
loc,Verona,exact,,Verona,True,
loc,Cividale,exact,,Cividale,True,
misc,Easter,exact,,Easter,True,event
loc,Gorizia,exact,,Gorizia,True,
misc,benandanti,exact,,benandanti,True,germain to subject of text
date,7 April,,,,False,
org,Holy Office,exact,,Holy Office,False,
misc,Mass,,,,False,event
lolc,Iudri,,,,False,
per,Rotaro,,,,False,
per,Paolo,,,,False,
loc,Gradisca,,,,False,
misc,Thursday,,,,False,day
per,Battista Moduco,,,,False,
misc,benandante,,,,False,germain to subject of text
misc,Thursdays,,,,False,day
per,Troiano ,,,,False,
loc,Attimis,,,,False,
per,Maracco,,,,False,
per,Giulio,exact,,Giulio,False,
date,27 June 1580,,,,False,
per,Fra Felice,,,,False,
loc,Montefalco,exact,,Montefalco,True,
per,God,,,,False,
per,Gamba Securta,,,,False,
loc,Trivignano,,,,False,
per,Moduco,,,,False,
per,Christ,,partial,Christian,False,
loc,Cologne ,,partial,Cologne,True,
loc,Azzano,,,,False,
loc,Cirghinis,,,,False,
misc,Inquisition,exact,,Inquisition,True,event
date,28 June,,,,False,
loc,Vicenza,exact,,Vicenza,True,
per,Baptista Vicentino ,,,,False,
misc,Christmas,,,,False,event
misc,Rogation Days,exact,,Rogation days,True,event
loc,Chiana,exact,,Chiana,False,
loc,Capodistria,exact,,Capodistria,True,
loc,Udine,exact,,Udine,True,
date,24 September,,,,False,
date,1618-19,,,,False,
date,1621-23 ,,,,False,
per,Lord Jesus Christ,,partial,Jesus,True,
date,2 October,,,,False,
loc,Trivigniano,,,,False,
per,Madonna,exact,,Madonna,False,
date,26 November 1581,,,,False,
per,San Bernardino,exact,,San Bernardino,True,
loc,Rome,exact,,Rome,False,
loc,Istria,exact,,Istria,False,
loc,Italy,exact,,Italy,True,
per,Domenica Barbarelli,,,,False,
loc,Novi,,,,False,
misc,Modenese Inquisition,,partial,Inquisition,True,event
date,1532,,,,False,
per,Diana,exact,,Diana,True,
per,Alfonso Tostado,,partial,Alfonso,True,
misc,Genesis,exact,,Genesis,True,name of work
per,Giovanni Battista Della Porta,exact,,Giovanni Battista Della Porta,True,
per,Latisana,exact,,Latisana,False,
per,Menichino,,,,False,
org,Venetian Holy Office,,partial,Holy Office,False,
date,1591,,,,False,
misc,Gospels,,,,False,name of work
loc,Palmanova,exact,,Palmanova,True,
per,Menica,,,,False,
per,Maria Panzona,,,,False,
per,Margherita,,,,False,
loc,San Rocco,,,,False,
date,1571,,,,False,
loc,Lucca,exact,,Lucca,True,
per,Polissena,,,,False,
loc,San Macario,,,,False,
per,Lena,exact,,Lena,False,
loc,Pescaglia,,,,False,
date,1589,,,,False,
per,Crezia,,,,False,
loc,Pieve San Paulo,,partial,Pieve,False,
per,Gianna,,,,False,
date,1 October 1580,,,,False,
date,1648,,,,False,
date,1626,,,,False,
per,Bishop Gian Matteo Giberti,,,,False,
per,Gaiato,,,,False,
per,Orsolina,,,,False,
per,la Rossa,,,,False,
date,1539,,,,False,
per,Andrea Alciato,exact,,Andrea Alciato,False,
misc,Canon Episcopi,exact,,Canon Episcopi,True,name of work
per,Johann Weyer,exact,,Johann Weyer,True,
loc,Europe,,,,False,
misc,Ascension,exact,,Ascension,True,event
date,9 April 1596 ,,,,False,
per,Clement VIII ,,,,False,
loc,Polcenico ,,,,False,
date,26 March 1598 ,,,,False,
loc,San Daniele,exact,,San Daniele,True,
per,Niccoli Pellizzaro,,,,False,
loc,Carnia,exact,,Carnia,False,
date,1595,,,,False,
misc,Epiphany,exact,,Epiphany,True,event
per,Pellizzaro,,,,False,
per,Bartolomeo Sgabarizza,,,,False,
misc,Winter,,,,False,season
misc,Summer,,,,False,season
date,1634,,,,False,
loc,Modena,exact,,Modena,True,
date,fourteenth century,,,,False,
date,1498,,,,False,
loc,Jiirgensburg ,,,,False,
date,1692,,,,False,
per,Thiess,,,,False,
loc,Germany,exact,,Germany,True,
loc,Baltic countries,,partial,Baltic,False,
loc,Lemburg ,,,,False,
per,Skeistan,,,,False,
per,St Lucia ,,partial,St Lucia,False,
misc,Pentecost,exact,,Pentecost,True,event
per,St John ,,,,False,
date,10 October 1692 ,,,,False,
loc,Livonia ,,partial,Livonia,False,
per,Caspar Peucer,exact,,Caspar Peucer,True,
loc,Riga,exact,,Riga,True,
