type,value,exactMatch,partialMatch,matchValue,typeMatch,note
date,21 March 1575,,partial,March 1575,True,
per,San Francesco,exact,,San Francesco,False,
loc,Cividale,exact,,Cividale,True,
loc,Friuli,exact,,Friuli,True,
per,Monsignor Jacopo Maracco,,partial,Maracco,True,
per,Fra Giulio,,partial,Fra Giulio d' Assisi,False,
loc,Assisi,,partial,Giulio d' Assisi,False,
org,Order of the Minor Conventuals,,,,False,
loc,Aquileia,exact,,Aquileia,True,
loc,Concordia,exact,,Concordia,False,
per,Don Bartolomeo Sgabarizza,exact,,Don Bartolomeo Sgabarizza,True,
loc,Brazzano,exact,,Brazzano,True,
per,Pietro Rotaro,exact,,Pietro Rotaro,True,
loc,Iassico,exact,,Iassico,True,
per,Paolo Gasparutto,exact,,Paolo Gasparutto,True,
per,Sgabarizza,exact,,Sgabarizza,True,
per,Gasparutto,exact,,Gasparutto,True,
misc,Ember Days,,,,False,event
loc,Cormons,exact,,Cormons,True,
loc,Verona,exact,,Verona,True,
loc,Cividale,exact,,Cividale,True,
misc,Easter,exact,,Easter,False,event
loc,Gorizia,exact,,Gorizia,True,
misc,benandanti,,,,False,germain to subject of text
date,7 April,,partial,April,True,
org,Holy Office,exact,,Holy Office,True,
misc,Mass,exact,,Mass,False,event
lolc,Iudri,,,,False,
per,Rotaro,exact,,Rotaro,True,
per,Paolo,exact,,Paolo,False,
loc,Gradisca,exact,,Gradisca,False,
misc,Thursday,exact,,Thursday,False,day
per,Battista Moduco,exact,,Battista Moduco,True,
misc,benandante,,,,False,germain to subject of text
misc,Thursdays,exact,,Thursdays,False,day
per,Troiano ,,partial,Troiano,True,
loc,Attimis,,partial,Troiano de'Attimis,False,
per,Maracco,exact,,Maracco,True,
per,Giulio,,partial,Giulio d' Assisi,False,
date,27 June 1580,,partial,June,True,
per,Fra Felice,exact,,Fra Felice,False,
loc,Montefalco,,partial,Fra Felice da Montefalco,False,
per,God,,,,False,
per,Gamba Securta,,,,False,
loc,Trivignano,exact,,Trivignano,False,
per,Moduco,exact,,Moduco,True,
per,Christ,exact,,Christ,False,
loc,Cologne ,,partial,Cologne,True,
loc,Azzano,exact,,Azzano,True,
loc,Cirghinis,,,,False,
misc,Inquisition,,partial,Modenese Inquisition,False,event
date,28 June,,partial,June,True,
loc,Vicenza,exact,,Vicenza,True,
per,Baptista Vicentino ,,partial,Baptista Vicentino,True,
misc,Christmas,exact,,Christmas,False,event
misc,Rogation Days,,,,False,event
loc,Chiana,exact,,Chiana,True,
loc,Capodistria,exact,,Capodistria,True,
loc,Udine,exact,,Udine,True,
date,24 September,,partial,September,True,
date,1618-19,,,,False,
date,1621-23 ,,,,False,
per,Lord Jesus Christ,,partial,Christ,False,
date,2 October,,partial,October,True,
loc,Trivigniano,,,,False,
per,Madonna,exact,,Madonna,False,
date,26 November 1581,,partial,November 1581,True,
per,San Bernardino,exact,,San Bernardino,False,
loc,Rome,exact,,Rome,True,
loc,Istria,exact,,Istria,True,
loc,Italy,exact,,Italy,True,
per,Domenica Barbarelli,exact,,Domenica Barbarelli,True,
loc,Novi,exact,,Novi,False,
misc,Modenese Inquisition,exact,,Modenese Inquisition,False,event
date,1532,exact,,1532,True,
per,Diana,exact,,Diana,False,
per,Alfonso Tostado,exact,,Alfonso Tostado,True,
misc,Genesis,,,,False,name of work
per,Giovanni Battista Della Porta,exact,,Giovanni Battista Della Porta,False,
per,Latisana,exact,,Latisana,False,
per,Menichino,exact,,Menichino,False,
org,Venetian Holy Office,exact,,Venetian Holy Office,True,
date,1591,exact,,1591,True,
misc,Gospels,,,,False,name of work
loc,Palmanova,exact,,Palmanova,True,
per,Menica,,partial,Domenica Barbarelli,True,
per,Maria Panzona,exact,,Maria Panzona,True,
per,Margherita,,partial,Margherita of San Rocco,False,
loc,San Rocco,exact,,San Rocco,True,
date,1571,exact,,1571,True,
loc,Lucca,exact,,Lucca,True,
per,Polissena,,partial,Polissena of San Macario,False,
loc,San Macario,,partial,Polissena of San Macario,False,
per,Lena,exact,,Lena,True,
loc,Pescaglia,exact,,Pescaglia,True,
date,1589,exact,,1589,True,
per,Crezia,,partial,Crezia of Pieve San Paolo,False,
loc,Pieve San Paulo,,,,False,
per,Gianna,exact,,Gianna,True,
date,1 October 1580,,partial,October 1580,True,
date,1648,exact,,1648,True,
date,1626,exact,,1626,True,
per,Bishop Gian Matteo Giberti,,partial,Gian Matteo Giberti,True,
per,Gaiato,exact,,Gaiato,False,
per,Orsolina,exact,,Orsolina,False,
per,la Rossa,,partial,Rossa,False,
date,1539,exact,,1539,True,
per,Andrea Alciato,exact,,Andrea Alciato,True,
misc,Canon Episcopi,exact,,Canon Episcopi,False,name of work
per,Johann Weyer,exact,,Johann Weyer,True,
loc,Europe,exact,,Europe,True,
misc,Ascension,,,,False,event
date,9 April 1596 ,,partial,April 1596,True,
per,Clement VIII ,,partial,Clement VIII,False,
loc,Polcenico ,,,,False,
date,26 March 1598 ,,partial,March 1598,True,
loc,San Daniele,exact,,San Daniele,True,
per,Niccoli Pellizzaro,,partial,Pellizzaro,False,
loc,Carnia,exact,,Carnia,True,
date,1595,exact,,1595,True,
misc,Epiphany,,,,False,event
per,Pellizzaro,exact,,Pellizzaro,False,
per,Bartolomeo Sgabarizza,,partial,Don Bartolomeo Sgabarizza,True,
misc,Winter,exact,,Winter,False,season
misc,Summer,exact,,Summer,False,season
date,1634,exact,,1634,True,
loc,Modena,exact,,Modena,True,
date,fourteenth century,,partial,end of the fourteenth century,True,
date,1498,exact,,1498,True,
loc,Jiirgensburg ,,,,False,
date,1692,exact,,1692,True,
per,Thiess,exact,,Thiess,False,
loc,Germany,exact,,Germany,True,
loc,Baltic countries,,,,False,
loc,Lemburg ,,,,False,
per,Skeistan,exact,,Skeistan,True,
per,St Lucia ,,partial,St Lucia,False,
misc,Pentecost,exact,,Pentecost,False,event
per,St John ,,partial,St John,False,
date,10 October 1692 ,,partial,October 1692,True,
loc,Livonia ,,partial,Livonia,True,
per,Caspar Peucer,exact,,Caspar Peucer,True,
loc,Riga,exact,,Riga,True,
