type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Mary Whitall Berenson,exact,,Mary Whitall Berenson,true,
loc,I Tatti,,,,,
loc,Settignano,exact,,Settignano,,
loc,Florence,,partial,Florence Trip,,
loc,America,exact,,America,true,
date,September 1930,,,,,
misc,R.M.S. Majestic,,,,,name of ship
misc,White Star,exact,,White Star,,name of ship
date,"Wenesday, Sept. 30, 1903",,,,,
loc,Liverpool,exact,,Liverpool,true,
per,Turner,,partial,Turner - Whistler-esque,,
per,Whistler,,partial,Turner - Whistler-esque,,
loc,England,exact,,England,true,
per,Bernhard,exact,,Bernhard,,
loc,The Reef,,,,,
loc,"Newport, R.I.",,,,,
date,"Thursday, Oct. 8, 1903",,,,,
misc,The Arabian Nights,,,,,title of a work
per,Mardus,,,,,
per,Grace,exact,,Grace,,
per,Bond's new wife,,,,,identified by relationship
per,Edith,exact,,Edith,,
loc,Greek restaurant,,,,,
loc,New York,exact,,New York,true,
per,Mr. Davis,exact,,Mr. Davis,true,
loc,the quay,,,,,
per,B.B.,,,,,
per,Jimmy Whiskers,,,,,
per,Davis,exact,,Davis,,
date,3000 B.C.,exact,,3000 B.C.,,
loc,Liberia,,partial,Liberia Whose,,
per,Mother Superior,,partial,Mother Superior.,,
date,"Friday, Oct. 9, 1903",,,,,
loc,Spain,,,,,
per,Mr. and Mrs. Fearing,,,,,
per,Terence Bourke,exact,,Terence Bourke,true,
date,"Saturday, Oct. 10, 1903",,,,,
per,Mrs. Andrews,exact,,Mrs. Andrews,true,
per,J. Gordon Kugler,exact,,J. Gordon Kugler,true,
misc,The South,,,,,title of a work
per,Sophy Buffum,,partial,"Sophy Buffum,3",,
loc,Europe,exact,,Europe,true,
per,Miss Busk,,,,,
misc,Bridge,exact,,Bridge,,title of a game
date,"Sunday, Oct. 11, 1903",,,,,
misc,Forgery,,,,,title of a work
misc,Tricca-Leonardo,,,,,title of a work
misc,Logan,,,,,title of a work
org,Philharmonic orchestra,,,,,
loc,Boston,exact,,Boston,true,
org,New York Theatre,exact,,New York Theatre,true,
per,Mr. Longyear of Marquette,,,,,
per,Mr. Coates,,,,,
per,Mr. Berevin,exact,,Mr. Berevin,true,
per,Mr. Taylor,exact,,Mr. Taylor,true,
per,Mrs. Winty Chandler,exact,,Mrs. Winty Chandler,true,
loc,Egypt,,partial,Egyptian,,
loc,Tomb of Totmes IV,,partial,Tomb of Totmes IV4,,
per,Queen Hatasu,exact,,Queen Hatasu,true,
loc,189 Grampian Way,,,,,
loc,Dorchester,exact,,Dorchester,,
date,"Monday, Oct. 12, 1903",,,,,
loc,Old Point,exact,,Old Point,,
per,Grandpa Cope,exact,,Grandpa Cope,true,
per,Rachel,exact,,Rachel,,
per,Miss Sellers,exact,,Miss Sellers,true,
date,"Tuesday, Oct. 13, 1903",,,,,
date,"Wednesday, Oct. 14, 1903",,,,,
loc,Blue Hill,exact,,Blue Hill,,
date,"Thursday, Oct. 15, 1903",,,,,
loc,Cambridge,exact,,Cambridge,true,
per,Mrs. Toy,exact,,Mrs. Toy,true,
per,Santayana,exact,,Santayana,true,
per,Leslie Hopkinson,,partial,Santayana and Leslie Hopkinson,,
per,Mr. Andrew,,,,,
misc,Orchestrelle,exact,,Orchestrelle,,instrument
date,"Friday, Oct. 16, 1903",,,,,
loc,Willowbrook Cottage,exact,,Willowbrook Cottage,true,
per,Beverly,exact,,Beverly,,
per,Gertrude,exact,,Gertrude,,
per,Mrs. Tyler,,partial,Gertrude and Mrs. Tyler,,
per,Brother Charles,,,,,
per,Rabbi Fleischer,exact,,Rabbi Fleischer,true,
misc,Democracy,,,,,concept
per,Michliszanski,,,,,
per,Goldman,,,,,
per,Tolstoi,,,,,
per,Hinda Coen,exact,,Hinda Coen,,
per,Schwarz,exact,,Schwarz,,
per,James,,partial,James.,,
loc,Green Hill,exact,,Green Hill,,
loc,Brookline,exact,,Brookline,,
date,"Saturday, Oct. 17, 1903",,,,,
per,Mrs. Jack Gardner,,,,,
per,Mrs. Gardner,exact,,Mrs. Gardner,true,
per,Proctor the musician,,,,,
misc,Symphony Concert,exact,,Symphony Concert,,type of event
per,Tschaikowski,exact,,Tschaikowski,,
per,Bruneau,exact,,Bruneau,,
per,Brahms,,,,,
per,Mrs. Sarah Whitman,exact,,Mrs. Sarah Whitman,true,
misc,Prof. of Ethics,,,,,professional title
per,Josiah Royce,exact,,Josiah Royce,true,
per,Bob,exact,,Bob,,
per,George Moore,exact,,George Moore,true,
per,the philosopher,,,,,identified by professional title rather than name
per,Mrs. Parkman,exact,,Mrs. Parkman,true,
per,Mr. and Mrs. Higginson,,,,,
date,"Sunday, Oct. 18, 1903",,,,,
loc,Arboretum,exact,,Arboretum,,
loc,Country Club,,,,,
per,Mr. Dwight,,,,,
per,Mr. Swift,,,,,
per,Rockefeller,exact,,Rockefeller,,
per,Mr. Strong,,,,,
loc,Lakewood,exact,,Lakewood,true,
date,"Monday, Oct. 19, 1903",,,,,
loc,Library,exact,,Library,true,
