note,type,value,exactMatch,partialMatch,matchValue,typeMatch
,per,Mary Whitall Berenson,exact,,Mary Whitall Berenson,True
accomodation,loc,I Tatti,,partial,Tatti,False
region,loc,Settignano,exact,,Settignano,True
city,loc,Florence,exact,,Florence,True
biographic,misc,Trip to America,,partial,America,False
,date,September 1930,,,,False
transportation vessel name,misc,R.M.S. Majestic,,,,False
business,org,White Star,exact,,White Star,False
,date,"Wednesday, Sept. 30, 1903",,,,False
city,loc,Liverpool,exact,,Liverpool,False
artist-painter,per,Turner,,,,False
artist-painter,per,Whistler,,,,False
country,loc,England,exact,,England,True
,per,Bernhard,exact,,Bernhard,False
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
state,loc,R.I.,,,,False
,date,"Thursday, Oct. 8, 1903",,,,False
book,misc,The Arabian Nights,,partial,Arabian Nights,True
artist-writer,per,Mardrus,,,,False
,per,Grace,,,,False
,per,Bond's new wife,,,,False
,per,Edith,,,,False
,per,Bond,,,,False
restaurant,loc,Greek restaurant,,partial,Greek,False
city,loc,New York,exact,,New York,True
art collector,per,Mr. Davis,,partial,Davis,True
,per,B.B.,,,,False
art collector,per,Davis,exact,,Davis,True
sculpture,misc,[Egyptian squatting figure],,partial,Egypt,False
,date,3000 B.C.,,,,False
art collector,per,Davis,exact,,Davis,True
,misc,[limerick],,,,False
country,loc,Liberia,,partial,Liberia Whose,False
religious figure,per,Mother Superior,exact,,Mother Superior,True
,per,Grace,,,,False
art collector,per,Mr. Davis,,partial,Davis,True
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
,date,"Friday, Oct. 9, 1903",,,,False
country,loc,Spain,exact,,Spain,True
,per,B.B.,,,,False
,per,[Mr. Fearing],,,,False
,per,Mrs. Fearing,,partial,Mrs.,True
,per,Terence Bourke,exact,,Terence Bourke,True
art collector,per,Davis,exact,,Davis,True
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
,date,"Saturday, Oct. 10, 1903",,,,False
,per,Mrs. Andrews,,partial,Mrs.,True
artist-poet,per,J. Gordon Kugler,exact,,J. Gordon Kugler,True
,misc,The South,,partial,South,False
city,loc,Newport,exact,,Newport,True
,per,Mrs. Davis,,partial,Mrs.,True
,per,Mrs. Andrews,,partial,Mrs.,True
,per,Sophy Buffum,exact,,Sophy Buffum,True
country,loc,Europe,exact,,Europe,True
,per,Miss Busk,exact,,Miss Busk,False
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
,date,"Sunday, Oct. 11, 1903",,,,False
art collector,per,Mr. Davis,,partial,Davis,True
?,misc,Egyptian illustrated books,,partial,Egypt,False
art described by region,misc,Italian pictures,,partial,Italian,True
painting,misc,the famous Forgery (Filippino),,,,False
artist-painter,per,Filippino,,,,False
painting,misc,Tricca-Leonardo,,partial,Tricca,False
artist-painter,per,Leonardo,,,,False
artist-painter,per,Tricca,exact,,Tricca,False
painting,misc,The little forgery,,,,False
artist-writer,per,Logan,exact,,Logan,False
art collector,per,Mr. Davis,,partial,Davis,True
cultural,org,Philharmonic orchestra,,partial,Philharmonic,False
city,loc,Boston,exact,,Boston,True
cultural ,org,a theatrical troupe,,,,False
city,loc,New York,exact,,New York,True
cultural,org,New York Theatre,exact,,New York Theatre,False
public figure,per,Mr. Longyear,,,,False
