type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Mary Whitall Berenson,exact,,Mary Whitall Berenson,,
loc,I Tatti,,,,,
loc,Settignano,,partial,Tatti Settignano,,
loc,Florence,,partial,Florence Trip,,
loc,America,exact,partial,America,,
date,September 1930,,,,,
misc,R.M.S. Majestic,,,,,name of ship
misc,White Star,exact,,White Star,,name of ship
date,"Wenesday, Sept. 30, 1903",,,,,
loc,Liverpool,,,,,
per,Turner,exact,,Turner,,
per,Whistler,,,,,
loc,England,,,,,
per,Bernhard,exact,,Bernhard,,
loc,The Reef,,,,,
loc,"Newport, R.I.",,,,,
date,"Thursday, Oct. 8, 1903",,,,,
misc,The Arabian Nights,,,,,title of a work
per,Mardus,,,,,
per,Grace,,,,,
per,Bond's new wife,,,,,identified by relationship
per,Edith,exact,,Edith,,
loc,Greek restaurant,,,,,
loc,New York,exact,,New York,,
per,Mr. Davis,,,,,
loc,the quay,,,,,
per,B.B.,,,,,
per,Jimmy Whiskers,,,,,
per,Davis,exact,,Davis,,
date,3000 B.C.,,,,,
loc,Liberia,exact,,Liberia,,
per,Mother Superior,,,,,
date,"Friday, Oct. 9, 1903",,,,,
loc,Spain,,,,,
per,Mr. and Mrs. Fearing,,,,,
per,Terence Bourke,,,,,
date,"Saturday, Oct. 10, 1903",,,,,
per,Mrs. Andrews,,,,,
per,J. Gordon Kugler,,,,,
misc,The South,,,,,title of a work
per,Sophy Buffum,,,,,
loc,Europe,,,,,
per,Miss Busk,exact,,Miss Busk,,
misc,Bridge,exact,,Bridge,,title of a game
date,"Sunday, Oct. 11, 1903",,,,,
misc,Forgery,exact,,Forgery,,title of a work
misc,Tricca-Leonardo,,,,,title of a work
misc,Logan,exact,,Logan,,title of a work
org,Philharmonic orchestra,,,,,
loc,Boston,exact,,Boston,,
org,New York Theatre,exact,,New York Theatre,,
per,Mr. Longyear of Marquette,,,,,
per,Mr. Coates,,,,,
per,Mr. Berevin,,,,,
per,Mr. Taylor,,,,,
per,Mrs. Winty Chandler,,,,,
loc,Egypt,exact,,Egypt,,
loc,Tomb of Totmes IV,,,,,
per,Queen Hatasu,,,,,
loc,189 Grampian Way,,,,,
loc,Dorchester,,partial,Way Dorchester,,
date,"Monday, Oct. 12, 1903",,,,,
loc,Old Point,exact,,Old Point,,
per,Grandpa Cope,,,,,
per,Rachel,exact,,Rachel,,
per,Miss Sellers,,,,,
date,"Tuesday, Oct. 13, 1903",,,,,
date,"Wednesday, Oct. 14, 1903",,,,,
loc,Blue Hill,exact,,Blue Hill,,
date,"Thursday, Oct. 15, 1903",,,,,
loc,Cambridge,exact,,Cambridge,,
per,Mrs. Toy,,,,,
per,Santayana,exact,,Santayana,,
per,Leslie Hopkinson,exact,,Leslie Hopkinson,,
per,Mr. Andrew,,,,,
misc,Orchestrelle,,,,,instrument
date,"Friday, Oct. 16, 1903",,,,,
loc,Willowbrook Cottage,exact,,Willowbrook Cottage,,
per,Beverly,exact,,Beverly,,
per,Gertrude,exact,,Gertrude,,
per,Mrs. Tyler,,,,,
per,Brother Charles,,,,,
per,Rabbi Fleischer,,,,,
misc,Democracy,exact,,Democracy,,concept
per,Michliszanski,,partial,Michliszanski5,,
per,Goldman,exact,,Goldman,,
per,Tolstoi,,,,,
per,Hinda Coen,,,,,
per,Schwarz,,,,,
per,James,,,,,
loc,Green Hill,exact,,Green Hill,,
loc,Brookline,,partial,Brookline Thursday,,
date,"Saturday, Oct. 17, 1903",,,,,
per,Mrs. Jack Gardner,,,,,
per,Mrs. Gardner,,,,,
per,Proctor the musician,,,,,
misc,Symphony Concert,exact,,Symphony Concert,,type of event
per,Tschaikowski,,partial,Tschaikowski Bruneau,,
per,Bruneau,,partial,Tschaikowski Bruneau,,
per,Brahms,,,,,
per,Mrs. Sarah Whitman,,,,,
misc,Prof. of Ethics,,,,,professional title
per,Josiah Royce,,partial,Ethics Josiah Royce,,
per,Bob,exact,,Bob,,
per,George Moore,,,,,
per,the philosopher,,,,,identified by professional title rather than name
per,Mrs. Parkman,,,,,
per,Mr. and Mrs. Higginson,,,,,
date,"Sunday, Oct. 18, 1903",,,,,
loc,Arboretum,,,,,
loc,Country Club,exact,,Country Club,,
per,Mr. Dwight,,,,,
per,Mr. Swift,,,,,
per,Rockefeller,,,,,
per,Mr. Strong,,,,,
loc,Lakewood,exact,,Lakewood,,
date,"Monday, Oct. 19, 1903",,,,,
loc,Library,exact,,Library,,
misc,The Puvis',,,,,indicators of works of art
loc,Bates Hall,,,,,
misc,The Abbeys,,,,,indicators of works of art
misc,Sargeants,,,,,indicators of works of art
per,Evelyn,,,,,
per,Ellen Hale,exact,,Ellen Hale,,
per,Edward Everett Hale,,,,,
per,Mr. John Grey,,,,,
per,Clayton Johns,,,,,
date,"Tuesday, Oct. 20, 1903",,,,,
per,Helen Hopekirk (Wilson),,,,,
loc,Art Museum,exact,,Art Museum,,
misc,curator,,partial,Curator Chalfin,,professional title
per,Chaflin,,,,,
date,1250,,,,,
loc,Museum,exact,partial,Museum,,
per,Gerricke,,partial,Gerricke9,,
loc,Jordan Hall,exact,,Jordan Hall,,
loc,Conservatory Building,,,,,
misc,C major toccata,,,,,title of a work
per,Bach,exact,,Bach,,
per,Mr. Higginson,,,,,
per,Schumann,,partial,Schumann A,,
per,Chaplin,exact,,Chaplin,,
misc,Eroica,,,,,title of a work
per,Mr. and Mrs. Lang,,,,,
date,"Wednesday, Oct. 21, 1903",,,,,
per,T.H. Perry,,,,,
loc,Franklin Park,,,,,
per,Owen Wister,exact,,Owen Wister,,
