note,type,value,exactMatch,partialMatch,matchValue,typeMatch
,per,Mary Whitall Berenson,exact,,Mary Whitall Berenson,True
accomodation,loc,I Tatti,,,,False
region,loc,Settignano,,partial,"Tatti, Settignano",False
city,loc,Florence,,partial,Florence Trip,False
biographic,misc,Trip to America,,partial,America,False
,date,September 1930,,,,False
transportation vessel name,misc,R.M.S. Majestic,,,,False
business,org,White Star,exact,,White Star,True
,date,"Wednesday, Sept. 30, 1903",exact,,"Wednesday, Sept. 30, 1903",True
city,loc,Liverpool,exact,,Liverpool,True
artist-painter,per,Turner,,partial,Turner - Whistler-esque,False
artist-painter,per,Whistler,,partial,Turner - Whistler-esque,False
country,loc,England,exact,,England,True
,per,Bernhard,exact,,Bernhard,False
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
state,loc,R.I.,,,,False
,date,"Thursday, Oct. 8, 1903",exact,,"Thursday, Oct. 8, 1903",True
book,misc,The Arabian Nights,exact,,The Arabian Nights,False
artist-writer,per,Mardrus,,partial,"Mardrus),1",False
,per,Grace,exact,,Grace,False
,per,Bond's new wife,,partial,Bond,False
,per,Edith,,,,False
,per,Bond,exact,,Bond,False
restaurant,loc,Greek restaurant,,partial,Greek,False
city,loc,New York,exact,,New York,True
art collector,per,Mr. Davis,,partial,Davis,True
,per,B.B.,exact,,B.B.,True
art collector,per,Davis,exact,,Davis,True
sculpture,misc,[Egyptian squatting figure],,partial,Egypt,False
,date,3000 B.C.,,partial,B.C.,False
art collector,per,Davis,exact,,Davis,True
,misc,[limerick],,,,False
country,loc,Liberia,,partial,Liberia Whose,False
religious figure,per,Mother Superior,,partial,the Mother Superior,False
,per,Grace,exact,,Grace,False
art collector,per,Mr. Davis,,partial,Davis,True
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
,date,"Friday, Oct. 9, 1903",exact,,"Friday, Oct. 9, 1903",True
country,loc,Spain,exact,,Spain,True
,per,B.B.,exact,,B.B.,True
,per,[Mr. Fearing],,partial,Fearing,True
,per,Mrs. Fearing,,partial,Fearing,True
,per,Terence Bourke,exact,,Terence Bourke,True
art collector,per,Davis,exact,,Davis,True
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
,date,"Saturday, Oct. 10, 1903",exact,,"Saturday, Oct. 10, 1903",True
,per,Mrs. Andrews,,partial,Andrew,True
