,NLTK,OPENER,PARSEY,SPACY,SPOTLIGHT,STANFORD,,,,,,,,
date,0.00%,0.00%,0.00%,10.06%,0.00%,96.45%,,,,,,,,
loc,23.91%,22.89%,0.00%,27.70%,15.60%,21.87%,,,,,,,,
misc,12.27%,14.93%,0.00%,14.67%,6.93%,0.00%,,,,,,,,
org,4.88%,0.00%,0.00%,1.22%,1.22%,0.00%,,,,,,,,
per,22.54%,23.92%,0.20%,17.44%,2.45%,21.01%,,,,,,,,
allEntities,20.04%,20.84%,0.12%,18.48%,5.56%,22.15%,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
