Entity Number,Type,Value,Note,,,,,,
1,per,Mary Whitall Berenson,,,,,,,
2,loc,I Tatti,accomodation,,,,,,
3,loc,Settignano,region,,,,,,
4,loc,Florence,city,,,,,,
5,misc,Trip to America,biographic,,,,,,
6,date,September 1930,,,,,,,
7,misc,R.M.S. Majestic,transportation vessel name,,,,,,
8,org,White Star,business,,,,,,
9,date,"Wednesday, Sept. 30, 1903",,,,,,,
11,loc,Liverpool,city,,,,,,
12,per,Turner,artist-painter,,,,,,
13,per,Whistler,artist-painter,,,,,,
14,loc,England,country,,,,,,
15,per,Bernhard,,,,,,,
16,loc,The Reef,accomodation,,,,,,
17,loc,Newport,city,,,,,,
18,loc,R.I.,state,,,,,,
19,date,"Thursday, Oct. 8, 1903",,,,,,,
21,misc,The Arabian Nights,book,,,,,,
22,per,Mardrus,artist-writer,,,,,,
23,per,Grace,,,,,,,
24,per,Bond's new wife,,,,,,,
25,per,Edith,,,,,,,
26,per,Bond,,,,,,,
27,loc,Greek restaurant,restaurant,,,,,,
28,loc,New York,city,,,,,,
30,per,Mr. Davis,art collector,,,,,,
31,per,B.B.,,,,,,,
33,per,Davis,art collector,,,,,,
34,misc,[Egyptian squatting figure],sculpture,,,,,,
35,date,3000 B.C.,,,,,,,
36,per,Davis,art collector,,,,,,
37,misc,[limerick],,,,,,,
38,loc,Liberia,country,,,,,,
39,per,Mother Superior,religious figure,,,,,,
40,per,Grace,,,,,,,
42,per,Mr. Davis,art collector,,,,,,
43,loc,The Reef,accomodation,,,,,,
44,loc,Newport,city,,,,,,
45,date,"Friday, Oct. 9, 1903",,,,,,,
46,loc,Spain,country,,,,,,
47,per,B.B.,,,,,,,
48,per,[Mr. Fearing],,,,,,,
49,per,Mrs. Fearing,,,,,,,
50,per,Terence Bourke,,,,,,,
51,per,Davis,art collector,,,,,,
52,loc,The Reef,accomodation,,,,,,
53,loc,Newport,city,,,,,,
54,date,"Saturday, Oct. 10, 1903",,,,,,,
55,per,Mrs. Andrews,,,,,,,
56,per,J. Gordon Kugler,artist-poet,,,,,,
57,misc,The South,,,,,,,
58,loc,Newport,city,,,,,,
59,per,Mrs. Davis,,,,,,,
60,per,Mrs. Andrews,,,,,,,
61,per,Sophy Buffum,,,,,,,
62,loc,Europe,country,,,,,,
63,per,Miss Busk,,,,,,,
65,loc,The Reef,accomodation,,,,,,
66,loc,Newport,city,,,,,,
67,date,"Sunday, Oct. 11, 1903",,,,,,,
68,per,Mr. Davis,art collector,,,,,,
69,misc,Egyptian illustrated books,?,,,,,,
70,misc,Italian pictures,art described by region,,,,,,
71,misc,the famous Forgery (Filippino),painting,,,,,,
72,per,Filippino,artist-painter,,,,,,
73,misc,Tricca-Leonardo,painting,,,,,,
74,per,Leonardo,artist-painter,,,,,,
75,per,Tricca,artist-painter,,,,,,
77,misc,The little forgery,painting,,,,,,
79,per,Logan,artist-writer,,,,,,
80,per,Mr. Davis,art collector,,,,,,
81,org,Philharmonic orchestra,cultural,,,,,,
82,loc,Boston,city,,,,,,
83,org,a theatrical troupe,cultural ,,,,,,
84,loc,New York,city,,,,,,
85,org,New York Theatre,cultural,,,,,,
87,per,Mr. Longyear,public figure,,,,,,
88,loc,Marquette,city,,,,,,
89,loc,opera house,cultural heritage institution,,,,,,
90,per,his wife,religious figure,,,,,,
91,per,Mr. Coates,,,,,,,
92,per,Mr. Berevin,,,,,,,
93,per,Mr. Taylor,,,,,,,
94,per,Mrs. Winty Chandler,,,,,,,
95,per,Mr. Davis,art collector,,,,,,
96,loc,Egypt,country,,,,,,
97,loc,Tomb of Totmes IV,historic,,,,,,
98,per,Totmes IV,historic,,,,,,
99,loc,Tomb of the Queen Hatasu,historic,,,,,,
100,per,Queen Hatasu,historic,,,,,,
101,loc,189 Grampian Way,address / accomodation,,,,,,
102,loc,Dorchester,neighborhood,,,,,,
103,date,"Monday, Oct. 12, 1903",,,,,,,
104,loc,Old Point,landmark,,,,,,
105,per,Grandpa Cope,,,,,,,
106,per,Rachel,,,,,,,
107,loc,Boston,city,,,,,,
108,per,Miss Sellers,,,,,,,
109,per,The Father,,,,,,,
110,per,The Mother,,,,,,,
111,loc,189 Grampian Way,address / accomodation,,,,,,
112,loc,Dorchester,neighborhood,,,,,,
113,date,"Tuesday, Oct. 13, 1903",,,,,,,
114,loc,Boston,city,,,,,,
116,per,Rachel,,,,,,,
117,loc,189 Grampian Way,address / accomodation,,,,,,
118,loc,Dorchester,neighborhood,,,,,,
119,date,"Wednesday, Oct. 14, 1903",,,,,,,
120,loc,Blue Hill,landmark,,,,,,
122,loc,189 Grampian Way,address / accomodation,,,,,,
123,loc,Dorchester,neighborhood,,,,,,
124,date,"Thursday, Oct. 15, 1903",,,,,,,
125,loc,Cambridge,city,,,,,,
126,per,Mrs. Toy,,,,,,,
127,per,Santayana,scholar,,,,,,
128,per,Leslie Hopkinson,,,,,,,
129,per,Mr. Andrew,,,,,,,
130,misc,Orchestrelle,instrument,,,,,,
131,per,Rachel,,,,,,,
132,loc,189 Grampian Way,address / accomodation,,,,,,
133,loc,Dorchester,neighborhood,,,,,,
