type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Ute Lemper,,,,,
date,8/28/08,,,,,
loc,Carnegie Hall,,,,,
date,1987,,,,,
loc,America,exact,,America,true,
loc,New York,exact,,New York,true,
per,Liza Minnelli,exact,,Liza Minnelli,true,
loc,Germany,exact,,Germany,true,
per,Liza,exact,,Liza,,
per,Mahler,exact,,Mahler,,
per,Thomas Quasthoff,exact,,Thomas Quasthoff,true,
per,Keith Jarrett,exact,,Keith Jarrett,,
date,'87,,,,,
misc,the Pops,,,,,
loc,Europe,exact,,Europe,true,
loc,Austria,exact,,Austria,true,
org,Reinhardt Seminar,exact,,Reinhardt Seminar,,
date,1981,,,,,
date,1982,,,,,
misc,the 'clone' productions,,,,,
per,Lloyd Webber,exact,,Lloyd Webber,,
misc,Cats,exact,,Cats,,
loc,Berlin,exact,,Berlin,true,
misc,Peter Pan,exact,,Peter Pan,,
misc,Guys and Dolls,exact,,Guys and Dolls,,
per,Kurt Weill,exact,,Kurt Weill,,
misc,Blue Angel,exact,,Blue Angel,,
per,Chekhov,,,,,
per,Ibsen,exact,,Ibsen,,
per,Strindberg,exact,,Strindberg,,
per,Berthold Brecht,exact,,Berthold Brecht,,
misc,Weimar Republic,exact,,Weimar Republic,,
per,Weill,exact,,Weill,,
misc,The Seven Deadly Sins,,,,,
per,Weill-Brecht,,,,,
per,Astor Piazzolla,exact,,Astor Piazzolla,,
per,Brecht,exact,,Brecht,,
date,1935,,,,,
loc,Paris,exact,,Paris,true,
per,Georges Balanchine,exact,,Georges Balanchine,true,
org,Nazis,exact,,Nazis,,
loc,Champs-Elysees,,,,,
per,Anna I,,partial,Anna II,,
per,Anna II,exact,,Anna II,true,
per,Lotte Lenya,exact,,Lotte Lenya,true,
loc,United States,exact,,United States,true,
loc,Hollywood,exact,,Hollywood,true,
per,Anna,exact,,Anna,,
loc,Louisianna,exact,,Louisianna,true,
misc,Nevada,exact,,Nevada,,
misc,Cold War,,,,,
misc,the Wall,,,,,
loc,East,exact,,East,true,
loc,West,exact,,West,true,
misc,East Bloc,exact,,East Bloc,,
per,Wim Wenders,exact,,Wim Wenders,,
misc,Berlin,exact,,Berlin,,
misc,New York,exact,,New York,,
date,September 11th,,partial,"September 11th , that day",,
misc,Labor Day,exact,,Labor Day,,
loc,Nevada,exact,,Nevada,true,
date,'50s,,,,,
misc,Fox,exact,,Fox,,
misc,Apache,exact,,Apache,,
misc,Underdog,exact,,Underdog,,
misc,Nomad,,,,,
loc,Middle East,exact,,Middle East,true,
per,Ibn al Arabi,,,,,
date,12th century,exact,,12th century,,
misc,Kaaba,exact,,Kaaba,,
misc,Torah,exact,,Torah,,
loc,Koran,exact,,Koran,,
loc,Carnegie Hall,,,,,
date,'60s,,,,,
date,'70s,,,,,
misc,Pink Floyd,exact,,Pink Floyd,,
misc,Dire Straits,exact,,Dire Straits,,
misc,Bob Dylan,exact,,Bob Dylan,,
misc,Billy Joel,exact,,Billy Joel,,
misc,Stevie Wonder,exact,,Stevie Wonder,,
misc,R&B,,,,,
loc,Britain,,partial,Britain and America,,
per,Fitzgerald,exact,,Fitzgerald,,
per,Cole Porter,exact,,Cole Porter,,
per,Duke Ellington,exact,,Duke Ellington,,
per,Marx,,partial,Marxist,,
per,Martin Luther King,exact,,Martin Luther King,true,
per,Hitler,exact,,Hitler,,
misc,Fascism,,partial,Fascism and anti-Semitism and,,
misc,Aryans,,,,,
per,Eisler,exact,,Eisler,,
per,Mitterling,exact,,Mitterling,,
per,Hollaender,exact,,Hollaender,,
per,Spoliansky,,,,,
loc,England,exact,,England,true,
misc,Chicago,exact,,Chicago,,
loc,Carlisle Club,exact,,Carlisle Club,,
loc,Broadway,exact,,Broadway,true,
loc,West End,exact,,West End,,
loc,Joe's Pub,,,,,
per,Joe Papp,,,,,
per,Mark Littstein,,partial,[ Mark Littstein ],,
loc,The Public Theater,,,,,
loc,Town Hall,exact,,Town Hall,,
loc,Bottom Line,exact,,Bottom Line,,
loc,the University,,,,,
loc,Alice Tully Hall,exact,,Alice Tully Hall,,
loc,Lincoln Center,exact,,Lincoln Center,,
loc,Merkin Hall,exact,,Merkin Hall,,
loc,Carlisle,exact,,Carlisle,true,
loc,Neue Gallerie,exact,,Neue Gallerie,,
loc,Upper East Side,exact,,Upper East Side,true,
per,Klimt,,partial,Klimt and Egon Schiele,,
per,Egon Schiele,,partial,Klimt and Egon Schiele,,
per,George Grosz,exact,,George Grosz,,
date,Weimar Republic era,,,,,
date,pre-Weimar,,,,,
misc,Expressionists,,,,,
misc,First World War,exact,,First World War,,
misc,Expressionism,,,,,
misc,Orpheus,,,,,
org,Toronto Symphony,exact,,Toronto Symphony,true,
per,Piaf,,,,,
per,Larry Foster,exact,,Larry Foster,true,
loc,Spain,exact,,Spain,true,
loc,Barcelona,exact,,Barcelona,true,
loc,Prague,exact,,Prague,true,
loc,Prague Symphony Orchestra,exact,,Prague Symphony Orchestra,,
date,20th century,,,,,
misc,Three-Penny Opera,,,,,
misc,Mahogany,exact,,Mahogany,,
misc,Happy,exact,,Happy,,
