type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Ute Lemper,,,,,
date,8/28/08,,,,,
loc,Carnegie Hall,exact,,Carnegie Hall,,
date,1987,,,,,
loc,America,exact,,America,true,
loc,New York,exact,,New York,true,
per,Liza Minnelli,exact,,Liza Minnelli,true,
loc,Germany,exact,,Germany,true,
per,Liza,exact,,Liza,true,
per,Mahler,exact,,Mahler,true,
per,Thomas Quasthoff,exact,,Thomas Quasthoff,true,
per,Keith Jarrett,exact,,Keith Jarrett,true,
date,'87,,,,,
misc,the Pops,,,,,
loc,Europe,exact,,Europe,true,
loc,Austria,exact,,Austria,true,
org,Reinhardt Seminar,exact,,Reinhardt Seminar,,
date,1981,,,,,
date,1982,,,,,
misc,the 'clone' productions,,,,,
per,Lloyd Webber,exact,,Lloyd Webber,,
misc,Cats,,,,,
loc,Berlin,exact,,Berlin,true,
misc,Peter Pan,exact,,Peter Pan,,
misc,Guys and Dolls,,,,,
per,Kurt Weill,exact,,Kurt Weill,true,
misc,Blue Angel,exact,,Blue Angel,true,
per,Chekhov,exact,,Chekhov,,
per,Ibsen,exact,,Ibsen,,
per,Strindberg,exact,,Strindberg,,
per,Berthold Brecht,exact,,Berthold Brecht,true,
misc,Weimar Republic,exact,,Weimar Republic,,
per,Weill,exact,,Weill,true,
misc,The Seven Deadly Sins,,,,,
per,Weill-Brecht,,,,,
per,Astor Piazzolla,exact,,Astor Piazzolla,,
per,Brecht,,partial,Berthold Brecht,,
date,1935,,,,,
loc,Paris,exact,,Paris,true,
per,Georges Balanchine,exact,,Georges Balanchine,true,
org,Nazis,exact,,Nazis,,
loc,Champs-Elysees,,,,,
per,Anna I,,partial,Anna II,,
per,Anna II,exact,,Anna II,true,
per,Lotte Lenya,exact,,Lotte Lenya,true,
loc,United States,exact,,United States,true,
loc,Hollywood,exact,,Hollywood,true,
per,Anna,exact,,Anna,true,
loc,Louisianna,exact,,Louisianna,true,
misc,Nevada,exact,,Nevada,,
misc,Cold War,exact,,Cold War,true,
misc,the Wall,,,,,
loc,East,,partial,Upper East Side,,
loc,West,,partial,West End,,
misc,East Bloc,exact,,East Bloc,,
per,Wim Wenders,exact,,Wim Wenders,true,
misc,Berlin,exact,,Berlin,,
misc,New York,exact,,New York,,
date,September 11th,,,,,
misc,Labor Day,exact,,Labor Day,true,
loc,Nevada,exact,,Nevada,true,
date,'50s,,,,,
misc,Fox,,partial,"Fox , Apache",,
misc,Apache,,partial,"Fox , Apache",,
misc,Underdog,exact,,Underdog,true,
misc,Nomad,,,,,
loc,Middle East,exact,,Middle East,true,
per,Ibn al Arabi,,,,,
date,12th century,,,,,
misc,Kaaba,exact,,Kaaba,,
misc,Torah,exact,,Torah,,
loc,Koran,exact,,Koran,true,
loc,Carnegie Hall,exact,,Carnegie Hall,,
date,'60s,,,,,
date,'70s,,,,,
misc,Pink Floyd,exact,,Pink Floyd,,
misc,Dire Straits,exact,,Dire Straits,,
misc,Bob Dylan,exact,,Bob Dylan,,
misc,Billy Joel,exact,,Billy Joel,,
misc,Stevie Wonder,exact,,Stevie Wonder,,
misc,R&B,,,,,
loc,Britain,exact,,Britain,true,
per,Fitzgerald,,,,,
per,Cole Porter,exact,,Cole Porter,true,
per,Duke Ellington,exact,,Duke Ellington,true,
per,Marx,exact,,Marx,true,
per,Martin Luther King,exact,,Martin Luther King,true,
per,Hitler,exact,,Hitler,true,
misc,Fascism,exact,,Fascism,true,
misc,Aryans,exact,,Aryans,true,
per,Eisler,exact,,Eisler,true,
per,Mitterling,,,,,
per,Hollaender,,,,,
per,Spoliansky,exact,,Spoliansky,,
loc,England,exact,,England,true,
misc,Chicago,exact,,Chicago,,
loc,Carlisle Club,exact,,Carlisle Club,true,
loc,Broadway,exact,,Broadway,true,
loc,West End,exact,,West End,true,
loc,Joe's Pub,,,,,
per,Joe Papp,exact,,Joe Papp,true,
per,Mark Littstein,exact,,Mark Littstein,true,
loc,The Public Theater,,,,,
loc,Town Hall,exact,,Town Hall,true,
loc,Bottom Line,exact,,Bottom Line,,
loc,the University,,,,,
loc,Alice Tully Hall,,,,,
loc,Lincoln Center,exact,,Lincoln Center,true,
loc,Merkin Hall,exact,,Merkin Hall,,
loc,Carlisle,exact,,Carlisle,,
loc,Neue Gallerie,exact,,Neue Gallerie,,
loc,Upper East Side,exact,,Upper East Side,,
per,Klimt,,,,,
per,Egon Schiele,exact,,Egon Schiele,true,
per,George Grosz,exact,,George Grosz,true,
date,Weimar Republic era,,,,,
date,pre-Weimar,,,,,
misc,Expressionists,,,,,
misc,First World War,exact,,First World War,true,
misc,Expressionism,exact,,Expressionism,true,
misc,Orpheus,,,,,
org,Toronto Symphony,exact,,Toronto Symphony,,
per,Piaf,,,,,
per,Larry Foster,exact,,Larry Foster,true,
loc,Spain,exact,,Spain,true,
loc,Barcelona,exact,,Barcelona,true,
loc,Prague,exact,,Prague,true,
loc,Prague Symphony Orchestra,exact,,Prague Symphony Orchestra,,
date,20th century,,,,,
misc,Three-Penny Opera,exact,,Three-Penny Opera,,
misc,Mahogany,exact,,Mahogany,,
misc,Happy,,,,,
