type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Ute Lemper,,,,,
date,8/28/08,,,,,
loc,Carnegie Hall,exact,,Carnegie Hall,,
date,1987,,,,,
loc,America,exact,,America,,
loc,New York,exact,,New York,,
per,Liza Minnelli,exact,,Liza Minnelli,,
loc,Germany,exact,,Germany,,
per,Liza,exact,,Liza,,
per,Mahler,exact,,Mahler,,
per,Thomas Quasthoff,exact,,Thomas Quasthoff,,
per,Keith Jarrett,,,,,
date,'87,,,,,
misc,the Pops,,,,,
loc,Europe,,,,,
loc,Austria,exact,,Austria,,
org,Reinhardt Seminar,,,,,
date,1981,,,,,
date,1982,,,,,
misc,the 'clone' productions,,,,,
per,Lloyd Webber,,,,,
misc,Cats,exact,,Cats,,
loc,Berlin,exact,,Berlin,,
misc,Peter Pan,exact,,Peter Pan,,
misc,Guys and Dolls,,,,,
per,Kurt Weill,exact,,Kurt Weill,,
misc,Blue Angel,exact,,Blue Angel,,
per,Chekhov,exact,,Chekhov,,
per,Ibsen,exact,,Ibsen,,
per,Strindberg,exact,,Strindberg,,
per,Berthold Brecht,exact,,Berthold Brecht,,
misc,Weimar Republic,,,,,
per,Weill,exact,,Weill,,
misc,The Seven Deadly Sins,,,,,
per,Weill-Brecht,,,,,
per,Astor Piazzolla,exact,,Astor Piazzolla,,
per,Brecht,exact,,Brecht,,
date,1935,,,,,
loc,Paris,exact,,Paris,,
per,Georges Balanchine,,,,,
org,Nazis,exact,,Nazis,,
loc,Champs-Elysees,,,,,
per,Anna I,,partial,Anna II,,
per,Anna II,exact,,Anna II,,
per,Lotte Lenya,exact,,Lotte Lenya,,
loc,United States,exact,,United States,,
loc,Hollywood,exact,,Hollywood,,
per,Anna,exact,,Anna,,
loc,Louisianna,exact,,Louisianna,,
misc,Nevada,exact,,Nevada,,
misc,Cold War,exact,,Cold War,,
misc,the Wall,,,,,
loc,East,exact,,East,,
loc,West,exact,,West,,
misc,East Bloc,,,,,
per,Wim Wenders,,,,,
misc,Berlin,exact,,Berlin,,
misc,New York,exact,,New York,,
date,September 11th,,,,,
misc,Labor Day,exact,,Labor Day,,
loc,Nevada,exact,,Nevada,,
date,'50s,,,,,
misc,Fox,,partial,Fox Apache,,
misc,Apache,,partial,Fox Apache,,
misc,Underdog,,,,,
misc,Nomad,exact,,Nomad,,
loc,Middle East,exact,,Middle East,,
per,Ibn al Arabi,,,,,
date,12th century,,,,,
misc,Kaaba,,,,,
misc,Torah,exact,,Torah,,
loc,Koran,,,,,
loc,Carnegie Hall,exact,,Carnegie Hall,,
date,'60s,,,,,
date,'70s,,,,,
misc,Pink Floyd,exact,,Pink Floyd,,
misc,Dire Straits,exact,,Dire Straits,,
misc,Bob Dylan,exact,,Bob Dylan,,
misc,Billy Joel,exact,,Billy Joel,,
misc,Stevie Wonder,,,,,
misc,R&B,,,,,
loc,Britain,exact,,Britain,,
per,Fitzgerald,exact,,Fitzgerald,,
per,Cole Porter,exact,,Cole Porter,,
per,Duke Ellington,exact,,Duke Ellington,,
per,Marx,exact,,Marx,,
per,Martin Luther King,exact,,Martin Luther King,,
per,Hitler,exact,,Hitler,,
misc,Fascism,,,,,
misc,Aryans,exact,,Aryans,,
per,Eisler,exact,,Eisler,,
per,Mitterling,exact,,Mitterling,,
per,Hollaender,exact,,Hollaender,,
per,Spoliansky,exact,,Spoliansky,,
loc,England,exact,,England,,
misc,Chicago,exact,,Chicago,,
loc,Carlisle Club,,,,,
loc,Broadway,exact,,Broadway,,
loc,West End,exact,,West End,,
loc,Joe's Pub,,,,,
per,Joe Papp,exact,,Joe Papp,,
per,Mark Littstein,,partial,[Mark Littstein],,
loc,The Public Theater,,,,,
loc,Town Hall,exact,,Town Hall,,
loc,Bottom Line,exact,,Bottom Line,,
loc,the University,,,,,
loc,Alice Tully Hall,,,,,
loc,Lincoln Center,exact,,Lincoln Center,,
loc,Merkin Hall,,,,,
loc,Carlisle,exact,,Carlisle,,
loc,Neue Gallerie,exact,,Neue Gallerie,,
loc,Upper East Side,exact,,Upper East Side,,
per,Klimt,exact,,Klimt,,
per,Egon Schiele,exact,,Egon Schiele,,
per,George Grosz,exact,,George Grosz,,
date,Weimar Republic era,,,,,
date,pre-Weimar,,,,,
misc,Expressionists,,,,,
misc,First World War,,,,,
misc,Expressionism,,partial,Expressionism Orpheus,,
misc,Orpheus,,partial,Expressionism Orpheus,,
org,Toronto Symphony,,partial,Toronto Symphony Piaf,,
per,Piaf,,partial,Toronto Symphony Piaf,,
per,Larry Foster,,,,,
loc,Spain,exact,,Spain,,
loc,Barcelona,exact,,Barcelona,,
loc,Prague,exact,,Prague,,
loc,Prague Symphony Orchestra,,,,,
date,20th century,,,,,
misc,Three-Penny Opera,,,,,
misc,Mahogany,,,,,
misc,Happy,,,,,
