type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Ute Lemper,,,,False,
date,8/28/08,,,,False,
loc,Carnegie Hall,exact,,Carnegie Hall,False,
date,1987,exact,,1987,True,
loc,America,exact,,America,True,
loc,New York,exact,,New York,True,
per,Liza Minnelli,exact,,Liza Minnelli,True,
loc,Germany,exact,,Germany,True,
per,Liza,exact,,Liza,True,
per,Mahler,exact,,Mahler,True,
per,Thomas Quasthoff,exact,,Thomas Quasthoff,True,
per,Keith Jarrett,exact,,Keith Jarrett,True,
date,'87,,,,False,
misc,the Pops,,partial,Pops,False,
loc,Europe,exact,,Europe,False,
loc,Austria,exact,,Austria,True,
org,Reinhardt Seminar,,partial,the Reinhardt Seminar,False,
date,1981,exact,,1981,True,
date,1982,exact,,1982,True,
misc,the 'clone' productions,,,,False,
per,Lloyd Webber,exact,,Lloyd Webber,False,
misc,Cats,exact,,Cats,False,
loc,Berlin,exact,,Berlin,True,
misc,Peter Pan,exact,,Peter Pan,False,
misc,Guys and Dolls,exact,,Guys and Dolls,False,
per,Kurt Weill,exact,,Kurt Weill,True,
misc,Blue Angel,,partial,the Blue Angel,True,
per,Chekhov,exact,,Chekhov,True,
per,Ibsen,exact,,Ibsen,True,
per,Strindberg,exact,,Strindberg,True,
per,Berthold Brecht,exact,,Berthold Brecht,True,
misc,Weimar Republic,exact,,Weimar Republic,False,
per,Weill,exact,,Weill,True,
misc,The Seven Deadly Sins,exact,,The Seven Deadly Sins,False,
per,Weill-Brecht,,partial,Brecht,True,
per,Astor Piazzolla,exact,,Astor Piazzolla,True,
per,Brecht,exact,,Brecht,True,
date,1935,exact,,1935,True,
loc,Paris,exact,,Paris,True,
per,Georges Balanchine,exact,,Georges Balanchine,True,
org,Nazis,exact,,Nazis,False,
loc,Champs-Elysees,,partial,Champs,False,
per,Anna I,exact,,Anna I,True,
per,Anna II,exact,,Anna II,True,
per,Lotte Lenya,exact,,Lotte Lenya,True,
loc,United States,,partial,the United States,True,
loc,Hollywood,exact,,Hollywood,True,
per,Anna,exact,,Anna,True,
loc,Louisianna,exact,,Louisianna,False,
misc,Nevada,exact,,Nevada,False,
misc,Cold War,exact,,Cold War,True,
misc,the Wall,,partial,Wall,True,
loc,East,exact,,East,False,
loc,West,exact,,West,False,
misc,East Bloc,,partial,the East Bloc,True,
per,Wim Wenders,,,,False,
misc,Berlin,exact,,Berlin,False,
misc,New York,exact,,New York,False,
date,September 11th,exact,,September 11th,False,
misc,Labor Day,exact,,Labor Day,False,
loc,Nevada,exact,,Nevada,True,
date,'50s,,,,False,
misc,Fox,,partial," Fox,",False,
misc,Apache,exact,,Apache,True,
misc,Underdog,exact,,Underdog,False,
misc,Nomad,exact,,Nomad,False,
loc,Middle East,exact,,Middle East,False,
per,Ibn al Arabi,,partial,[Ibn al Arabi,True,
date,12th century,,partial,the 12th century,True,
misc,Kaaba,exact,,Kaaba,False,
misc,Torah,exact,,Torah,False,
loc,Koran,exact,,Koran,False,
loc,Carnegie Hall,exact,,Carnegie Hall,False,
date,'60s,,,,False,
date,'70s,,,,False,
misc,Pink Floyd,,,,False,
misc,Dire Straits,,,,False,
misc,Bob Dylan,exact,,Bob Dylan,False,
misc,Billy Joel,exact,,Billy Joel,False,
misc,Stevie Wonder,exact,,Stevie Wonder,False,
misc,R&B,,partial,R&B.,False,
loc,Britain,exact,,Britain,True,
per,Fitzgerald,exact,,Fitzgerald,True,
per,Cole Porter,exact,,Cole Porter,False,
per,Duke Ellington,exact,,Duke Ellington,True,
per,Marx,exact,,Marx,True,
per,Martin Luther King,exact,,Martin Luther King,True,
per,Hitler,exact,,Hitler,True,
misc,Fascism,exact,,Fascism,False,
misc,Aryans,exact,,Aryans,True,
per,Eisler,exact,,Eisler,False,
per,Mitterling,exact,,Mitterling,False,
per,Hollaender,exact,,Hollaender,False,
per,Spoliansky,,,,False,
loc,England,exact,,England,True,
misc,Chicago,exact,,Chicago,False,
loc,Carlisle Club,,partial,the Carlisle Club,False,
loc,Broadway,exact,,Broadway,False,
loc,West End,,partial,West,False,
loc,Joe's Pub,,,,False,
per,Joe Papp,exact,,Joe Papp,True,
per,Mark Littstein,exact,,Mark Littstein,True,
loc,The Public Theater,exact,,The Public Theater,False,
loc,Town Hall,exact,,Town Hall,False,
loc,Bottom Line,,partial,the Bottom Line,False,
loc,the University,,partial,the University downtown,False,
loc,Alice Tully Hall,exact,,Alice Tully Hall,False,
loc,Lincoln Center,exact,,Lincoln Center,False,
loc,Merkin Hall,exact,,Merkin Hall,False,
loc,Carlisle,,partial,the Carlisle Club,False,
loc,Neue Gallerie,,partial,the Neue Gallerie,False,
loc,Upper East Side,,partial,the Upper East Side,False,
per,Klimt,exact,,Klimt,False,
per,Egon Schiele,exact,,Egon Schiele,True,
per,George Grosz,exact,,George Grosz,True,
date,Weimar Republic era,,partial,Weimar,False,
date,pre-Weimar,,partial,Weimar,False,
misc,Expressionists,,partial,Expressionist,False,
misc,First World War,,partial,the First World War,True,
misc,Expressionism,,,,False,
misc,Orpheus,,,,False,
org,Toronto Symphony,,partial,the Toronto Symphony,True,
per,Piaf,exact,,Piaf,True,
per,Larry Foster,exact,,Larry Foster,True,
loc,Spain,exact,,Spain,True,
loc,Barcelona,exact,,Barcelona,True,
loc,Prague,exact,,Prague,True,
loc,Prague Symphony Orchestra,,partial,the Prague Symphony Orchestra,False,
date,20th century,,,,False,
misc,Three-Penny Opera,,,,False,
misc,Mahogany,exact,,Mahogany,False,
misc,Happy,,,,False,
