type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Ute Lemper,exact,,Ute Lemper,true,
date,8/28/08,,,,,
loc,Carnegie Hall,exact,,Carnegie Hall,true,
date,1987,,,,,
loc,America,,,,,
loc,New York,exact,,New York,true,
per,Liza Minnelli,exact,,Liza Minnelli,true,
loc,Germany,exact,,Germany,true,
per,Liza,exact,,Liza,true,
per,Mahler,exact,,Mahler,,
per,Thomas Quasthoff,exact,,Thomas Quasthoff,,
per,Keith Jarrett,exact,,Keith Jarrett,true,
date,'87,,,,,
misc,the Pops,,,,,
loc,Europe,,,,,
loc,Austria,exact,,Austria,true,
org,Reinhardt Seminar,,,,,
date,1981,,,,,
date,1982,,,,,
misc,the 'clone' productions,,,,,
per,Lloyd Webber,,,,,
misc,Cats,,,,,
loc,Berlin,exact,,Berlin,true,
misc,Peter Pan,exact,,Peter Pan,,
misc,Guys and Dolls,,,,,
per,Kurt Weill,exact,,Kurt Weill,,
misc,Blue Angel,,,,,
per,Chekhov,,,,,
per,Ibsen,,,,,
per,Strindberg,,,,,
per,Berthold Brecht,exact,,Berthold Brecht,true,
misc,Weimar Republic,exact,,Weimar Republic,,
per,Weill,,partial,Kurt Weill,,
misc,The Seven Deadly Sins,exact,,The Seven Deadly Sins,true,
per,Weill-Brecht,,,,,
per,Astor Piazzolla,exact,,Astor Piazzolla,true,
per,Brecht,,partial,Berthold Brecht,,
date,1935,,,,,
loc,Paris,exact,,Paris,true,
per,Georges Balanchine,exact,,Georges Balanchine,true,
org,Nazis,,,,,
loc,Champs-Elysees,exact,,Champs-Elysees,true,
per,Anna I,,,,,
per,Anna II,,,,,
per,Lotte Lenya,exact,,Lotte Lenya,true,
loc,United States,,,,,
loc,Hollywood,exact,,Hollywood,true,
per,Anna,,,,,
loc,Louisianna,,,,,
misc,Nevada,exact,,Nevada,,
misc,Cold War,exact,,Cold War,true,
misc,the Wall,,,,,
loc,East,,partial,Upper East Side,,
loc,West,,partial,West End,,
misc,East Bloc,,,,,
per,Wim Wenders,exact,,Wim Wenders,true,
misc,Berlin,exact,,Berlin,,
misc,New York,exact,,New York,,
date,September 11th,,,,,
misc,Labor Day,exact,,Labor Day,true,
loc,Nevada,exact,,Nevada,true,
date,'50s,,,,,
misc,Fox,exact,,Fox,,
misc,Apache,exact,,Apache,true,
misc,Underdog,,,,,
misc,Nomad,,,,,
loc,Middle East,,,,,
per,Ibn al Arabi,,,,,
date,12th century,,,,,
misc,Kaaba,exact,,Kaaba,,
misc,Torah,exact,,Torah,true,
loc,Koran,exact,,Koran,,
loc,Carnegie Hall,exact,,Carnegie Hall,true,
date,'60s,,,,,
date,'70s,,,,,
misc,Pink Floyd,,,,,
misc,Dire Straits,exact,,Dire Straits,,
misc,Bob Dylan,exact,,Bob Dylan,,
misc,Billy Joel,exact,,Billy Joel,,
misc,Stevie Wonder,exact,,Stevie Wonder,,
misc,R&B,exact,,R&B,true,
loc,Britain,,,,,
per,Fitzgerald,,,,,
per,Cole Porter,exact,,Cole Porter,,
per,Duke Ellington,exact,,Duke Ellington,true,
per,Marx,,partial,Marxist,,
per,Martin Luther King,,,,,
per,Hitler,,,,,
misc,Fascism,exact,,Fascism,true,
misc,Aryans,,,,,
per,Eisler,exact,,Eisler,,
per,Mitterling,,,,,
per,Hollaender,,,,,
per,Spoliansky,,,,,
loc,England,exact,,England,,
misc,Chicago,exact,,Chicago,,
loc,Carlisle Club,,,,,
loc,Broadway,exact,,Broadway,,
loc,West End,exact,,West End,,
loc,Joe's Pub,,,,,
per,Joe Papp,exact,,Joe Papp,true,
per,Mark Littstein,,,,,
loc,The Public Theater,exact,,The Public Theater,true,
loc,Town Hall,,,,,
loc,Bottom Line,,,,,
loc,the University,,,,,
loc,Alice Tully Hall,,,,,
loc,Lincoln Center,exact,,Lincoln Center,true,
loc,Merkin Hall,exact,,Merkin Hall,true,
loc,Carlisle,exact,,Carlisle,true,
loc,Neue Gallerie,,,,,
loc,Upper East Side,exact,,Upper East Side,true,
per,Klimt,,,,,
per,Egon Schiele,exact,,Egon Schiele,true,
per,George Grosz,exact,,George Grosz,true,
date,Weimar Republic era,,,,,
date,pre-Weimar,,,,,
misc,Expressionists,,,,,
misc,First World War,exact,,First World War,true,
misc,Expressionism,,,,,
misc,Orpheus,exact,,Orpheus,true,
org,Toronto Symphony,,,,,
per,Piaf,,,,,
per,Larry Foster,,,,,
loc,Spain,exact,,Spain,true,
loc,Barcelona,exact,,Barcelona,true,
loc,Prague,exact,,Prague,true,
loc,Prague Symphony Orchestra,,,,,
date,20th century,,,,,
misc,Three-Penny Opera,,,,,
misc,Mahogany,,,,,
misc,Happy,,,,,
