type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Ute Lemper,,,,False,
date,8/28/08,,,,False,
loc,Carnegie Hall,exact,,Carnegie Hall,False,
date,1987,exact,,1987,True,
loc,America,exact,,America,True,
loc,New York,exact,,New York,True,
per,Liza Minnelli,exact,,Liza Minnelli,True,
loc,Germany,exact,,Germany,True,
per,Liza,,partial,Liza Minnelli,True,
per,Mahler,,,,False,
per,Thomas Quasthoff,exact,,Thomas Quasthoff,True,
per,Keith Jarrett,exact,,Keith Jarrett,True,
date,'87,,,,False,
misc,the Pops,,,,False,
loc,Europe,exact,,Europe,True,
loc,Austria,exact,,Austria,True,
org,Reinhardt Seminar,exact,,Reinhardt Seminar,True,
date,1981,exact,,1981,True,
date,1982,exact,,1982,True,
misc,the 'clone' productions,,,,False,
per,Lloyd Webber,exact,,Lloyd Webber,True,
misc,Cats,,,,False,
loc,Berlin,exact,,Berlin,True,
misc,Peter Pan,exact,,Peter Pan,False,
misc,Guys and Dolls,,,,False,
per,Kurt Weill,exact,,Kurt Weill,True,
misc,Blue Angel,exact,,Blue Angel,False,
per,Chekhov,,,,False,
per,Ibsen,,,,False,
per,Strindberg,exact,,Strindberg,False,
per,Berthold Brecht,exact,,Berthold Brecht,True,
misc,Weimar Republic,exact,,Weimar Republic,False,
per,Weill,exact,,Weill,True,
misc,The Seven Deadly Sins,,,,False,
per,Weill-Brecht,,partial,Weill,True,
per,Astor Piazzolla,exact,,Astor Piazzolla,False,
per,Brecht,exact,,Brecht,True,
date,1935,exact,,1935,True,
loc,Paris,exact,,Paris,True,
per,Georges Balanchine,exact,,Georges Balanchine,True,
org,Nazis,exact,,Nazis,True,
loc,Champs-Elysees,,,,False,
per,Anna I,,partial,Anna,True,
per,Anna II,exact,,Anna II,True,
per,Lotte Lenya,exact,,Lotte Lenya,False,
loc,United States,exact,,United States,True,
loc,Hollywood,exact,,Hollywood,True,
per,Anna,exact,,Anna,True,
loc,Louisianna,exact,,Louisianna,True,
misc,Nevada,exact,,Nevada,False,
misc,Cold War,,,,False,
misc,the Wall,,,,False,
loc,East,,partial,Middle East,True,
loc,West,,,,False,
misc,East Bloc,exact,,East Bloc,False,
per,Wim Wenders,,,,False,
misc,Berlin,exact,,Berlin,False,
misc,New York,exact,,New York,False,
date,September 11th,exact,,September 11th,True,
misc,Labor Day,exact,,Labor Day,False,
loc,Nevada,exact,,Nevada,True,
date,'50s,,,,False,
misc,Fox,exact,,Fox,False,
misc,Apache,,,,False,
misc,Underdog,,,,False,
misc,Nomad,,,,False,
loc,Middle East,exact,,Middle East,True,
per,Ibn al Arabi,,,,False,
date,12th century,exact,,12th century,True,
misc,Kaaba,exact,,Kaaba,False,
misc,Torah,,,,False,
loc,Koran,exact,,Koran,True,
loc,Carnegie Hall,exact,,Carnegie Hall,False,
date,'60s,,,,False,
date,'70s,,,,False,
misc,Pink Floyd,exact,,Pink Floyd,False,
misc,Dire Straits,,,,False,
misc,Bob Dylan,exact,,Bob Dylan,False,
misc,Billy Joel,exact,,Billy Joel,False,
misc,Stevie Wonder,exact,,Stevie Wonder,False,
misc,R&B,,,,False,
loc,Britain,exact,,Britain,True,
per,Fitzgerald,exact,,Fitzgerald,False,
per,Cole Porter,exact,,Cole Porter,True,
per,Duke Ellington,exact,,Duke Ellington,False,
per,Marx,exact,,Marx,True,
per,Martin Luther King,exact,,Martin Luther King,False,
per,Hitler,,,,False,
misc,Fascism,,,,False,
misc,Aryans,,,,False,
per,Eisler,,,,False,
per,Mitterling,,,,False,
per,Hollaender,,,,False,
per,Spoliansky,,,,False,
loc,England,,,,False,
misc,Chicago,,,,False,
loc,Carlisle Club,,,,False,
loc,Broadway,,,,False,
loc,West End,,,,False,
loc,Joe's Pub,,,,False,
per,Joe Papp,,,,False,
per,Mark Littstein,,,,False,
loc,The Public Theater,,,,False,
loc,Town Hall,,,,False,
loc,Bottom Line,,,,False,
loc,the University,,,,False,
loc,Alice Tully Hall,,,,False,
loc,Lincoln Center,,,,False,
loc,Merkin Hall,,,,False,
loc,Carlisle,,,,False,
loc,Neue Gallerie,,,,False,
loc,Upper East Side,,,,False,
per,Klimt,,,,False,
per,Egon Schiele,,,,False,
per,George Grosz,,,,False,
date,Weimar Republic era,,partial,Weimar Republic,False,
date,pre-Weimar,,,,False,
misc,Expressionists,,,,False,
misc,First World War,,,,False,
misc,Expressionism,,,,False,
misc,Orpheus,,,,False,
org,Toronto Symphony,,,,False,
per,Piaf,,,,False,
per,Larry Foster,,,,False,
loc,Spain,,,,False,
loc,Barcelona,,,,False,
loc,Prague,,,,False,
loc,Prague Symphony Orchestra,,,,False,
date,20th century,,,,False,
misc,Three-Penny Opera,,,,False,
misc,Mahogany,,,,False,
misc,Happy,,,,False,
