type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,William Opie,,,,,
per,Mr. Aberle,exact,,Mr. Aberle,true,
loc,Fergus Falls Brewery,exact,,Fergus Falls Brewery,,
org,AAD Temple Imperial Council,,partial,AAD Temple Imperial Council Session,,
loc,Minneapolis,exact,,Minneapolis,true,
org,Duluth chapter of the Shriners,,,,,
loc,Aad Temple,exact,,Aad Temple,,
loc,Aage Peterson Store,exact,,Aage Peterson Store,,
loc,Starbuck,exact,,Starbuck,true,
date,"August 19, 1933",,,,,
per,H.F. Mark,,,,,
org,P.M. Mark Medicine Company,,,,,
loc,"Fosston, Minnesota",,,,,
org,Aamoth Brothers,exact,,Aamoth Brothers,true,
loc,"Mahnomen, Minnesota",,,,,
loc,A.A. Zimmerman Hardware Store,,,,,
loc,Sporting Goods Department,exact,,Sporting Goods Department,,
loc,Mankato,exact,,Mankato,true,
loc,Paint Department,exact,,Paint Department,,
org,Yellow Medicine Agency,exact,,Yellow Medicine Agency,true,
misc,Dakota Conflict of 1852,,,,,
loc,Upper Sioux Agency State Park,exact,,Upper Sioux Agency State Park,,
loc,Minnesota,exact,,Minnesota,true,
per,Arthur Adams,exact,,Arthur Adams,true,
per,Adams,exact,,Adams,true,
loc,3648 Lyndale Avenue South,,,,,
loc,Linden Hills Bridge,exact,,Linden Hills Bridge,,
loc,Interlachen Bridge,exact,,Interlachen Bridge,,
loc,42nd Street,,,,,
loc,East Hennepin at Stinson Blvd.,,,,,
loc,Abbett's Drug Store,,,,,
loc,201 west Superior street,,,,,
loc,Salvation Army,,,,,
loc,People's Theater,,,,,
per,Abbot Alexius Edelborck,,partial,People 's Theater Portrait of Abbot Alexius Edelborck,,
org,Order of Saint Benedict,exact,,Order of Saint Benedict,true,
per,Abbot Peter Engel,,,,,
loc,A.B. Cone Jewelry Store,,,,,
per,A.B. Cone,,,,,
per,Jennie Bryan,,partial,Cone and Jennie Bryan,,
per,Abe Malmon,exact,,Abe Malmon,true,
loc,St. Paul,exact,,St. Paul,,
loc,7th and St. Peter,,,,,
per,Abe Orbuch,,,,,
loc,Poland,exact,,Poland,true,
misc,Model T-Ford,,,,,
loc,Foley,exact,,Foley,true,
org,Arctic Cracker and Spice Company,exact,,Arctic Cracker and Spice Company,true,
loc,Nicollet Island,exact,,Nicollet Island,true,
org,Worthington State College,exact,,Worthington State College,true,
loc,"Worthington, Minnesota",,,,,
loc,Chicago,,partial,Chicago Milwaukee \\u0026 Saint Paul \\ Three,,
loc,Milwaukee,,partial,Chicago Milwaukee \\u0026 Saint Paul \\ Three,,
per,Dan Edding,exact,,Dan Edding,,
org,Civilian Conservation Corps,,,,,
loc,North Shore of Lake Superior,,,,,
loc,Grand Marais,exact,,Grand Marais,true,
misc,U.S.S. Paducah,,,,,
date,1904,,,,,
date,1945,,,,,
loc,Duluth,exact,,Duluth,true,
date,1971,,,,,
org,Bethel,exact,,Bethel,,
per,Henry Merry,,,,,
date,March 1902,exact,,March 1902,,
date,1933,,partial,"August 19 , 1933",,
loc,Front Street(Center Avenue),,,,,
loc,4th Street North,,,,,
loc,Front Street,exact,,Front Street,,
loc,Ole E. Flaten's Photo Gallery,,,,,
misc,World War I,,,,,
loc,Union Depot,exact,,Union Depot,true,
misc,St. Paul Almanac,,,,,
date,2015,,partial,of 2015,,
date,2017,,partial,of 2017,,
org,St. Benedict's Mission,,,,,
loc,White Earth Indian Reservation,,,,,
misc,White Earth Band of Ojibwe,,,,,
loc,White Earth,exact,,White Earth,,
per,Katherine Drexel,exact,,Katherine Drexel,true,
loc,Philadelphia,exact,,Philadelphia,true,
org,Sisters of the Blessed Sacrament,,,,,
per,Katherine,exact,,Katherine,,
misc,Benedictines,exact,,Benedictines,,
date,1890,,,,,
date,"February 10, 1892",,,,,
date,1895,,,,,
org,Catholics of the Northwest Territory,,,,,
loc,St. John's Abbey,,,,,
loc,St. Benedict's Convent,,,,,
misc,Ojibwe,exact,,Ojibwe,,
date,1945,,,,,
misc,SBMA,exact,,SBMA,,
per,MacDonald,,,,,
loc,Stewart Hall,,,,,
per,George Bonga,exact,,George Bonga,true,
loc,3648 Lyndale Avenue South,,,,,
loc,Morgan Park,exact,,Morgan Park,true,
loc,Open House,exact,,Open House,,
per,Sawyer,,partial,Sawyer and Davis,,
per,Davis,,partial,Sawyer and Davis,,
misc,The Bearmans,,,,,
loc,The Emanuel Cohen Center,,,,,
misc,North Minneapolis Jewish community,,,,,
loc,The Center,,,,,
per,Emanuel Cohen,exact,,Emanuel Cohen,,
