type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,William Opie,exact,,William Opie,True,
per,Mr. Aberle,,,,False,
loc,Fergus Falls Brewery,exact,,Fergus Falls Brewery,False,
org,AAD Temple Imperial Council,,partial,Aad Temple,False,
loc,Minneapolis,exact,,Minneapolis,True,
org,Duluth chapter of the Shriners,,partial,Duluth,False,
loc,Aad Temple,exact,,Aad Temple,True,
loc,Aage Peterson Store,exact,,Aage Peterson Store,False,
loc,Starbuck,exact,,Starbuck,True,
date,"August 19, 1933",,,,False,
per,H.F. Mark,,partial,F. Mark,True,
org,P.M. Mark Medicine Company,,partial,M. Mark Medicine Company,False,
loc,"Fosston, Minnesota",,partial,Minnesota,True,
org,Aamoth Brothers,exact,,Aamoth Brothers,False,
loc,"Mahnomen, Minnesota",,partial,Mahnomen,True,
loc,A.A. Zimmerman Hardware Store,,partial,A. Zimmerman Hardware Store,False,
loc,Sporting Goods Department,exact,,Sporting Goods Department,False,
loc,Mankato,exact,,Mankato,True,
loc,Paint Department,exact,,Paint Department,False,
org,Yellow Medicine Agency,exact,,Yellow Medicine Agency,False,
misc,Dakota Conflict of 1852,exact,,Dakota Conflict of 1852,True,
loc,Upper Sioux Agency State Park,exact,,Upper Sioux Agency State Park,False,
loc,Minnesota,exact,,Minnesota,True,
per,Arthur Adams,exact,,Arthur Adams,True,
per,Adams,exact,,Adams,True,
loc,3648 Lyndale Avenue South,,partial,Avenue South,False,
loc,Linden Hills Bridge,exact,,Linden Hills Bridge,False,
loc,Interlachen Bridge,exact,,Interlachen Bridge,True,
loc,42nd Street,,,,False,
loc,East Hennepin at Stinson Blvd.,,partial,Stinson Blvd,True,
loc,Abbett's Drug Store,,partial,Drug Store,False,
loc,201 west Superior street,,,,False,
loc,Salvation Army,,,,False,
loc,People's Theater,,,,False,
per,Abbot Alexius Edelborck,exact,,Abbot Alexius Edelborck,False,
org,Order of Saint Benedict,,partial,Saint Benedict,False,
per,Abbot Peter Engel,exact,,Abbot Peter Engel,False,
loc,A.B. Cone Jewelry Store,exact,,A.B. Cone Jewelry Store,False,
per,A.B. Cone,exact,,A.B. Cone,True,
per,Jennie Bryan,exact,,Jennie Bryan,True,
per,Abe Malmon,,partial,Malmon,False,
loc,St. Paul,exact,,St. Paul,True,
loc,7th and St. Peter,,partial,St. Peter,True,
per,Abe Orbuch,,,,False,
loc,Poland,exact,,Poland,True,
misc,Model T-Ford,,,,False,
loc,Foley,exact,,Foley,True,
org,Arctic Cracker and Spice Company,exact,,Arctic Cracker and Spice Company,False,
loc,Nicollet Island,exact,,Nicollet Island,False,
org,Worthington State College,exact,,Worthington State College,False,
loc,"Worthington, Minnesota",,partial,Worthington,True,
loc,Chicago,,,,False,
loc,Milwaukee,,,,False,
per,Dan Edding,,,,False,
org,Civilian Conservation Corps,,,,False,
loc,North Shore of Lake Superior,,partial,North,True,
loc,Grand Marais,exact,,Grand Marais,False,
misc,U.S.S. Paducah,,partial,U.S.S,False,
date,1904,,,,False,
date,1945,,,,False,
loc,Duluth,exact,,Duluth,True,
date,1971,,,,False,
org,Bethel,,,,False,
per,Henry Merry,exact,,Henry Merry,True,
date,March 1902,,,,False,
date,1933,,,,False,
loc,Front Street(Center Avenue),,partial,Center,False,
loc,4th Street North,,partial,North,True,
loc,Front Street,exact,,Front Street,True,
loc,Ole E. Flaten's Photo Gallery,,partial,Photo Gallery,False,
misc,World War I,,partial,World War,True,
loc,Union Depot,,,,False,
misc,St. Paul Almanac,,partial,Paul,False,
date,2015,,,,False,
date,2017,,,,False,
org,St. Benedict's Mission,,partial,St. Benedict,False,
loc,White Earth Indian Reservation,,partial,White Earth,True,
misc,White Earth Band of Ojibwe,,partial,White Earth,False,
loc,White Earth,exact,,White Earth,True,
per,Katherine Drexel,exact,,Katherine Drexel,True,
loc,Philadelphia,exact,,Philadelphia,True,
org,Sisters of the Blessed Sacrament,,,,False,
per,Katherine,exact,,Katherine,True,
misc,Benedictines,,,,False,
date,1890,,,,False,
date,"February 10, 1892",,,,False,
date,1895,,,,False,
org,Catholics of the Northwest Territory,exact,,Catholics of the Northwest Territory,False,
loc,St. John's Abbey,,partial,St. John,True,
loc,St. Benedict's Convent,,partial,St. Benedict,True,
misc,Ojibwe,exact,,Ojibwe,False,
date,1945,,,,False,
misc,SBMA,,,,False,
per,MacDonald,,,,False,
loc,Stewart Hall,exact,,Stewart Hall,True,
per,George Bonga,exact,,George Bonga,True,
loc,3648 Lyndale Avenue South,,partial,Avenue South,False,
loc,Morgan Park,,,,False,
loc,Open House,,partial,House,False,
per,Sawyer,,,,False,
per,Davis,exact,,Davis,True,
misc,The Bearmans,,partial,Bearmans,True,
loc,The Emanuel Cohen Center,,partial,Emanuel Cohen,False,
misc,North Minneapolis Jewish community,,partial,North Minneapolis Jewish,False,
loc,The Center,,partial,Center,False,
per,Emanuel Cohen,exact,,Emanuel Cohen,True,
