type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,William Opie,exact,,William Opie,,
per,Mr. Aberle,,,,,
loc,Fergus Falls Brewery,,,,,
org,AAD Temple Imperial Council,,,,,
loc,Minneapolis,exact,,Minneapolis,,
org,Duluth chapter of the Shriners,,,,,
loc,Aad Temple,,,,,
loc,Aage Peterson Store,exact,,Aage Peterson Store,,
loc,Starbuck,,,,,
date,"August 19, 1933",,,,,
per,H.F. Mark,,,,,
org,P.M. Mark Medicine Company,,,,,
loc,"Fosston, Minnesota",,,,,
org,Aamoth Brothers,,,,,
loc,"Mahnomen, Minnesota",,,,,
loc,A.A. Zimmerman Hardware Store,,,,,
loc,Sporting Goods Department,,,,,
loc,Mankato,,,,,
loc,Paint Department,,,,,
org,Yellow Medicine Agency,exact,,Yellow Medicine Agency,,
misc,Dakota Conflict of 1852,,,,,
loc,Upper Sioux Agency State Park,exact,,Upper Sioux Agency State Park,,
loc,Minnesota,exact,,Minnesota,,
per,Arthur Adams,exact,,Arthur Adams,,
per,Adams,,partial,Arthur Adams,,
loc,3648 Lyndale Avenue South,,,,,
loc,Linden Hills Bridge,,,,,
loc,Interlachen Bridge,,,,,
loc,42nd Street,,,,,
loc,East Hennepin at Stinson Blvd.,,,,,
loc,Abbett's Drug Store,,,,,
loc,201 west Superior street,,,,,
loc,Salvation Army,,,,,
loc,People's Theater,,,,,
per,Abbot Alexius Edelborck,exact,,Abbot Alexius Edelborck,,
org,Order of Saint Benedict,,,,,
per,Abbot Peter Engel,exact,,Abbot Peter Engel,,
loc,A.B. Cone Jewelry Store,,,,,
per,A.B. Cone,,,,,
per,Jennie Bryan,exact,,Jennie Bryan,,
per,Abe Malmon,,,,,
loc,St. Paul,,,,,
loc,7th and St. Peter,,,,,
per,Abe Orbuch,,,,,
loc,Poland,exact,,Poland,,
misc,Model T-Ford,,,,,
loc,Foley,exact,,Foley,,
org,Arctic Cracker and Spice Company,,,,,
loc,Nicollet Island,exact,,Nicollet Island,,
org,Worthington State College,exact,,Worthington State College,,
loc,"Worthington, Minnesota",,,,,
loc,Chicago,,,,,
loc,Milwaukee,,,,,
per,Dan Edding,exact,,Dan Edding,,
org,Civilian Conservation Corps,,,,,
loc,North Shore of Lake Superior,,,,,
loc,Grand Marais,,,,,
misc,U.S.S. Paducah,,,,,
date,1904,,,,,
date,1945,,,,,
loc,Duluth,exact,,Duluth,,
date,1971,,,,,
org,Bethel,exact,,Bethel,,
per,Henry Merry,,,,,
date,March 1902,,,,,
date,1933,,,,,
loc,Front Street(Center Avenue),,,,,
loc,4th Street North,,,,,
loc,Front Street,exact,,Front Street,,
loc,Ole E. Flaten's Photo Gallery,,,,,
misc,World War I,,,,,
loc,Union Depot,exact,,Union Depot,,
misc,St. Paul Almanac,,,,,
date,2015,,,,,
date,2017,,,,,
org,St. Benedict's Mission,,,,,
loc,White Earth Indian Reservation,,,,,
misc,White Earth Band of Ojibwe,,,,,
loc,White Earth,exact,,White Earth,,
per,Katherine Drexel,exact,,Katherine Drexel,,
loc,Philadelphia,exact,,Philadelphia,,
org,Sisters of the Blessed Sacrament,,,,,
per,Katherine,exact,,Katherine,,
misc,Benedictines,exact,,Benedictines,,
date,1890,,,,,
date,"February 10, 1892",,,,,
date,1895,,,,,
org,Catholics of the Northwest Territory,,,,,
loc,St. John's Abbey,,,,,
loc,St. Benedict's Convent,,,,,
misc,Ojibwe,exact,,Ojibwe,,
date,1945,,,,,
misc,SBMA,,,,,
per,MacDonald,,,,,
loc,Stewart Hall,,,,,
per,George Bonga,,,,,
loc,3648 Lyndale Avenue South,,,,,
loc,Morgan Park,,,,,
loc,Open House,exact,,Open House,,
per,Sawyer,exact,,Sawyer,,
per,Davis,exact,,Davis,,
misc,The Bearmans,,,,,
loc,The Emanuel Cohen Center,,,,,
misc,North Minneapolis Jewish community,,,,,
loc,The Center,,,,,
per,Emanuel Cohen,exact,,Emanuel Cohen,,
