type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,William Opie,exact,,William Opie,true,
per,Mr. Aberle,,,,,
loc,Fergus Falls Brewery,,partial,the Fergus Falls Brewery,,
org,AAD Temple Imperial Council,,partial,AAD Temple Imperial Council Session,,
loc,Minneapolis,exact,,Minneapolis,true,
org,Duluth chapter of the Shriners,,,,,
loc,Aad Temple,,partial,the Aad Temple,,
loc,Aage Peterson Store,,partial,the Aage Peterson Store,,
loc,Starbuck,,partial, Starbuck,,
date,"August 19, 1933",exact,,"August 19, 1933",true,
per,H.F. Mark,,,,,
org,P.M. Mark Medicine Company,,,,,
loc,"Fosston, Minnesota",,,,,
org,Aamoth Brothers,,partial,Aamoth Brothers of Mahnomen,,
loc,"Mahnomen, Minnesota",,,,,
loc,A.A. Zimmerman Hardware Store,,,,,
loc,Sporting Goods Department,exact,,Sporting Goods Department,,
loc,Mankato,exact,,Mankato,true,
loc,Paint Department,exact,,Paint Department,,
org,Yellow Medicine Agency,,partial,The Yellow Medicine Agency,,
misc,Dakota Conflict of 1852,,partial,the Dakota Conflict of 1852,,
loc,Upper Sioux Agency State Park,,,,,
loc,Minnesota,exact,,Minnesota,true,
per,Arthur Adams,exact,,Arthur Adams,true,
per,Adams,,partial,Arthur Adams,,
loc,3648 Lyndale Avenue South,,,,,
loc,Linden Hills Bridge,,partial,the Linden Hills Bridge,,
loc,Interlachen Bridge,,partial,the Interlachen Bridge,,
loc,42nd Street,,partial,across 42nd Street,,
loc,East Hennepin at Stinson Blvd.,,,,,
loc,Abbett's Drug Store,exact,,Abbett's Drug Store,,
loc,201 west Superior street,,,,,
loc,Salvation Army,,,,,
loc,People's Theater,,partial,People's Theater Portrait of Abbot Alexius Edelborck,,
per,Abbot Alexius Edelborck,,partial,People's Theater Portrait of Abbot Alexius Edelborck,,
org,Order of Saint Benedict,exact,,Order of Saint Benedict,true,
per,Abbot Peter Engel,,,,,
loc,A.B. Cone Jewelry Store,,partial,the A.B. Cone Jewelry Store,,
per,A.B. Cone,exact,,A.B. Cone,true,
per,Jennie Bryan,exact,,Jennie Bryan,true,
per,Abe Malmon,exact,,Abe Malmon,true,
loc,St. Paul,exact,,St. Paul,true,
loc,7th and St. Peter,,,,,
per,Abe Orbuch,exact,,Abe Orbuch,true,
loc,Poland,exact,,Poland,true,
misc,Model T-Ford,,,,,
loc,Foley,exact,,Foley,,
org,Arctic Cracker and Spice Company,,partial,the Arctic Cracker and Spice Company,,
loc,Nicollet Island,exact,,Nicollet Island,,
org,Worthington State College,,partial,a Worthington State College,,
loc,"Worthington, Minnesota",,,,,
loc,Chicago,exact,,Chicago,true,
loc,Milwaukee,exact,,Milwaukee,true,
per,Dan Edding,exact,,Dan Edding,true,
org,Civilian Conservation Corps,exact,,Civilian Conservation Corps,true,
loc,North Shore of Lake Superior,,partial,the North Shore of Lake Superior,,
loc,Grand Marais,exact,,Grand Marais,,
misc,U.S.S. Paducah,,,,,
date,1904,exact,,1904,true,
date,1945,,partial,service 1945,,
loc,Duluth,exact,,Duluth,,
date,1971,exact,,1971,true,
org,Bethel,exact,,Bethel,true,
per,Henry Merry,exact,,Henry Merry,true,
date,March 1902,exact,,March 1902,true,
date,1933,exact,,1933,true,
loc,Front Street(Center Avenue),,,,,
loc,4th Street North,exact,,4th Street North,,
loc,Front Street,exact,,Front Street,,
loc,Ole E. Flaten's Photo Gallery,,,,,
misc,World War I,,,,,
loc,Union Depot,exact,,Union Depot,,
misc,St. Paul Almanac,,,,,
date,2015,,partial,the year of 2015,,
date,2017,,partial,the year of 2017,,
org,St. Benedict's Mission,exact,,St. Benedict's Mission,,
loc,White Earth Indian Reservation,,partial,"St. Benedict's Mission, White Earth Indian Reservation",,
misc,White Earth Band of Ojibwe,exact,,White Earth Band of Ojibwe,,
loc,White Earth,exact,,White Earth,,
per,Katherine Drexel,exact,,Katherine Drexel,true,
loc,Philadelphia,exact,,Philadelphia,true,
org,Sisters of the Blessed Sacrament,,,,,
per,Katherine,exact,,Katherine,true,
misc,Benedictines,exact,,Benedictines,,
date,1890,,partial,the summer of 1890,,
date,"February 10, 1892",exact,,"February 10, 1892",true,
date,1895,exact,,1895,true,
org,Catholics of the Northwest Territory,,,,,
loc,St. John's Abbey,exact,,St. John's Abbey,,
loc,St. Benedict's Convent,exact,,St. Benedict's Convent,,
misc,Ojibwe,exact,,Ojibwe,,
date,1945,,partial,service 1945,,
misc,SBMA,exact,,SBMA,,
per,MacDonald,,,,,
loc,Stewart Hall,exact,,Stewart Hall,,
per,George Bonga,exact,,George Bonga,true,
loc,3648 Lyndale Avenue South,,,,,
loc,Morgan Park,exact,,Morgan Park,,
loc,Open House,exact,,Open House,,
per,Sawyer,exact,,Sawyer,true,
per,Davis,exact,,Davis,true,
misc,The Bearmans,,,,,
loc,The Emanuel Cohen Center,,,,,
misc,North Minneapolis Jewish community,,,,,
loc,The Center,,,,,
per,Emanuel Cohen,exact,,Emanuel Cohen,true,
