type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,William Opie,,,,False,
per,Mr. Aberle,,,,False,
loc,Fergus Falls Brewery,,partial,Fergus Falls,True,
org,AAD Temple Imperial Council,,partial,Imperial Council,False,
loc,Minneapolis,exact,,Minneapolis,True,
org,Duluth chapter of the Shriners,,partial,Shriners,False,
loc,Aad Temple,,,,False,
loc,Aage Peterson Store,,,,False,
loc,Starbuck,,,,False,
date,"August 19, 1933",,,,False,
per,H.F. Mark,,,,False,
org,P.M. Mark Medicine Company,,,,False,
loc,"Fosston, Minnesota",exact,,"Fosston, Minnesota",True,
org,Aamoth Brothers,,,,False,
loc,"Mahnomen, Minnesota",,partial,Minnesota,True,
loc,A.A. Zimmerman Hardware Store,,,,False,
loc,Sporting Goods Department,,,,False,
loc,Mankato,exact,,Mankato,True,
loc,Paint Department,,,,False,
org,Yellow Medicine Agency,,,,False,
misc,Dakota Conflict of 1852,,,,False,
loc,Upper Sioux Agency State Park,,,,False,
loc,Minnesota,exact,,Minnesota,True,
per,Arthur Adams,,,,False,
per,Adams,,,,False,
loc,3648 Lyndale Avenue South,,partial,Lyndale Avenue,True,
loc,Linden Hills Bridge,,partial,Linden Hills,True,
loc,Interlachen Bridge,,,,False,
loc,42nd Street,exact,,42nd Street,True,
loc,East Hennepin at Stinson Blvd.,,partial,Stinson,False,
loc,Abbett's Drug Store,,,,False,
loc,201 west Superior street,,,,False,
loc,Salvation Army,,,,False,
loc,People's Theater,,,,False,
per,Abbot Alexius Edelborck,,partial,Alexius,True,
org,Order of Saint Benedict,,partial,Benedict,True,
per,Abbot Peter Engel,,partial,Peter Engel,True,
loc,A.B. Cone Jewelry Store,,,,False,
per,A.B. Cone,,,,False,
per,Jennie Bryan,,,,False,
per,Abe Malmon,,,,False,
loc,St. Paul,,,,False,
loc,7th and St. Peter,,,,False,
per,Abe Orbuch,,,,False,
loc,Poland,exact,,Poland,True,
misc,Model T-Ford,,partial,Ford,False,
loc,Foley,,,,False,
org,Arctic Cracker and Spice Company,,partial,Spice,False,
loc,Nicollet Island,exact,,Nicollet Island,False,
org,Worthington State College,,,,False,
loc,"Worthington, Minnesota",,partial,Minnesota,True,
loc,Chicago,exact,,Chicago,True,
loc,Milwaukee,exact,,Milwaukee,True,
per,Dan Edding,,,,False,
org,Civilian Conservation Corps,exact,,Civilian Conservation Corps,False,
loc,North Shore of Lake Superior,,partial,Lake Superior,True,
loc,Grand Marais,,,,False,
misc,U.S.S. Paducah,,partial,Paducah,True,
date,1904,,,,False,
date,1945,,,,False,
loc,Duluth,exact,,Duluth,False,
date,1971,,,,False,
org,Bethel,exact,,Bethel,False,
per,Henry Merry,,,,False,
date,March 1902,,,,False,
date,1933,,,,False,
loc,Front Street(Center Avenue),,,,False,
loc,4th Street North,,,,False,
loc,Front Street,,,,False,
loc,Ole E. Flaten's Photo Gallery,,,,False,
misc,World War I,exact,,World War I,True,
loc,Union Depot,exact,,Union Depot,True,
misc,St. Paul Almanac,,,,False,
date,2015,,,,False,
date,2017,,,,False,
org,St. Benedict's Mission,,partial,Benedict,True,
loc,White Earth Indian Reservation,,partial,White Earth,False,
misc,White Earth Band of Ojibwe,,partial,Ojibwe,True,
loc,White Earth,exact,,White Earth,False,
per,Katherine Drexel,exact,,Katherine Drexel,True,
loc,Philadelphia,exact,,Philadelphia,True,
org,Sisters of the Blessed Sacrament,,partial,Blessed Sacrament,False,
per,Katherine,,partial,Katherine Drexel,True,
misc,Benedictines,,partial,Benedict,False,
date,1890,,,,False,
date,"February 10, 1892",,,,False,
date,1895,,,,False,
org,Catholics of the Northwest Territory,,partial,Northwest Territory,False,
loc,St. John's Abbey,,,,False,
loc,St. Benedict's Convent,,partial,Benedict,False,
misc,Ojibwe,exact,,Ojibwe,True,
date,1945,,,,False,
misc,SBMA,,,,False,
per,MacDonald,,,,False,
loc,Stewart Hall,,,,False,
per,George Bonga,,,,False,
loc,3648 Lyndale Avenue South,,partial,Lyndale Avenue,True,
loc,Morgan Park,exact,,Morgan Park,False,
loc,Open House,,,,False,
per,Sawyer,,,,False,
per,Davis,,,,False,
misc,The Bearmans,,,,False,
loc,The Emanuel Cohen Center,,partial,Emanuel,False,
misc,North Minneapolis Jewish community,,partial,Minneapolis,False,
loc,The Center,,,,False,
per,Emanuel Cohen,,partial,Emanuel,True,
