type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,William Opie,exact,,William Opie,true,
per,Mr. Aberle,,,,,
loc,Fergus Falls Brewery,exact,,Fergus Falls Brewery,,
org,AAD Temple Imperial Council,,,,,
loc,Minneapolis,exact,,Minneapolis,true,
org,Duluth chapter of the Shriners,,,,,
loc,Aad Temple,exact,,Aad Temple,,
loc,Aage Peterson Store,exact,,Aage Peterson Store,,
loc,Starbuck,exact,,Starbuck,true,
date,"August 19, 1933",exact,,"August 19, 1933",true,
per,H.F. Mark,,,,,
org,P.M. Mark Medicine Company,,,,,
loc,"Fosston, Minnesota",,,,,
org,Aamoth Brothers,,partial,Aamoth Brothers of Mahnomen,,
loc,"Mahnomen, Minnesota",,,,,
loc,A.A. Zimmerman Hardware Store,,,,,
loc,Sporting Goods Department,exact,,Sporting Goods Department,,
loc,Mankato,exact,,Mankato,true,
loc,Paint Department,exact,,Paint Department,,
org,Yellow Medicine Agency,exact,,Yellow Medicine Agency,true,
misc,Dakota Conflict of 1852,,,,,
loc,Upper Sioux Agency State Park,exact,,Upper Sioux Agency State Park,,
loc,Minnesota,exact,,Minnesota,true,
per,Arthur Adams,exact,,Arthur Adams,true,
per,Adams,,partial,Arthur Adams,,
loc,3648 Lyndale Avenue South,exact,,3648 Lyndale Avenue South,,
loc,Linden Hills Bridge,exact,,Linden Hills Bridge,,
loc,Interlachen Bridge,exact,,Interlachen Bridge,,
loc,42nd Street,,,,,
loc,East Hennepin at Stinson Blvd.,,,,,
loc,Abbett's Drug Store,,,,,
loc,201 west Superior street,,,,,
loc,Salvation Army,,,,,
loc,People's Theater,,,,,
per,Abbot Alexius Edelborck,exact,,Abbot Alexius Edelborck,,
org,Order of Saint Benedict,,,,,
per,Abbot Peter Engel,,,,,
loc,A.B. Cone Jewelry Store,exact,,A.B. Cone Jewelry Store,,
per,A.B. Cone,exact,,A.B. Cone,true,
per,Jennie Bryan,exact,,Jennie Bryan,true,
per,Abe Malmon,,,,,
loc,St. Paul,exact,,St. Paul,true,
loc,7th and St. Peter,,,,,
per,Abe Orbuch,,,,,
loc,Poland,exact,,Poland,true,
misc,Model T-Ford,,,,,
loc,Foley,exact,,Foley,true,
org,Arctic Cracker and Spice Company,,,,,
loc,Nicollet Island,exact,,Nicollet Island,true,
org,Worthington State College,exact,,Worthington State College,true,
loc,"Worthington, Minnesota",,,,,
loc,Chicago,,partial,Chicago Milwaukee,,
loc,Milwaukee,,partial,Chicago Milwaukee,,
per,Dan Edding,exact,,Dan Edding,true,
org,Civilian Conservation Corps,exact,,Civilian Conservation Corps,true,
loc,North Shore of Lake Superior,exact,,North Shore of Lake Superior,true,
loc,Grand Marais,exact,,Grand Marais,true,
misc,U.S.S. Paducah,,,,,
date,1904,exact,,1904,true,
date,1945,exact,,1945,true,
loc,Duluth,exact,,Duluth,true,
date,1971,exact,,1971,true,
org,Bethel,exact,,Bethel,,
per,Henry Merry,exact,,Henry Merry,true,
date,March 1902,exact,,March 1902,true,
date,1933,exact,,1933,true,
loc,Front Street(Center Avenue),,,,,
loc,4th Street North,exact,,4th Street North,,
loc,Front Street,,,,,
loc,Ole E. Flaten's Photo Gallery,,,,,
misc,World War I,,,,,
loc,Union Depot,exact,,Union Depot,true,
misc,St. Paul Almanac,,,,,
date,2015,exact,,2015,true,
date,2017,exact,,2017,true,
org,St. Benedict's Mission,exact,,St. Benedict's Mission,true,
loc,White Earth Indian Reservation,,,,,
misc,White Earth Band of Ojibwe,,,,,
loc,White Earth,exact,,White Earth,true,
per,Katherine Drexel,exact,,Katherine Drexel,true,
loc,Philadelphia,exact,,Philadelphia,true,
org,Sisters of the Blessed Sacrament,,,,,
per,Katherine,,partial,Katherine Drexel,,
misc,Benedictines,,,,,
date,1890,,partial,summer of 1890,,
date,"February 10, 1892",exact,,"February 10, 1892",true,
date,1895,exact,,1895,true,
org,Catholics of the Northwest Territory,,,,,
loc,St. John's Abbey,exact,,St. John's Abbey,,
loc,St. Benedict's Convent,,,,,
misc,Ojibwe,,,,,
date,1945,exact,,1945,true,
misc,SBMA,exact,,SBMA,,
per,MacDonald,,,,,
loc,Stewart Hall,exact,,Stewart Hall,,
per,George Bonga,exact,,George Bonga,true,
loc,3648 Lyndale Avenue South,exact,,3648 Lyndale Avenue South,,
loc,Morgan Park,,,,,
loc,Open House,exact,,Open House,,
per,Sawyer,exact,,Sawyer,true,
per,Davis,exact,,Davis,true,
misc,The Bearmans,,,,,
loc,The Emanuel Cohen Center,,,,,
misc,North Minneapolis Jewish community,,,,,
loc,The Center,,,,,
per,Emanuel Cohen,exact,,Emanuel Cohen,true,
