type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Robert Lee,exact,partial,Robert Lee,true,
misc,aaacinfo@artspiral.org,,,,,
misc,www.artasiamerica.org,,,,,
date,"May 22, 2014 12pm",,,,,
org,Asian American Arts Centre,exact,partial,Asian American Arts Centre,,
loc,China,exact,partial,China,true,
date,"June 4, 1989",,,,,
date,June 1st – 10th 2014,,,,,
date,June 1,,,,,
date,"Tuesday, June 10",,,,,
org,Whitebox Art Center,exact,,Whitebox Art Center,,
loc,"329 Broome Street, NY, NY 10002",,,,,
per,Vito Acconci,exact,,Vito Acconci,true,
per,Luis Cruz Azaceta,exact,,Luis Cruz Azaceta,true,
per,Betty Beaumont,exact,,Betty Beaumont,true,
per,Luis Camnitzer,exact,,Luis Camnitzer,true,
per,Mel Chin,exact,,Mel Chin,true,
per,Agnes Denes,exact,,Agnes Denes,true,
per,Lotus Do,exact,,Lotus Do,true,
per,John Duff,exact,,John Duff,true,
per,Leon Golub,exact,,Leon Golub,true,
per,Billy Harlem,exact,,Billy Harlem,true,
per,Edgar Heap of Birds,,,,,
per,Kunio Izuka,exact,,Kunio Izuka,true,
per,Ik Joong Kang,exact,,Ik Joong Kang,true,
per,Barbara Kruger,exact,,Barbara Kruger,true,
per,Donald Lipski,exact,,Donald Lipski,true,
per,Kenneth Noland,exact,,Kenneth Noland,true,
per,Lilliana Porter,exact,,Lilliana Porter,true,
per,Rumiko Tsuda,exact,,Rumiko Tsuda,true,
per,Daniel Georges,exact,,Daniel Georges,true,
per,Dolly Unithan,exact,,Dolly Unithan,true,
per,Martin Wong,exact,,Martin Wong,true,
per,Sofia Zezmer,exact,,Sofia Zezmer,true,
per,Zhang Hongtu,exact,,Zhang Hongtu,true,
org,Blum Helman Warehouse,exact,,Blum Helman Warehouse,,
loc,SoHo,exact,,SoHo,true,
org,PS 1,,,,,
loc,LIC,,,,,
loc,Argentina,exact,,Argentina,true,
loc,Sweden,exact,,Sweden,true,
loc,Britain,exact,,Britain,true,
loc,Italy,exact,,Italy,true,
loc,France,exact,,France,true,
loc,Japan,exact,,Japan,true,
loc,Korea,exact,,Korea,true,
loc,American,exact,partial,American,,
misc,Portraits of Loss and the Quest for Justice,,,,,
org,Human Rights In China,exact,,Human Rights In China,,
org,Tiananmen Mothers,exact,,Tiananmen Mothers,,
misc,http://www.hrichina.org/en/june-fourth- 25-resisting-enforced-amnesia-building-just-future,,,,,
date,1989,,,,,
mic,Tiananmen Square Massacre,exact,,Tiananmen Square Massacre,,
org,AAAC,exact,,AAAC,,
loc,Lower East Side,exact,,Lower East Side,true,
misc,http://www.artspiral.org,,,,,
misc,http://artspiral.blogspot.com/,,,,,
date,1974,,,,,
misc,501(c)(3),,,,,
loc,Asia,exact,partial,Asia,true,
misc,Visual Art Exhibition,exact,,Visual Art Exhibition,true,
date,1983,,,,,
date,2009,,,,,
misc,Asian American,exact,partial,Asian American,true,
date,1945,,,,,
org,The Bay and Paul Foundation,,,,,
org,Asian Americans For Equality,,partial,Asian Americans For Equality and Manhattan Mini Storage,,
org,Manhattan Mini Storage,,partial,Asian Americans For Equality and Manhattan Mini Storage,,
org,Edison Properties Inc.,exact,,Edison Properties Inc.,,
org,Pearl River Mart,exact,,Pearl River Mart,,
org,New York Cosmopolitan Lions Club,exact,,New York Cosmopolitan Lions Club,,
org,Materials for the Arts,,,,,
per,Wing Tek Lum,,,,,
per,Jody and John Arnhold,,,,,
per,Germane Wong,exact,,Germane Wong,true,
per,John Yu,exact,,John Yu,true,
per,Fay Torres Yap,exact,,Fay Torres Yap,true,
per,Charles Yuen,exact,,Charles Yuen,true,
per,Susan Switzer,exact,,Susan Switzer,true,
per,Daniel Orlow,exact,,Daniel Orlow,true,
per,Norma Tam,exact,,Norma Tam,true,
per,Jeanne Lee Jackson,exact,,Jeanne Lee Jackson,true,
per,Edward Ma,exact,,Edward Ma,true,
per,Dennis Donohue,exact,,Dennis Donohue,true,
per,May Jew,exact,,May Jew,true,
per,Pam Lee,exact,,Pam Lee,true,
per,Tom Chin,exact,,Tom Chin,true,
per,Roudy Leath,exact,,Roudy Leath,true,
per,Wing Lee Yee,,,,,
per,Paul O’Neill,,,,,
per,Liz Young,exact,,Liz Young,true,
per,Arthur Neis,exact,,Arthur Neis,true,
per,Richard Kenny Esq,exact,,Richard Kenny Esq,true,
misc,rlee@artspiral.org,,,,,
per,Aleta Lee,exact,,Aleta Lee,true,
misc,leealeta@gmail.com,,,,,
