type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Robert Lee,exact,,Robert Lee,,
misc,aaacinfo@artspiral.org,,,,,
misc,www.artasiamerica.org,,,,,
date,"May 22, 2014 12pm",,,,,
org,Asian American Arts Centre,,,,,
loc,China,exact,,China,,
date,"June 4, 1989",,,,,
date,June 1st – 10th 2014,,,,,
date,June 1,,,,,
date,"Tuesday, June 10",,,,,
org,Whitebox Art Center,exact,,Whitebox Art Center,,
loc,"329 Broome Street, NY, NY 10002",,,,,
per,Vito Acconci,exact,,Vito Acconci,,
per,Luis Cruz Azaceta,exact,,Luis Cruz Azaceta,,
per,Betty Beaumont,exact,,Betty Beaumont,,
per,Luis Camnitzer,exact,,Luis Camnitzer,,
per,Mel Chin,exact,,Mel Chin,,
per,Agnes Denes,exact,,Agnes Denes,,
per,Lotus Do,exact,,Lotus Do,,
per,John Duff,exact,,John Duff,,
per,Leon Golub,exact,,Leon Golub,,
per,Billy Harlem,exact,,Billy Harlem,,
per,Edgar Heap of Birds,,,,,
per,Kunio Izuka,,partial,Birds Kunio Izuka,,
per,Ik Joong Kang,exact,,Ik Joong Kang,,
per,Barbara Kruger,exact,,Barbara Kruger,,
per,Donald Lipski,exact,,Donald Lipski,,
per,Kenneth Noland,exact,,Kenneth Noland,,
per,Lilliana Porter,exact,,Lilliana Porter,,
per,Rumiko Tsuda,,partial,Rumiko Tsuda Daniel,,
per,Daniel Georges,,,,,
per,Dolly Unithan,,,,,
per,Martin Wong,exact,,Martin Wong,,
per,Sofia Zezmer,exact,,Sofia Zezmer,,
per,Zhang Hongtu,,,,,
org,Blum Helman Warehouse,exact,,Blum Helman Warehouse,,
loc,SoHo,exact,,SoHo,,
org,PS 1,,,,,
loc,LIC,exact,,LIC,,
loc,Argentina,,partial,Argentina Sweden,,
loc,Sweden,,partial,Argentina Sweden,,
loc,Britain,,partial,Britain Italy,,
loc,Italy,,partial,Britain Italy,,
loc,France,,partial,France Greece,,
loc,Japan,exact,,Japan,,
loc,Korea,,,,,
loc,American,exact,,American,,
misc,Portraits of Loss and the Quest for Justice,,,,,
org,Human Rights In China,,,,,
org,Tiananmen Mothers,exact,,Tiananmen Mothers,,
misc,http://www.hrichina.org/en/june-fourth- 25-resisting-enforced-amnesia-building-just-future,,,,,
date,1989,,,,,
mic,Tiananmen Square Massacre,exact,,Tiananmen Square Massacre,,
org,AAAC,exact,,AAAC,,
loc,Lower East Side,,,,,
misc,http://www.artspiral.org,,,,,
misc,http://artspiral.blogspot.com/,,,,,
date,1974,,,,,
misc,501(c)(3),,,,,
loc,Asia,exact,,Asia,,
misc,Visual Art Exhibition,exact,,Visual Art Exhibition,,
date,1983,,,,,
date,2009,,,,,
misc,Asian American,,,,,
date,1945,,,,,
org,The Bay and Paul Foundation,,,,,
org,Asian Americans For Equality,,,,,
org,Manhattan Mini Storage,,partial,Manhattan Mini Storage Edison,,
org,Edison Properties Inc.,,,,,
org,Pearl River Mart,exact,,Pearl River Mart,,
org,New York Cosmopolitan Lions Club,,,,,
org,Materials for the Arts,,,,,
per,Wing Tek Lum,,,,,
per,Jody and John Arnhold,,,,,
per,Germane Wong,exact,,Germane Wong,,
per,John Yu,exact,,John Yu,,
per,Fay Torres Yap,exact,,Fay Torres Yap,,
per,Charles Yuen,exact,,Charles Yuen,,
per,Susan Switzer,,partial,Susan Switzer Daniel,,
per,Daniel Orlow,,,,,
per,Norma Tam,,partial,Orlow Norma Tam,,
per,Jeanne Lee Jackson,exact,,Jeanne Lee Jackson,,
per,Edward Ma,exact,,Edward Ma,,
per,Dennis Donohue,exact,,Dennis Donohue,,
per,May Jew,exact,,May Jew,,
per,Pam Lee,exact,,Pam Lee,,
per,Tom Chin,exact,,Tom Chin,,
per,Roudy Leath,,,,,
per,Wing Lee Yee,,,,,
per,Paul O’Neill,,,,,
per,Liz Young,exact,,Liz Young,,
per,Arthur Neis,exact,,Arthur Neis,,
per,Richard Kenny Esq,exact,,Richard Kenny Esq,,
misc,rlee@artspiral.org,,,,,
per,Aleta Lee,exact,,Aleta Lee,,
misc,leealeta@gmail.com,,,,,
