type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Robert Lee,exact,,Robert Lee,True,
misc,aaacinfo@artspiral.org,,partial,AAAC,False,
misc,www.artasiamerica.org,,partial,Asia,True,
date,"May 22, 2014 12pm",,partial,"May 22, 2014 12",True,
org,Asian American Arts Centre,exact,,Asian American Arts Centre,True,
loc,China,exact,,China,True,
date,"June 4, 1989",exact,,"June 4, 1989",True,
date,June 1st – 10th 2014,,partial,June 1,True,
date,June 1,exact,,June 1,True,
date,"Tuesday, June 10",exact,,"Tuesday, June 10",True,
org,Whitebox Art Center,exact,,Whitebox Art Center,False,
loc,"329 Broome Street, NY, NY 10002",,partial,Broome Street,False,
per,Vito Acconci,exact,,Vito Acconci,True,
per,Luis Cruz Azaceta,exact,,Luis Cruz Azaceta,True,
per,Betty Beaumont,exact,,Betty Beaumont,True,
per,Luis Camnitzer,exact,,Luis Camnitzer,True,
per,Mel Chin,exact,,Mel Chin,True,
per,Agnes Denes,exact,,Agnes Denes,True,
per,Lotus Do,,partial,Lotus,False,
per,John Duff,exact,,John Duff,True,
per,Leon Golub,exact,,Leon Golub,True,
per,Billy Harlem,exact,,Billy Harlem,True,
per,Edgar Heap of Birds,,partial,Birds,False,
per,Kunio Izuka,exact,,Kunio Izuka,True,
per,Ik Joong Kang,,partial,Joong Kang,True,
per,Barbara Kruger,exact,,Barbara Kruger,True,
per,Donald Lipski,exact,,Donald Lipski,True,
per,Kenneth Noland,exact,,Kenneth Noland,True,
per,Lilliana Porter,exact,,Lilliana Porter,True,
per,Rumiko Tsuda,exact,,Rumiko Tsuda,True,
per,Daniel Georges,exact,,Daniel Georges,True,
per,Dolly Unithan,exact,,Dolly Unithan,True,
per,Martin Wong,exact,,Martin Wong,True,
per,Sofia Zezmer,exact,,Sofia Zezmer,True,
per,Zhang Hongtu,exact,,Zhang Hongtu,True,
org,Blum Helman Warehouse,exact,,Blum Helman Warehouse,False,
loc,SoHo,exact,,SoHo,False,
org,PS 1,exact,,PS 1,True,
loc,LIC,exact,,LIC,False,
loc,Argentina,exact,,Argentina,True,
loc,Sweden,exact,,Sweden,True,
loc,Britain,exact,,Britain,True,
loc,Italy,exact,,Italy,True,
loc,France,exact,,France,True,
loc,Japan,exact,,Japan,True,
loc,Korea,exact,,Korea,True,
loc,American,exact,,American,False,
misc,Portraits of Loss and the Quest for Justice,,partial,“Portraits of Loss and the Quest for Justice,True,
org,Human Rights In China,,partial,Human Rights,True,
org,Tiananmen Mothers,,partial,the Tiananmen Mothers,True,
misc,http://www.hrichina.org/en/june-fourth- 25-resisting-enforced-amnesia-building-just-future,,partial,25-resisting,True,
date,1989,,partial,the twenty-fifth anniversary of the 1989,True,
mic,Tiananmen Square Massacre,exact,,Tiananmen Square Massacre,False,
org,AAAC,exact,,AAAC,True,
loc,Lower East Side,,partial,the Lower East Side,False,
misc,http://www.artspiral.org,,,,False,
misc,http://artspiral.blogspot.com/,,,,False,
date,1974,exact,,1974,True,
misc,501(c)(3),,partial,501(c)(3,False,
loc,Asia,exact,,Asia,False,
misc,Visual Art Exhibition,,,,False,
date,1983,exact,,1983,True,
date,2009,exact,,2009,True,
misc,Asian American,exact,,Asian American,True,
date,1945,,partial,from 1945,True,
org,The Bay and Paul Foundation,exact,,The Bay and Paul Foundation,True,
org,Asian Americans For Equality,,partial,Equality,True,
org,Manhattan Mini Storage,,partial,Manhattan Mini Storage/Edison Properties Inc.,True,
org,Edison Properties Inc.,,partial,Manhattan Mini Storage/Edison Properties Inc.,True,
org,Pearl River Mart,exact,,Pearl River Mart,True,
org,New York Cosmopolitan Lions Club,,partial,New York,False,
org,Materials for the Arts,,partial,Lions Club and Materials for the Arts,True,
per,Wing Tek Lum,exact,,Wing Tek Lum,False,
per,Jody and John Arnhold,,partial,John Arnhold,True,
per,Germane Wong,,partial,Germane,False,
per,John Yu,exact,,John Yu,True,
per,Fay Torres Yap,exact,,Fay Torres Yap,True,
per,Charles Yuen,exact,,Charles Yuen,True,
per,Susan Switzer,exact,,Susan Switzer,True,
per,Daniel Orlow,,,,False,
per,Norma Tam,exact,,Norma Tam,True,
per,Jeanne Lee Jackson,exact,,Jeanne Lee Jackson,True,
per,Edward Ma,exact,,Edward Ma,True,
per,Dennis Donohue,exact,,Dennis Donohue,True,
per,May Jew,exact,,May Jew,True,
per,Pam Lee,,partial,Pam Lee &,False,
per,Tom Chin,exact,,Tom Chin,True,
per,Roudy Leath,,partial,"Roudy Leath, Wing Lee Yee",False,
per,Wing Lee Yee,,partial,"Roudy Leath, Wing Lee Yee",False,
per,Paul O’Neill,exact,,Paul O’Neill,True,
per,Liz Young,exact,,Liz Young,True,
per,Arthur Neis,exact,,Arthur Neis,True,
per,Richard Kenny Esq,exact,,Richard Kenny Esq,True,
misc,rlee@artspiral.org,,partial,mailto:rlee@artspiral.org – or,False,
per,Aleta Lee,exact,,Aleta Lee,True,
misc,leealeta@gmail.com,,partial,mailto:leealeta@gmail.com,False,
