type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Robert Lee,,,,False,
misc,aaacinfo@artspiral.org,,,,False,
misc,www.artasiamerica.org,,,,False,
date,"May 22, 2014 12pm",,,,False,
org,Asian American Arts Centre,exact,,Asian American Arts Centre,False,
loc,China,exact,,China,True,
date,"June 4, 1989",,,,False,
date,June 1st – 10th 2014,,,,False,
date,June 1,,,,False,
date,"Tuesday, June 10",,,,False,
org,Whitebox Art Center,,,,False,
loc,"329 Broome Street, NY, NY 10002",,partial,Broome Street,False,
per,Vito Acconci,exact,,Vito Acconci,True,
per,Luis Cruz Azaceta,,partial,Luis Cruz,True,
per,Betty Beaumont,,,,False,
per,Luis Camnitzer,exact,,Luis Camnitzer,True,
per,Mel Chin,exact,,Mel Chin,False,
per,Agnes Denes,exact,,Agnes Denes,True,
per,Lotus Do,,partial,Lotus,False,
per,John Duff,exact,,John Duff,False,
per,Leon Golub,exact,,Leon Golub,True,
per,Billy Harlem,,partial,Harlem,False,
per,Edgar Heap of Birds,,,,False,
per,Kunio Izuka,,partial,Kunio,False,
per,Ik Joong Kang,,,,False,
per,Barbara Kruger,exact,,Barbara Kruger,True,
per,Donald Lipski,,,,False,
per,Kenneth Noland,exact,,Kenneth Noland,True,
per,Lilliana Porter,,,,False,
per,Rumiko Tsuda,,,,False,
per,Daniel Georges,,,,False,
per,Dolly Unithan,,,,False,
per,Martin Wong,,partial,Martin,False,
per,Sofia Zezmer,,partial,Sofia,False,
per,Zhang Hongtu,,,,False,
org,Blum Helman Warehouse,,,,False,
loc,SoHo,exact,,SoHo,False,
org,PS 1,,,,False,
loc,LIC,,,,False,
loc,Argentina,exact,,Argentina,True,
loc,Sweden,exact,,Sweden,True,
loc,Britain,,,,False,
loc,Italy,exact,,Italy,True,
loc,France,exact,,France,True,
loc,Japan,exact,,Japan,True,
loc,Korea,exact,,Korea,True,
loc,American,,partial,Asian American,False,
misc,Portraits of Loss and the Quest for Justice,,,,False,
org,Human Rights In China,exact,,Human Rights In China,False,
org,Tiananmen Mothers,exact,,Tiananmen Mothers,False,
misc,http://www.hrichina.org/en/june-fourth- 25-resisting-enforced-amnesia-building-just-future,,partial,amnesia,True,
date,1989,,,,False,
mic,Tiananmen Square Massacre,,partial,Tiananmen Square,False,
org,AAAC,,,,False,
loc,Lower East Side,exact,,Lower East Side,True,
misc,http://www.artspiral.org,,,,False,
misc,http://artspiral.blogspot.com/,,,,False,
date,1974,,,,False,
misc,501(c)(3),,,,False,
loc,Asia,,partial,Asian American,False,
misc,Visual Art Exhibition,,,,False,
date,1983,,,,False,
date,2009,,,,False,
misc,Asian American,exact,,Asian American,True,
date,1945,,,,False,
org,The Bay and Paul Foundation,,,,False,
org,Asian Americans For Equality,,partial,Asian American,False,
org,Manhattan Mini Storage,,partial,Mini,False,
org,Edison Properties Inc.,,,,False,
org,Pearl River Mart,,partial,Pearl River,False,
org,New York Cosmopolitan Lions Club,,partial,Lions Club,True,
org,Materials for the Arts,,,,False,
per,Wing Tek Lum,,,,False,
per,Jody and John Arnhold,,,,False,
per,Germane Wong,,,,False,
per,John Yu,,,,False,
per,Fay Torres Yap,,,,False,
per,Charles Yuen,,partial,Charles,True,
per,Susan Switzer,,,,False,
per,Daniel Orlow,,,,False,
per,Norma Tam,,partial,Norma,True,
per,Jeanne Lee Jackson,,partial,Lee Jackson,True,
per,Edward Ma,,,,False,
per,Dennis Donohue,,,,False,
per,May Jew,,,,False,
per,Pam Lee,,,,False,
per,Tom Chin,,,,False,
per,Roudy Leath,,,,False,
per,Wing Lee Yee,,,,False,
per,Paul O’Neill,,,,False,
per,Liz Young,,,,False,
per,Arthur Neis,,,,False,
per,Richard Kenny Esq,,,,False,
misc,rlee@artspiral.org,,,,False,
per,Aleta Lee,,,,False,
misc,leealeta@gmail.com,,,,False,
