type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Robert Lee,exact,,Robert Lee,True,
misc,aaacinfo@artspiral.org,,partial,AAAC,False,
misc,www.artasiamerica.org,,partial,Asia,False,
date,"May 22, 2014 12pm",,partial,"May 22, 2014",True,
org,Asian American Arts Centre,exact,,Asian American Arts Centre,True,
loc,China,exact,,China,True,
date,"June 4, 1989",exact,,"June 4, 1989",True,
date,June 1st – 10th 2014,,partial,June 1,True,
date,June 1,exact,,June 1,True,
date,"Tuesday, June 10",,partial,June 10,True,
org,Whitebox Art Center,exact,,Whitebox Art Center,True,
loc,"329 Broome Street, NY, NY 10002",,,,False,
per,Vito Acconci,exact,,Vito Acconci,True,
per,Luis Cruz Azaceta,exact,,Luis Cruz Azaceta,True,
per,Betty Beaumont,exact,,Betty Beaumont,False,
per,Luis Camnitzer,exact,,Luis Camnitzer,True,
per,Mel Chin,exact,,Mel Chin,True,
per,Agnes Denes,exact,,Agnes Denes,True,
per,Lotus Do,,partial,Lotus,False,
per,John Duff,exact,,John Duff,True,
per,Leon Golub,exact,,Leon Golub,True,
per,Billy Harlem,exact,,Billy Harlem,True,
per,Edgar Heap of Birds,exact,,Edgar Heap of Birds,False,
per,Kunio Izuka,exact,,Kunio Izuka,True,
per,Ik Joong Kang,exact,,Ik Joong Kang,True,
per,Barbara Kruger,exact,,Barbara Kruger,True,
per,Donald Lipski,exact,,Donald Lipski,True,
per,Kenneth Noland,exact,,Kenneth Noland,True,
per,Lilliana Porter,exact,,Lilliana Porter,True,
per,Rumiko Tsuda,,partial,Rumiko Tsuda/Daniel Georges,True,
per,Daniel Georges,,partial,Rumiko Tsuda/Daniel Georges,True,
per,Dolly Unithan,exact,,Dolly Unithan,True,
per,Martin Wong,exact,,Martin Wong,True,
per,Sofia Zezmer,exact,,Sofia Zezmer,False,
per,Zhang Hongtu,exact,,Zhang Hongtu,False,
org,Blum Helman Warehouse,exact,,Blum Helman Warehouse,False,
loc,SoHo,exact,,SoHo,True,
org,PS 1,,,,False,
loc,LIC,exact,,LIC,False,
loc,Argentina,exact,,Argentina,True,
loc,Sweden,exact,,Sweden,True,
loc,Britain,exact,,Britain,True,
loc,Italy,exact,,Italy,True,
loc,France,exact,,France,True,
loc,Japan,exact,,Japan,True,
loc,Korea,exact,,Korea,True,
loc,American,,partial,American Arts Centre Inc.,False,
misc,Portraits of Loss and the Quest for Justice,,,,False,
org,Human Rights In China,,partial,China,False,
org,Tiananmen Mothers,exact,,Tiananmen Mothers,True,
misc,http://www.hrichina.org/en/june-fourth- 25-resisting-enforced-amnesia-building-just-future,,partial,HRIC,False,
date,1989,exact,,1989,True,
mic,Tiananmen Square Massacre,exact,,Tiananmen Square Massacre,False,
org,AAAC,exact,,AAAC,True,
loc,Lower East Side,exact,,Lower East Side,False,
misc,http://www.artspiral.org,,,,False,
misc,http://artspiral.blogspot.com/,,,,False,
date,1974,exact,,1974,True,
misc,501(c)(3),,,,False,
loc,Asia,exact,,Asia,True,
misc,Visual Art Exhibition,,,,False,
date,1983,exact,,1983,True,
date,2009,exact,,2009,True,
misc,Asian American,,partial,Asian American Arts Centre,False,
date,1945,exact,,1945,True,
org,The Bay and Paul Foundation,,partial,Paul Foundation,True,
org,Asian Americans For Equality,,partial,Asia,False,
org,Manhattan Mini Storage,,partial,Manhattan Mini Storage/Edison Properties Inc.,True,
org,Edison Properties Inc.,,partial,Manhattan Mini Storage/Edison Properties Inc.,True,
org,Pearl River Mart,exact,,Pearl River Mart,False,
org,New York Cosmopolitan Lions Club,exact,,New York Cosmopolitan Lions Club,True,
org,Materials for the Arts,,,,False,
per,Wing Tek Lum,exact,,Wing Tek Lum,False,
per,Jody and John Arnhold,,partial,John Arnhold,True,
per,Germane Wong,exact,,Germane Wong,True,
per,John Yu,exact,,John Yu,True,
per,Fay Torres Yap,exact,,Fay Torres Yap,True,
per,Charles Yuen,exact,,Charles Yuen,True,
per,Susan Switzer,,partial,Susan Switzer/Daniel Orlow,True,
per,Daniel Orlow,,partial,Susan Switzer/Daniel Orlow,True,
per,Norma Tam,exact,,Norma Tam,True,
per,Jeanne Lee Jackson,exact,,Jeanne Lee Jackson,True,
per,Edward Ma,exact,,Edward Ma,True,
per,Dennis Donohue,exact,,Dennis Donohue,True,
per,May Jew,exact,,May Jew,False,
per,Pam Lee,,partial,Pam Lee & Tom Chin,True,
per,Tom Chin,,partial,Pam Lee & Tom Chin,True,
per,Roudy Leath,exact,,Roudy Leath,True,
per,Wing Lee Yee,exact,,Wing Lee Yee,True,
per,Paul O’Neill,exact,,Paul O’Neill,True,
per,Liz Young,exact,,Liz Young,True,
per,Arthur Neis,exact,,Arthur Neis,True,
per,Richard Kenny Esq,exact,,Richard Kenny Esq,True,
misc,rlee@artspiral.org,,,,False,
per,Aleta Lee,exact,,Aleta Lee,True,
misc,leealeta@gmail.com,,,,False,
