type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Toby Barnes,exact,,Toby Barnes,False,
date,1997,,,,False,
date,1999,,,,False,
loc,University of Michigan School of Arts & Design,,partial,Arts,False,
date,1993,,,,False,
loc,The Cooper Union for the Advancement of Science and Arts,,partial,Science,False,
date,2013,,,,False,
misc,Altared States,,,,False,exhibition title
loc,A.P.E. Gallery,,,,False,
loc,"Northampton, MA",,partial,Northampton,False,
misc,Rise of the Robots,,,,False,exhibition title
loc,FOE gallery,,,,False,
date,2012,,,,False,
misc,Year of the Dragon,,,,False,exhibition title
misc,Look II,,partial,Look,False,exhibition title
misc,Expand & Conflate,,,,False,exhibition title
per,Valerie Cooper,exact,,Valerie Cooper,False,
loc,General Electric Cultural Fine Art Gallery,exact,,General Electric Cultural Fine Art Gallery,False,
loc,"Fairfield, CT",,partial,Fairfield,False,
date,2009,,,,False,
misc,Superheroes,,,,False,exhibition title
per,Laura Kelly,exact,,Laura Kelly,False,
loc,Look at this Gallery,,partial,Look,False,
loc,"Chiang Mai, Thailand",,,,False,
misc,Emerge 10,,partial,EMERGE,False,exhibition title
per,Sara Reisman,exact,,Sara Reisman,False,
loc,Aljira Center for Contemporary Art,,partial,Contemporary Art,False,
loc,"Newark, NJ",,,,False,
date,2008,,,,False,
misc,Pranime,exact,,PRANIME,False,exhibition title
per,Renu,exact,,Renu,False,
per,Susan George,exact,,Susan George,False,
loc,Time and Space Gallery,,partial,Space Gallery,False,
loc,"Bangalore, India",,partial,Bangalore,False,
date,2007,,,,False,
misc,U Can't Touch Dis,,partial,Touch Dis,False,exhibition title
per,Eric Shiner,exact,,Eric Shiner,False,
loc,Zone Chelsea Art Center,exact,,Zone Chelsea Art Center,False,
loc,"New York, NY",,partial,New York,False,
misc,Emergency Room,exact,,EMERGENCY ROOM,False,exhibition title
per,Thierry Geoff,,,,False,
loc,P.S.1 MOMA,,partial,MOMA,False,
loc,"Long Island City, NY",,partial,Long Island City,False,
date,2006,,,,False,
misc,Peekskill Project,exact,,PEEKSKILL PROJECT,False,
misc,Metropolis 2226,,partial,Metropolis,False,exhibition title
per,Trong Nguyen,exact,,Trong Nguyen,False,
loc,Hudson Valley Center for Contemporary Art,,partial,Hudson Valley Center,False,
loc,"Peekskill, NY",,,,False,
date,2005,,,,False,
misc,Psionic Distortion,,,,False,exhibition title
per,Tim Evans,exact,,Tim Evans,False,
loc,Plum Blossoms Gallery,exact,,Plum Blossoms Gallery,False,
date,2004,,,,False,
loc,Super-Deluxe Gallery,,,,False,
loc,Nishi Azabu district,,,,False,
loc,"Tokyo, Japan",,,,False,
loc,Queens International,,partial,Queens,False,exhibition title
loc,Queens Museum of Art,,partial,Queens,False,
loc,NY,exact,,NY,False,
loc,Blind Pilots,exact,,BLIND PILOTS,False,exhibition title
loc,Linc Real Art Gallery,exact,,Linc Real Art Gallery,False,
loc,"San Francisco, CA",,partial,San Francisco,False,
loc,The Proposition Gallery,,partial,Proposition Gallery,False,
date,2003,,,,False,
loc,Asian American Arts Centre,,partial,Arts,False,
misc,13th Annual Emerging Artists Exhibition,,partial,Emerging,False,exhibition title
loc,Korea Society,,,,False,
org,Artists' Talk New York City,,partial,Talk New York City,False,
misc,Kageki Metonumics,,,,False,exhibition title component
misc,Subversions and Transformations from the Japanese Fringe,,partial,Japanese Fringe,False,exhibition title component
misc,Time Out: Bengalaru,,partial,Time,False,publication title
date,"December 26, 2008",,partial,December,False,
date,"Jamnuary 8, 2009",,,,False,
misc,Cosmic Relief,,partial,Bengalaru Cosmic Relief,False,article title
per,Yann Arthus-Bertrand,,,,False,
date,December 26,,partial,December,False,
misc,Cluster Concepts,,,,False,article title
per,Sunanda,,partial,Sunanda January,False,
date,"January 2, 2009",,partial,January,False,
misc,Interview with Toby Barnes,,partial,Toby Barnes,False,article title
date,"January 7, 2009",,partial,January,False,
misc,The Hindu,,partial,Hindu,False,publication title
misc,Multiple Mindscapes,,,,False,article title
per,Ayesha Matthan,exact,,Ayesha Matthan,False,
date,"December 23rd, 2008",,partial,December,False,
misc,ArtSlant New York,exact,,ArtSlant New York,False,publication title
misc,The Emerging Asian Artists,,partial,Emerging Asian Artists,False,article title
per,Charlie Schultz,exact,,Charlie Schultz,False,
date,"September 13th, 2007",,partial,September,False,
per,Nishi Nihon Shimbun,exact,,Nishi Nihon Shimbun,False,
date,September 2007,,partial,September,False,
misc,New York Arts Magazine,exact,,New York Arts Magazine,False,publication title
misc,Art Asia Pacific,,partial,Asia Pacific,False,publication title
misc,Projects in the Making: Artist Profile,,,,False,article title
misc,Flavorpill,,partial,Flavorpill Website Magazine,False,publication title
misc,"Laughing-matter, matter, or matters",,,,False,article title
misc,The Japan Times,,partial,Japan Times,False,publication title
misc,Manga Animates the New Millenium,,partial,New Millenium,False,article title
per,Ken Kawashima,exact,,Ken Kawashima,False,
date,"Nov, 10th, 2004",,,,False,
misc,Queens International Magazine,,partial,Queens,False,publication title
date,"November 7th, 2004",,,,False,
misc,Artnet,,partial,Artnet New,False,publication title
misc,New this Month in US Museums,,partial,US Museums,False,article title
date,"Nov. 11th, 2004",,,,False,
