type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Calder,exact,,Calder,False,
misc,Calder's Circus,,partial,Calder,False,
per,Calder,exact,,Calder,False,
misc,Calder's Universe,,partial,Calder,False,
loc,California,,partial,Memoranda : California Historical Society Correspondence,False,
misc,California Dreaming,,partial,Universe California Dreaming Canadian Centre,False,
org,Canadian Centre for Architecture,,partial,Architecture,True,
misc,Carnival Strippers,,partial,Installation Wall Text Carnival Strippers,False,
per,Susan Meiselas,,partial,Susan Meiselas Catalog - Draft Catalog Paik-Writings Catalog Performances and Films Catalog Plate Catalog Polariod - RESTRICTED,False,
per,Paik,,partial,RESTRICTED Correspondence & Loan Agreements - Paik,False,
org,Akademie du Kunste,,partial,Kunste,True,
per,De Creeft,exact,,De Creeft,True,
per,Robus,,,,False,
per,Burlin,exact,,Burlin,False,
per,"Moorman, Charlotte",,,,False,
per,Lincoln Kirstein,exact,,Lincoln Kirstein,False,
per,G. Coleman,,,,False,
per,Greene,exact,,Greene,False,
per,De Rivera,exact,,De Rivera,False,
per,Henry Wilder Foote,exact,,Henry Wilder Foote,False,
per,Sawitzky,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
org,Booklist,exact,,Booklist,True,
per,Beale,exact,,Beale,False,
per,"Blythe, L.G.",,partial,Blythe,False,
per,Burlin,exact,,Burlin,False,
date,1949,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Knaths,,partial,Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/Knaths Catalogue Research/Lloyd Goodrich,False,
per,Maurer,exact,,Maurer,False,
date,1963,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
date,1965,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
date,2965,,,,False,
per,Caesar,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
per,Gross,,partial,Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/Knaths Catalogue Research/Lloyd Goodrich,False,
per,Rattner,,partial,Catalogue Research/Rattner Catalogue Research/Sources Catalogue Research : Artists ' Statements,False,
per,Baur,,partial,Baur 's Drafts '',False,
org,Harvard University Press,,partial,Press,False,
per,De Rivera,exact,,De Rivera,False,
per,Greene,exact,,Greene,False,
org,Virginia Robie,exact,,Virginia Robie,True,
per,Waldo,,,,False,
org,Armory,,partial,Armory Show,False,
