type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Calder,,partial,Peggy Calder Correspondence-Helen Lundberg Feitelson,True,
misc,Calder's Circus,,,,False,
per,Calder,,partial,Peggy Calder Correspondence-Helen Lundberg Feitelson,True,
misc,Calder's Universe,,,,False,
loc,California,exact,,California,True,
misc,California Dreaming,,partial,California,False,
org,Canadian Centre for Architecture,,partial,Architecture,False,
misc,Carnival Strippers,,partial,Installation Wall Text Carnival Strippers,True,
per,Susan Meiselas,,partial,Susan Meiselas Catalog,True,
per,Paik,exact,,Paik,False,
org,Akademie du Kunste,,,,False,
per,De Creeft,,,,False,
per,Robus,,,,False,
per,Burlin,exact,,Burlin,False,
per,"Moorman, Charlotte",,,,False,
per,Lincoln Kirstein,exact,,Lincoln Kirstein,False,
per,G. Coleman,,,,False,
per,Greene,exact,,Greene,False,
per,De Rivera,exact,,De Rivera,True,
per,Henry Wilder Foote,exact,,Henry Wilder Foote,True,
per,Sawitzky,exact,,Sawitzky,True,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
org,Booklist,,partial,Book,False,
per,Beale,,partial,Intro ( Beale ) Catalogue Draft,False,
per,"Blythe, L.G.",,partial,L.G.,False,
per,Burlin,exact,,Burlin,False,
date,1949,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Knaths,,,,False,
per,Maurer,,,,False,
date,1963,,,,False,
date,1965,,,,False,
date,2965,,,,False,
per,Caesar,,partial,Caesar Catalogue Drafts,True,
per,Gross,,,,False,
per,Rattner,,,,False,
per,Baur,exact,,Baur,False,
org,Harvard University Press,,partial,Harvard University Press Catalogue Production,False,
per,De Rivera,exact,,De Rivera,True,
per,Greene,exact,,Greene,False,
org,Virginia Robie,exact,,Virginia Robie,False,
per,Waldo,exact,,Waldo,True,
org,Armory,,partial,Armory Show,False,
org,The Eight,,,,False,
org,Society for Independent Artists,,partial,Artists,False,
org,Societe Anonyme,,,,False,
per,Barbara Parker,exact,,Barbara Parker,True,
org,MFA Boston,exact,,MFA Boston,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
org,American Art Research Council,,partial,America,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Tomlin Family,exact,,Tomlin Family,True,
per,Caesar,,partial,Caesar Catalogue Drafts,True,
per,Weber,,partial,Weber Correspondence,False,
per,Gross,,,,False,
per,Knaths,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Marsh,,partial,Richard Marshall Catalogue,True,
per,MW,,,,False,
per,R. Irvine,exact,,R. Irvine,True,
per,Sheeler,exact,,Sheeler,False,
per,Schnakenberg,exact,,Schnakenberg,False,
per,Fiene,exact,,Fiene,False,
per,Ault,,,,False,
per,Speicher,,,,False,
per,Luce,,,,False,
per,Rattner,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Rosenberg,,partial,Rose,False,
per,Beth Venn,,partial,Beth Venn Essay Catalogue,False,
per,Betsy,exact,,Betsy,False,
per,Bloemink,exact,,Bloemink,False,
misc,Dada,,partial,Dada Dictionary Catalogue,True,
per,"Bhabha, Homi",,,,False,
per,"Fuchs, Rudi",,partial,Rudi,False,
per,Ross,,partial,Interview Ross,True,
per,Fuchs,exact,,Fuchs,False,
per,Weinberg,,partial,Weinberg Catalogue,True,
per,Kelley,,partial,Kelley Resume Catalogue,True,
per,Nochlin,,partial,Nochlin Essay Catalogue,True,
per,Sussman,,,,False,
per,Venn,,partial,Venn Drafts Catalogue,True,
per,Weinberg,,partial,Weinberg Catalogue,True,
per,Bloom,,partial,Catalogue-Bloom,False,
per,Bloom,,partial,Catalogue-Bloom,False,
per,Gail Scott,exact,,Gail Scott,True,
per,James Speyer,exact,,James Speyer,True,
per,Stanley Johnson,exact,,Stanley Johnson,True,
org,Voice of America,,partial,America,False,
per,Leo Steinberg,,partial,Stein,False,
per,Levine,,partial,Catalogue-Levine,False,
org,ICA,exact,,ICA,False,
per,Levine,,partial,Catalogue-Levine,False,
loc,Lichtenstein,,partial,Stein,True,
misc,Calder's Universe,,,,False,
per,Jean Lipman,,partial,Jean Lipman-Research,True,
misc,Calder's Universe,,,,False,
per,Jean Lipman,,partial,Jean Lipman-Research,True,
org,"Harry N. Abrams, Inc.",,partial,N. Abrams,False,
per,Harry N. Abrams,,partial,N. Abrams,True,
org,European institutions,,partial,European,False,
org,European institutions,,partial,European,False,
per,Richard Marshall,,partial,Richard,True,
per,Robert Rosenblum,exact,,Robert Rosenblum,True,
per,Robert Rosenblum,exact,,Robert Rosenblum,True,
per,Henry Allan Moe,,partial,Henry Allan Moe Prize Catalogue,True,
per,Diller,exact,,Diller,True,
per,Diller,exact,,Diller,True,
misc,Beat Culture: Road Show,,partial,Road Show,False,
date,16 May 1996,,,,False,
per,Charles Burchfield,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
per,Charles Burchfield,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
per,Charles Demuth,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
misc,Charles Demuth Memorial Exhibition,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,True,
per,Charles Demuth,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
per,Charles Garabedian,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
per,Charles Ray,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
per,Charles Schucker,,partial,Permanent Collection Charles Burchfield Charles Demuth Memorial Exhibition Charles Demuth Charles Garabedian Charles Ray Charles Schucker,False,
per,Charles Sheeler,exact,,Charles Sheeler,True,
per,Charles Sheeler,exact,,Charles Sheeler,True,
per,Charles Sheeler,exact,,Charles Sheeler,True,
org,Museum für Moderne Kunst,,partial,Museum,False,
org,Walker Art Center,,partial,Correspondence-Walker Art Center Correspondence-Westermann,False,
org,WMAA,,,,False,
date,pre-20th century,,,,False,
per,LG,exact,,LG,False,
org,Met,exact,,Met,False,
misc,Life in America,,partial,America,False,
org,Corcoran,,partial,Corcoran Catalogue,False,
org,Whitney,exact,,Whitney,False,
date,August 1998,,,,False,
org,Hirschl  Adler Gallery,,,,False,
per,Jim Shaw,,partial,Jim Shaw Drawings Correspondence,True,
org,Macmillan,exact,,Macmillan,False,
per,Simon,,partial,Simon Checklists,True,
per,Nast,,partial,Anastasi,False,
per,Greene,exact,,Greene,False,
per,De Rivera,exact,,De Rivera,True,
per,Mrs. Tucker,exact,,Mrs. Tucker,True,
per,Christensen,,,,False,
misc,A Panorama of Mormon Life,,,,False,
per,Chryssa,exact,,Chryssa,False,
misc,Selected Prints and Drawings,,,,False,
date,1959-1962,,,,False,
per,Cindy Sherman,,partial,Cindy Sherman Claes Oldenburg Drawings,True,
per,Claes Oldenburg,,partial,Oldenburg,False,
per,Claes Oldenburg,,partial,Oldenburg,False,
date,1959-1977,,,,False,
per,Claire Zeisler,,,,False,
per,Neil Jenney,,partial,Jenney,False,
misc,Natural Rationalism,exact,,Natural Rationalism,True,
date,1948,,,,False,
misc,A Year from the Collection,,,,False,
date,1952,,,,False,
per,Breuer,,,,False,
org,Whitney,exact,,Whitney,False,
misc,An Anniversary Exhibition,,,,False,
per,Gertrude Vanderbilt Whitney,exact,,Gertrude Vanderbilt Whitney,True,
misc,Printmaker's Patron,,,,False,
per,Gertrude Vanderbilt Whitney,exact,,Gertrude Vanderbilt Whitney,True,
misc,Printmaker's Patron,,,,False,
per,Joseph Cornell,,partial,Joseph Cornell Cosmic Travels Collection,True,
misc,Cosmic Travels,,partial,Joseph Cornell Cosmic Travels Collection,False,
per,Paul Cadmus,,,,False,
misc,The Sailor Trilogy,,partial,Sailor Trilogy,True,
per,Paul Cadmus,,,,False,
misc,The Sailor Trilogy,,partial,Sailor Trilogy,True,
misc,Picassoid,,partial,Picassoid Collection,False,
per,Raphael Montanez Ortiz,exact,,Raphael Montanez Ortiz,True,
misc,Early Destruction,exact,,Early Destruction,False,
date,1957-1966,,,,False,
misc,Rockwell Kent by Night,,partial,Rockwell Kent,True,
per,Rockwell Kent,exact,,Rockwell Kent,False,
per,Willem de Kooning,exact,,Willem de Kooning,True,
misc,Door Cycle,exact,,Door Cycle,False,
per,Willem de Kooning,exact,,Willem de Kooning,True,
misc,Door Cycle,exact,,Door Cycle,False,
org,Colorado Springs Fine Arts Center,exact,,Colorado Springs Fine Arts Center,False,
date,"March 10-April 18,1976",,,,False,
per,Reynolds,exact,,Reynolds,False,
loc,NYC,exact,,NYC,False,
per,Conrad Marca-Relli,,partial,Condition Conrad Marca-Relli Conservation,False,
per,Bruce Conner,exact,,Bruce Conner,True,
per,Bruce Conner,exact,,Bruce Conner,True,
per,"DeFeo, Jay",,partial,DeFeo,False,
misc,The Rose,,partial,Rose,True,
per,"DeFeo, Jay",,partial,DeFeo,False,
misc,The Rose,,partial,Rose,True,
org,WMAA,,,,False,
loc,Berlin,exact,,Berlin,True,
loc,Paris,exact,,Paris,True,
org,WMAA,,,,False,
loc,Berlin,exact,,Berlin,True,
loc,Paris,exact,,Paris,True,
misc,Contemporary American Ceramics,,partial,Contemporary American,True,
misc,Contemporary American Prints and Drawings,,partial,Contemporary American,True,
org,Whitney Museum of American Art,,partial,Museum,False,
misc,Contemporary American Sculpture and Sculptor's Drawings,,partial,Contemporary American,True,
misc,1942 Annual of Sculpture,,,,False,
date,1942,,,,False,
misc,Between Two Wars,,partial,Wars,True,
misc,Contemporary American Sculpture: Selection I,,partial,Contemporary American,True,
misc,Contemporary American Sculpture: Selection II,,partial,Contemporary American,True,
misc,Contemporary Black Artists in America,,partial,Artists,True,
loc,America,exact,,America,True,
org,Pennsylvania Academy of Fine Arts,,partial,Fine Arts,False,
org,Detroit Institution of Art,,partial,Detroit Institution of Art Continuing Show,False,
org,Pennsylvania Academy of Fine Arts,,partial,Fine Arts,False,
org,Whitney,exact,,Whitney,False,
org,Fine Arts,exact,,Fine Arts,False,
org,national Gallery,,partial,National Gallery of Art,False,
loc,San Francisco,exact,,San Francisco,True,
per,Arturo Herrera,,partial,Arturo Herrera Correspondenc,True,
per,"Anastasi, William",,partial,Anastasi,False,
per,"Antin, Eleanor",,partial,Antin,False,
per,"Bochner, Mel",,partial,Bochner,True,
per,"Bourgeois, Louise",,partial,Bourgeois,True,
per,"Campus, Peter",,partial,Campus,True,
per,"Chalfont, Henry",,,,False,
per,Christo and Jeanne-Claude,,partial,Christo,True,
per,"Eisenman, Nicole",,partial,Eisenman,True,
per,"Frankenthaler, Helen",,partial,Frank,False,
per,"Hill, Gary",,partial,Hill,False,
per,"Holt, Nancy",,,,False,
per,"Johns, Jasper",,partial,Johns,False,
per,"Kosuth, Robert",,partial,Kosuth,False,
per,"Kozloff, Joyce",,,,False,
per,"Kushner, Robert",,partial,Kushner,True,
per,"Lewitt, Sol",,partial,Lewitt,True,
per,"Marden, Brice",,partial,Marden,False,
per,"Oldenburg, Claes",,partial,Oldenburg,False,
per,"Oursler, Tony",,partial,Oursler,True,
per,"Paik, Nam June",,partial,Nam June,True,
per,Pollock,,partial,Pollock Lenders Correspondence &amp; Loan Agreements,False,
per,Pollock,,partial,Pollock Lenders Correspondence &amp; Loan Agreements,False,
per,Pollock,,partial,Pollock Lenders Correspondence &amp; Loan Agreements,False,
per,Pollock,,partial,Pollock Lenders Correspondence &amp; Loan Agreements,False,
per,"Rauschenberg, Robert",,partial,Rauschenberg,False,
per,"Simmons, Gary",,,,False,
per,"Simmons, Laurie",,,,False,
per,"Spero, Nancy",,partial,Spero,False,
per,"Viola, Bill",,partial,Viola,False,
per,"Weiner, Lawrence",,partial,Lawrence,False,
org,Costopolous Foundation,,,,False,
org,Costopolous Foundation,,,,False,
per,"Steichen, Joanna",,partial,Joanna,True,
per,"Schrier, Sandy",,,,False,
misc,The Ballad of Sexual Dependency,,partial,Ballad of Sexual Dependency,True,
per,Alexander Calder,exact,,Alexander Calder,True,
per,Alexander Calder,exact,,Alexander Calder,True,
org,California Historical Society,,partial,California Historical Society Correspondence,False,
org,California Historical Society,,partial,California Historical Society Correspondence,False,
per,Chryssa,exact,,Chryssa,False,
per,Chryssa,exact,,Chryssa,False,
org,Exxon Corporation,exact,,Exxon Corporation,False,
org,Exxon Corporation,exact,,Exxon Corporation,False,
per,IBM,,partial,IBM Correspondence,False,
per,IBM,,partial,IBM Correspondence,False,
per,Norman Feder,exact,,Norman Feder,True,
per,Norman Feder,exact,,Norman Feder,True,
per,"Stein, Roger B.",,partial,Stein,False,
per,"Stein, Roger B.",,partial,Stein,False,
per,"Andre, Carl",,,,False,
org,Whitney,exact,,Whitney,False,
per,Bry/O'Keefe,,,,False,
date,"January 31, 1968",,,,False,
date,"June 24, 1970",,,,False,
org,Whitney,exact,,Whitney,False,
per,Bry/O'Keefe,,,,False,
date,"June 26, 1970",,,,False,
date,"August 20, 1971",,,,False,
org,Whitney,exact,,Whitney,False,
org,Smithsonian,exact,,Smithsonian,False,
per,"Craven, wayne",,,,False,
per,"Craven, Wayne",,,,False,
org,Worcester Art Museum,,partial,Museum,False,
org,City College,exact,,City College,False,
per,Walter Pach,exact,,Walter Pach,True,
per,Guston,exact,,Guston,False,
per,Tworkov,,partial,Tworkov Correspondence,True,
per,Hofmann,,partial,Hofmann Correspondence,True,
org,Museum of Graphic Art,,partial,Museum,False,
per,Weber,,partial,Weber Correspondence,False,
per,"Nevelson, Louise",,partial,Nevelson,False,
per,"Bloemink, Barbara",,partial,Barbara,False,
per,"Bloemink, Barbara",,partial,Barbara,False,
per,Carpenter,,,,False,
per,Coates,,,,False,
misc,Dollhouses,,,,False,
misc,Dollhouses,,,,False,
per,Jim Shaw,,partial,Jim Shaw Drawings Correspondence,True,
per,Jim Shaw,,partial,Jim Shaw Drawings Correspondence,True,
per,"Frank, Robert",,partial,Frank,False,
misc,Garbage Drawings,exact,,Garbage Drawings,False,
misc,Garbage Drawings,exact,,Garbage Drawings,False,
per,"Goldin, Nan",,partial,Goldin,True,
per,"Jenney, Neil",,partial,Jenney,False,
per,Jim Shaw,,partial,Jim Shaw Drawings Correspondence,True,
per,Jim Shaw,,partial,Jim Shaw Drawings Correspondence,True,
per,Kienholz,exact,,Kienholz,False,
per,M. Knoedler,,,,False,
per,"Marcus, Greil",,,,False,
per,"Myers, Scott",,,,False,
org,National Gallery of Art,exact,,National Gallery of Art,False,
loc,"Washington, D.C.",,partial,D.C.,True,
org,National Gallery of Art,exact,,National Gallery of Art,False,
loc,"Washington, D.C.",,partial,D.C.,True,
per,"Naumann, Francis",,partial,Francis,False,
per,"Naumann, Francis",,partial,Francis,False,
per,"Nevelson, Maria",,partial,Maria,False,
per,"Nevelson, Maria",,partial,Maria,False,
per,"Norton, Peter",,partial,Norton,False,
per,"Pandiscio, Richard",,partial,Richard,True,
per,"Papa, Anthony",,partial,Anthony,False,
per,"Stella, Joseph",,partial,Stella,False,
org,The Andy Warhol Museum,,partial,Museum,False,
org,The Andy Warhol Museum,,partial,Museum,False,
org,The Keith Haring Foundation,,partial,Keith Haring Foundation,False,
org,The Keith Haring Foundation,,partial,Keith Haring Foundation,False,
org,The Menil Collection,,partial,Menil Collection,False,
org,The Menil Collection,,partial,Menil Collection,False,
misc,The Parents Wedding Photos,,partial,Parents Wedding Photos,True,
org,The Shafrazi Gallery,,partial,Shafrazi Gallery,False,
org,Venturi and Rauch,,partial,Venturi,False,
org,Venturi and Rauch,,partial,Venturi,False,
misc,Arkansas,,,,False,
per,Frank Gillette,exact,,Frank Gillette,True,
misc,Laughing Boy,,,,False,
org,American Can Company,,partial,Correspondence-American Can Company Correspondence-Artists,False,
org,American Can Company,,partial,Correspondence-American Can Company Correspondence-Artists,False,
org,BMW,,,,False,
org,BMW,,,,False,
org,Braniff International,,partial,Correspondence-Braniff International Correspondence-Calder,False,
per,"Calder, Alexander",,partial,Alexander,True,
per,"Calder, Alexander",,partial,Alexander,True,
org,Champion International Corporation,,partial,Correspondence-Champion International Corporation Correspondence-Claus Oldenburg,False,
org,Champion International Corporation,,partial,Correspondence-Champion International Corporation Correspondence-Claus Oldenburg,False,
per,Claus Oldenburg,,partial,Correspondence-Champion International Corporation Correspondence-Claus Oldenburg,False,
per,"Crichton, Michael",,partial,Michael,False,
per,"Johns, Jasper",,partial,Johns,False,
org,Des Moines Art Center,,partial,Art Center,False,
per,Duane Hanson,,partial,Correspondence-Duane Hanson,True,
per,"Hayes, Peggy Calder",,partial,Peggy Calder,True,
per,"Hayes, Peggy Calder",,partial,Peggy Calder,True,
per,Helen Lundberg Feitelson,,partial,Peggy Calder Correspondence-Helen Lundberg Feitelson,True,
per,Joan Adams Mondale,,,,False,
org,Joseph E. Seagram  Sons Inc.,,,,False,
org,Joseph E. Seagram  Sons Inc.,,,,False,
per,Lipman,,partial,Jean Lipman-Research,True,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
loc,Los Angeles County Museum of Art,,partial,Museum,False,
per,Louise Nevelson,,partial,Nevelson,False,
org,M.H. deYoung Memorial Museum,,partial,Museum,False,
org,M.H. deYoung Memorial Museum,,partial,Museum,False,
per,"Mulnix, Nancy",,,,False,
per,Myron Stout,,partial,Correspondence-Myron Stout,True,
org,National Collection of Fine Arts Smithsonian Institution,,partial,Smithsonian,False,
loc,Washington DC,exact,,Washington DC,False,
org,National Collection of Fine Arts Smithsonian Institution,,partial,Smithsonian,False,
loc,Washington DC,exact,,Washington DC,False,
per,Richard Estes,,partial,Correspondence-Richard Estes,True,
org,"Sears, Roebuck and Co.",,,,False,
org,"Sears, Roebuck and Co.",,,,False,
org,Walker Art Center,,partial,Correspondence-Walker Art Center Correspondence-Westermann,False,
org,Walker Art Center,,partial,Correspondence-Walker Art Center Correspondence-Westermann,False,
per,"Westermann, H.C.",,,,False,
