type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Calder,,,,False,
misc,Calder's Circus,,,,False,
per,Calder,,,,False,
misc,Calder's Universe,,,,False,
loc,California,,,,False,
misc,California Dreaming,,,,False,
org,Canadian Centre for Architecture,,,,False,
misc,Carnival Strippers,,,,False,
per,Susan Meiselas,,,,False,
per,Paik,,,,False,
org,Akademie du Kunste,,,,False,
per,De Creeft,,,,False,
per,Robus,,,,False,
per,Burlin,,,,False,
per,"Moorman, Charlotte",,,,False,
per,Lincoln Kirstein,exact,,Lincoln Kirstein,False,
per,G. Coleman,,,,False,
per,Greene,,partial,Notes Greene,False,
per,De Rivera,exact,,De Rivera,False,
per,Henry Wilder Foote,,,,False,
per,Sawitzky,exact,,Sawitzky,False,
per,Lloyd Goodrich,,partial,Lloyd,False,
org,Booklist,,,,False,
per,Beale,,partial,Intro Beale,False,
per,"Blythe, L.G.",,,,False,
per,Burlin,,,,False,
date,1949,,,,False,
per,Lloyd Goodrich,,partial,Lloyd,False,
per,Knaths,,,,False,
per,Maurer,,,,False,
date,1963,,,,False,
date,1965,,,,False,
date,2965,,,,False,
per,Caesar,,,,False,
per,Gross,,,,False,
per,Rattner,,,,False,
per,Baur,,,,False,
org,Harvard University Press,,,,False,
per,De Rivera,exact,,De Rivera,False,
per,Greene,,partial,Notes Greene,False,
org,Virginia Robie,,partial,Virginia,False,
per,Waldo,,,,False,
org,Armory,exact,,Armory,False,
org,The Eight,,,,False,
org,Society for Independent Artists,,partial,Independent Artists,False,
org,Societe Anonyme,exact,,Societe Anonyme,False,
per,Barbara Parker,exact,,Barbara Parker,False,
org,MFA Boston,exact,,MFA Boston,False,
per,Lloyd Goodrich,,partial,Lloyd,False,
org,American Art Research Council,,partial,Research,False,
per,Lloyd Goodrich,,partial,Lloyd,False,
per,Tomlin Family,,,,False,
per,Caesar,,,,False,
per,Weber,,,,False,
per,Gross,,,,False,
per,Knaths,,,,False,
per,Lloyd Goodrich,,partial,Lloyd,False,
per,Marsh,,,,False,
per,MW,exact,,MW,False,
per,R. Irvine,,,,False,
per,Sheeler,,,,False,
per,Schnakenberg,,,,False,
per,Fiene,,,,False,
per,Ault,,,,False,
per,Speicher,,,,False,
per,Luce,,,,False,
per,Rattner,,,,False,
per,Lloyd Goodrich,,partial,Lloyd,False,
per,Rosenberg,,,,False,
per,Beth Venn,,,,False,
per,Betsy,,,,False,
per,Bloemink,,,,False,
misc,Dada,,,,False,
per,"Bhabha, Homi",,,,False,
per,"Fuchs, Rudi",,,,False,
per,Ross,,,,False,
per,Fuchs,,,,False,
per,Weinberg,,,,False,
per,Kelley,,,,False,
per,Nochlin,,,,False,
per,Sussman,,,,False,
per,Venn,,,,False,
per,Weinberg,,,,False,
