type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Calder,,partial,Peggy Calder,True,
misc,Calder's Circus,,,,False,
per,Calder,,partial,Peggy Calder,True,
misc,Calder's Universe,,partial,Universe,False,
loc,California,,partial,California Historical Society Correspondence,False,
misc,California Dreaming,,partial,Universe California Dreaming Canadian Centre for Architecture,False,
org,Canadian Centre for Architecture,,partial,Universe California Dreaming Canadian Centre for Architecture,True,
misc,Carnival Strippers,,,,False,
per,Susan Meiselas,,partial,Susan Meiselas Catalog - Draft,True,
per,Paik,,partial,RESTRICTED Correspondence & Loan Agreements - Paik,False,
org,Akademie du Kunste,exact,,Akademie du Kunste,False,
per,De Creeft,,,,False,
per,Robus,,,,False,
per,Burlin,exact,,Burlin,False,
per,"Moorman, Charlotte",,,,False,
per,Lincoln Kirstein,exact,,Lincoln Kirstein,True,
per,G. Coleman,exact,,G. Coleman,True,
per,Greene,,partial,Research (Greene),False,
per,De Rivera,,,,False,
per,Henry Wilder Foote,exact,,Henry Wilder Foote,True,
per,Sawitzky,exact,,Sawitzky,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
org,Booklist,,,,False,
per,Beale,,partial,Beale),False,
per,"Blythe, L.G.",,partial,L.G.,True,
per,Burlin,exact,,Burlin,False,
date,1949,,partial,2)1949,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Knaths,,,,False,
per,Maurer,exact,,Maurer,False,
date,1963,,,,False,
date,1965,,,,False,
date,2965,,,,False,
per,Caesar,,partial,Catalogue Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations with Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/,False,
per,Gross,,partial,Catalogue Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations with Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/,False,
per,Rattner,,partial,Rattner Catalogue Drafts,False,
per,Baur,,partial,Catalogue Memoranda Catalogue Notes Catalogue Production and Baur's,False,
org,Harvard University Press,,partial,Harvard University Press Catalogue Production/Correspondence Catalogue Production/Drafts and Development,True,
per,De Rivera,,,,False,
per,Greene,,partial,Research (Greene),False,
org,Virginia Robie,,partial,Robie,False,
per,Waldo,exact,,Waldo,True,
org,Armory,,,,False,
org,The Eight,,,,False,
org,Society for Independent Artists,exact,,Society for Independent Artists,True,
org,Societe Anonyme,exact,,Societe Anonyme,False,
per,Barbara Parker,exact,,Barbara Parker,True,
org,MFA Boston,,partial,Boston,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
org,American Art Research Council,,partial,America,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Tomlin Family,,partial,Correspondence with Tomlin Family),False,
per,Caesar,,partial,Catalogue Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations with Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/,False,
per,Weber,,partial,Catalogue Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations with Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/,False,
per,Gross,,partial,Catalogue Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations with Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/,False,
per,Knaths,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Marsh,,partial,Richard Marshall Catalogue,True,
per,MW,exact,,MW,False,
per,R. Irvine,exact,,R. Irvine,True,
per,Sheeler,exact,,Sheeler,False,
per,Schnakenberg,exact,,Schnakenberg,False,
per,Fiene,exact,,Fiene,False,
per,Ault,exact,,Ault,True,
per,Speicher,exact,,Speicher,False,
per,Luce,,partial,Luce),False,
per,Rattner,,partial,Rattner Catalogue Drafts,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Rosenberg,,partial,Parc Rosenberg,True,
per,Beth Venn,,partial,Beth Venn Essay Catalogue,True,
per,Betsy,exact,,Betsy,True,
per,Bloemink,,partial,"Correspondence, Authentication Correspondence, Bloemink",False,
misc,Dada,,partial,Dada Dictionary Catalogue,False,
per,"Bhabha, Homi",,,,False,
per,"Fuchs, Rudi",,partial,Fuchs,False,
per,Ross,,partial,Interview Ross,True,
per,Fuchs,exact,,Fuchs,False,
per,Weinberg,exact,,Weinberg,False,
per,Kelley,,partial,Kelley Resume Catalogue,False,
per,Nochlin,,partial,Nochlin Essay Catalogue,False,
per,Sussman,,partial,Sussman Essay Catalogue,True,
per,Venn,,partial,Venn Drafts Catalogue,False,
per,Weinberg,exact,,Weinberg,False,
per,Bloom,,partial,Blooms,False,
per,Bloom,,partial,Blooms,False,
per,Gail Scott,exact,,Gail Scott,True,
per,James Speyer,exact,,James Speyer,True,
per,Stanley Johnson,exact,,Stanley Johnson,True,
org,Voice of America,exact,,Voice of America,True,
per,Leo Steinberg,exact,,Leo Steinberg,True,
per,Levine,,partial,Catalogue-Levine,False,
org,ICA,exact,,ICA,True,
per,Levine,,partial,Catalogue-Levine,False,
loc,Lichtenstein,,partial,Stein,False,
misc,Calder's Universe,,partial,Universe,False,
per,Jean Lipman,,partial,Jean Lipman-Research,True,
misc,Calder's Universe,,partial,Universe,False,
per,Jean Lipman,,partial,Jean Lipman-Research,True,
org,"Harry N. Abrams, Inc.",,partial,Harry N. Abrams,False,
per,Harry N. Abrams,exact,,Harry N. Abrams,True,
org,European institutions,,partial,European,False,
org,European institutions,,partial,European,False,
per,Richard Marshall,,partial,Richard,True,
per,Robert Rosenblum,exact,,Robert Rosenblum,True,
per,Robert Rosenblum,exact,,Robert Rosenblum,True,
per,Henry Allan Moe,,partial,Allan,True,
