type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Calder,exact,,Calder,True,
misc,Calder's Circus,,partial,Calder,False,
per,Calder,exact,,Calder,True,
misc,Calder's Universe,,partial,Calder,False,
loc,California,,partial,California Historical Society,False,
misc,California Dreaming,exact,,California Dreaming,True,
org,Canadian Centre for Architecture,,,,False,
misc,Carnival Strippers,,partial,Carnival,True,
per,Susan Meiselas,exact,,Susan Meiselas,False,
per,Paik,,,,False,
org,Akademie du Kunste,,,,False,
per,De Creeft,,,,False,
per,Robus,,,,False,
per,Burlin,,,,False,
per,"Moorman, Charlotte",,,,False,
per,Lincoln Kirstein,exact,,Lincoln Kirstein,True,
per,G. Coleman,,,,False,
per,Greene,,,,False,
per,De Rivera,,,,False,
per,Henry Wilder Foote,,,,False,
per,Sawitzky,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
org,Booklist,exact,,Booklist,False,
per,Beale,,,,False,
per,"Blythe, L.G.",,,,False,
per,Burlin,,,,False,
date,1949,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Knaths,,,,False,
per,Maurer,,,,False,
date,1963,,,,False,
date,1965,,,,False,
date,2965,,,,False,
per,Caesar,exact,,Caesar,True,
per,Gross,,,,False,
per,Rattner,,,,False,
per,Baur,,,,False,
org,Harvard University Press,exact,,Harvard University Press,True,
per,De Rivera,,,,False,
per,Greene,,,,False,
org,Virginia Robie,,,,False,
per,Waldo,exact,,Waldo,False,
org,Armory,,partial,Armory Show,False,
org,The Eight,exact,,The Eight,False,
org,Society for Independent Artists,,,,False,
org,Societe Anonyme,,,,False,
per,Barbara Parker,,,,False,
org,MFA Boston,,partial,Boston,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
org,American Art Research Council,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Tomlin Family,,,,False,
per,Caesar,exact,,Caesar,True,
per,Weber,,,,False,
per,Gross,,,,False,
per,Knaths,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Marsh,,,,False,
per,MW,,,,False,
per,R. Irvine,,partial,Irvine,False,
per,Sheeler,,,,False,
per,Schnakenberg,,,,False,
per,Fiene,,,,False,
per,Ault,,,,False,
per,Speicher,,,,False,
per,Luce,,,,False,
per,Rattner,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,False,
per,Rosenberg,,partial,Rose,False,
per,Beth Venn,,,,False,
per,Betsy,,,,False,
per,Bloemink,,,,False,
misc,Dada,exact,,Dada,True,
per,"Bhabha, Homi",,,,False,
per,"Fuchs, Rudi",,,,False,
per,Ross,,,,False,
per,Fuchs,,,,False,
per,Weinberg,,,,False,
per,Kelley,,,,False,
per,Nochlin,,,,False,
per,Sussman,,,,False,
per,Venn,,,,False,
per,Weinberg,,,,False,
per,Bloom,,,,False,
per,Bloom,,,,False,
per,Gail Scott,,,,False,
per,James Speyer,exact,,James Speyer,True,
per,Stanley Johnson,exact,,Stanley Johnson,False,
org,Voice of America,,,,False,
per,Leo Steinberg,,,,False,
per,Levine,,,,False,
org,ICA,,partial,Warner Communications,True,
per,Levine,,,,False,
loc,Lichtenstein,,,,False,
misc,Calder's Universe,,partial,Calder,False,
per,Jean Lipman,,,,False,
misc,Calder's Universe,,partial,Calder,False,
per,Jean Lipman,,,,False,
org,"Harry N. Abrams, Inc.",,,,False,
per,Harry N. Abrams,,,,False,
org,European institutions,,,,False,
org,European institutions,,,,False,
per,Richard Marshall,,,,False,
per,Robert Rosenblum,exact,,Robert Rosenblum,False,
per,Robert Rosenblum,exact,,Robert Rosenblum,False,
per,Henry Allan Moe,,,,False,
per,Diller,,,,False,
per,Diller,,,,False,
misc,Beat Culture: Road Show,,,,False,
date,16 May 1996,,,,False,
per,Charles Burchfield,,,,False,
per,Charles Burchfield,,,,False,
per,Charles Demuth,,,,False,
misc,Charles Demuth Memorial Exhibition,,,,False,
per,Charles Demuth,,,,False,
per,Charles Garabedian,,,,False,
per,Charles Ray,,,,False,
per,Charles Schucker,,,,False,
per,Charles Sheeler,,,,False,
per,Charles Sheeler,,,,False,
per,Charles Sheeler,,,,False,
org,Museum für Moderne Kunst,exact,,Museum für Moderne Kunst,False,
org,Walker Art Center,,,,False,
org,WMAA,,,,False,
date,pre-20th century,,,,False,
per,LG,,,,False,
org,Met,,,,False,
misc,Life in America,,,,False,
org,Corcoran,,,,False,
org,Whitney,exact,,Whitney,False,
date,August 1998,,,,False,
org,Hirschl  Adler Gallery,,,,False,
per,Jim Shaw,exact,,Jim Shaw,False,
org,Macmillan,,,,False,
