type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Calder,,partial,Peggy Calder Correspondence-Helen Lundberg Feitelson,True,
misc,Calder's Circus,,,,False,
per,Calder,,partial,Peggy Calder Correspondence-Helen Lundberg Feitelson,True,
misc,Calder's Universe,,partial,Circus Calder's Universe California Dreaming Canadian Centre for Architecture,False,
loc,California,exact,,California,True,
misc,California Dreaming,,partial,California,False,
org,Canadian Centre for Architecture,,partial,Circus Calder's Universe California Dreaming Canadian Centre for Architecture,True,
misc,Carnival Strippers,,,,False,
per,Susan Meiselas,exact,,Susan Meiselas,True,
per,Paik,exact,,Paik,False,
org,Akademie du Kunste,,,,False,
per,De Creeft,,,,False,
per,Robus,,,,False,
per,Burlin,exact,,Burlin,True,
per,"Moorman, Charlotte",,partial,Moorman,True,
per,Lincoln Kirstein,exact,,Lincoln Kirstein,False,
per,G. Coleman,,,,False,
per,Greene,exact,,Greene,True,
per,De Rivera,,partial,Rivera,True,
per,Henry Wilder Foote,exact,,Henry Wilder Foote,True,
per,Sawitzky,,,,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
org,Booklist,exact,,Booklist,False,
per,Beale,exact,,Beale,True,
per,"Blythe, L.G.",,partial,L.G.,False,
per,Burlin,exact,,Burlin,True,
date,1949,exact,,1949,True,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Knaths,,partial,Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/Knaths Catalogue Research/Lloyd Goodrich,False,
per,Maurer,exact,,Maurer,True,
date,1963,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
date,1965,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
date,2965,,,,False,
per,Caesar,,partial,Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations,False,
per,Gross,,partial,Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/Knaths Catalogue Research/Lloyd Goodrich,False,
per,Rattner,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
per,Baur,exact,,Baur,True,
org,Harvard University Press,,partial,Harvard University Press Catalogue Production/Correspondence Catalogue,True,
per,De Rivera,,partial,Rivera,True,
per,Greene,exact,,Greene,True,
org,Virginia Robie,exact,,Virginia Robie,False,
per,Waldo,,,,False,
org,Armory,,partial,Armory Show,True,
org,The Eight,,,,False,
org,Society for Independent Artists,,,,False,
org,Societe Anonyme,exact,,Societe Anonyme,True,
per,Barbara Parker,exact,,Barbara Parker,True,
org,MFA Boston,,partial,Boston,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
org,American Art Research Council,,partial,America,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Tomlin Family,exact,,Tomlin Family,False,
per,Caesar,,partial,Research/Bibliography Catalogue Research/Biographical Information on Artists Catalogue Research/Biographical Catalogue Research/Caesar Catalogue Research/Chiefly Biographical Catalogue Research/Conversations,False,
per,Weber,,partial,Weber Correspondence,False,
per,Gross,,partial,Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/Knaths Catalogue Research/Lloyd Goodrich,False,
per,Knaths,,partial,Weber Catalogue Research/Correspondence Catalogue Research/Gross Catalogue Research/Knaths Catalogue Research/Lloyd Goodrich,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Marsh,,partial,Richard Marshall,True,
per,MW,,,,False,
per,R. Irvine,,partial,Irvine,False,
per,Sheeler,exact,,Sheeler,True,
per,Schnakenberg,exact,,Schnakenberg,True,
per,Fiene,exact,,Fiene,True,
per,Ault,exact,,Ault,False,
per,Speicher,exact,,Speicher,True,
per,Luce,exact,,Luce,True,
per,Rattner,,partial,Research Catalogue Drafts/1963 Catalogue Drafts/1965 Part 1 Catalogue Drafts/1965 Part 2 Catalogue Drafts/Caesar Catalogue Drafts/Gross Catalogue Drafts/Rattner Catalogue Drafts,False,
per,Lloyd Goodrich,exact,,Lloyd Goodrich,True,
per,Rosenberg,,partial,Lloyd Goodrich/Rosenberg Notebook,False,
per,Beth Venn,exact,,Beth Venn,True,
per,Betsy,exact,,Betsy,True,
per,Bloemink,exact,,Bloemink,True,
misc,Dada,,,,False,
per,"Bhabha, Homi",,,,False,
per,"Fuchs, Rudi",,partial,Rudi,True,
per,Ross,,partial,Interview Ross,False,
per,Fuchs,exact,,Fuchs,True,
per,Weinberg,exact,,Weinberg,True,
per,Kelley,,partial,Kelley Resume Catalogue,False,
per,Nochlin,,partial,Nochlin Essay Catalogue,False,
per,Sussman,exact,,Sussman,True,
per,Venn,,partial,Beth Venn,True,
per,Weinberg,exact,,Weinberg,True,
per,Bloom,,,,False,
per,Bloom,,,,False,
per,Gail Scott,exact,,Gail Scott,True,
per,James Speyer,exact,,James Speyer,True,
per,Stanley Johnson,exact,,Stanley Johnson,True,
org,Voice of America,exact,,Voice of America,True,
per,Leo Steinberg,,partial,Stein,True,
per,Levine,,,,False,
org,ICA,exact,,ICA,True,
per,Levine,,,,False,
loc,Lichtenstein,,partial,Stein,False,
misc,Calder's Universe,,partial,Circus Calder's Universe California Dreaming Canadian Centre for Architecture,False,
per,Jean Lipman,,partial,Jean Lipman-Research,True,
misc,Calder's Universe,,partial,Circus Calder's Universe California Dreaming Canadian Centre for Architecture,False,
per,Jean Lipman,,partial,Jean Lipman-Research,True,
org,"Harry N. Abrams, Inc.",exact,,"Harry N. Abrams, Inc.",True,
per,Harry N. Abrams,,partial,"Harry N. Abrams, Inc.",False,
org,European institutions,,,,False,
org,European institutions,,,,False,
per,Richard Marshall,exact,,Richard Marshall,True,
per,Robert Rosenblum,exact,,Robert Rosenblum,True,
per,Robert Rosenblum,exact,,Robert Rosenblum,True,
per,Henry Allan Moe,exact,,Henry Allan Moe,True,
per,Diller,exact,,Diller,True,
per,Diller,exact,,Diller,True,
misc,Beat Culture: Road Show,,,,False,
date,16 May 1996,,partial,May 1996,True,
per,Charles Burchfield,exact,,Charles Burchfield,True,
per,Charles Burchfield,exact,,Charles Burchfield,True,
per,Charles Demuth,,partial,Charles Demuth Charles Garabedian Charles Ray Charles Schucker,True,
misc,Charles Demuth Memorial Exhibition,,,,False,
per,Charles Demuth,,partial,Charles Demuth Charles Garabedian Charles Ray Charles Schucker,True,
per,Charles Garabedian,,partial,Charles Demuth Charles Garabedian Charles Ray Charles Schucker,True,
per,Charles Ray,,partial,Charles Demuth Charles Garabedian Charles Ray Charles Schucker,True,
per,Charles Schucker,,partial,Charles Demuth Charles Garabedian Charles Ray Charles Schucker,True,
per,Charles Sheeler,exact,,Charles Sheeler,True,
per,Charles Sheeler,exact,,Charles Sheeler,True,
per,Charles Sheeler,exact,,Charles Sheeler,True,
org,Museum für Moderne Kunst,,,,False,
org,Walker Art Center,,,,False,
org,WMAA,,,,False,
date,pre-20th century,,,,False,
per,LG,exact,,LG,False,
org,Met,,,,False,
misc,Life in America,,partial,America,False,
org,Corcoran,,partial,Corcoran Catalogue,False,
org,Whitney,exact,,Whitney,False,
date,August 1998,exact,,August 1998,True,
org,Hirschl  Adler Gallery,,partial,Hirschl  Adler Gallery Checklists,True,
per,Jim Shaw,exact,,Jim Shaw,True,
org,Macmillan,exact,,Macmillan,False,
per,Simon,,partial,Simon Checklists,True,
per,Nast,,partial,Anastasi,True,
per,Greene,exact,,Greene,True,
per,De Rivera,,partial,Rivera,True,
per,Mrs. Tucker,,partial,Tucker,True,
per,Christensen,,partial,Paintings Checklists Christensen,True,
misc,A Panorama of Mormon Life,,,,False,
per,Chryssa,,partial,Chryssa Correspondence,False,
misc,Selected Prints and Drawings,,,,False,
date,1959-1962,,,,False,
per,Cindy Sherman,,partial,Cindy Sherman Claes Oldenburg Drawings,True,
per,Claes Oldenburg,,partial,Oldenburg,True,
per,Claes Oldenburg,,partial,Oldenburg,True,
date,1959-1977,,,,False,
per,Claire Zeisler,exact,,Claire Zeisler,True,
per,Neil Jenney,,partial,Neil,True,
misc,Natural Rationalism,,,,False,
date,1948,exact,,1948,True,
misc,A Year from the Collection,,,,False,
date,1952,exact,,1952,True,
per,Breuer,exact,,Breuer,True,
org,Whitney,exact,,Whitney,False,
misc,An Anniversary Exhibition,,,,False,
per,Gertrude Vanderbilt Whitney,exact,,Gertrude Vanderbilt Whitney,True,
misc,Printmaker's Patron,,,,False,
per,Gertrude Vanderbilt Whitney,exact,,Gertrude Vanderbilt Whitney,True,
misc,Printmaker's Patron,,,,False,
per,Joseph Cornell,,partial,Joseph Cornell Cosmic Travels Collection,False,
misc,Cosmic Travels,,partial,Joseph Cornell Cosmic Travels Collection,False,
per,Paul Cadmus,exact,,Paul Cadmus,True,
misc,The Sailor Trilogy,,partial,The Sailor Trilogy Collection,False,
per,Paul Cadmus,exact,,Paul Cadmus,True,
misc,The Sailor Trilogy,,partial,The Sailor Trilogy Collection,False,
misc,Picassoid,,,,False,
per,Raphael Montanez Ortiz,exact,,Raphael Montanez Ortiz,True,
misc,Early Destruction,,,,False,
date,1957-1966,exact,,1957-1966,True,
misc,Rockwell Kent by Night,,partial,Rockwell Kent by Night Collection,False,
per,Rockwell Kent,,partial,Rockwell Kent by Night Collection,False,
per,Willem de Kooning,exact,,Willem de Kooning,False,
misc,Door Cycle,,partial,Willem de Kooning's Door Cycle Collector,False,
per,Willem de Kooning,exact,,Willem de Kooning,False,
misc,Door Cycle,,partial,Willem de Kooning's Door Cycle Collector,False,
org,Colorado Springs Fine Arts Center,,partial,Colorado Springs,False,
date,"March 10-April 18,1976",,partial,March 10-April,True,
per,Reynolds,exact,,Reynolds,True,
loc,NYC,exact,,NYC,False,
per,Conrad Marca-Relli,,partial,Publicity Condition Conrad Marca-Relli Conservation,False,
per,Bruce Conner,exact,,Bruce Conner,True,
per,Bruce Conner,exact,,Bruce Conner,True,
per,"DeFeo, Jay",,partial,DeFeo,True,
misc,The Rose,,,,False,
per,"DeFeo, Jay",,partial,DeFeo,True,
misc,The Rose,,,,False,
org,WMAA,,,,False,
loc,Berlin,exact,,Berlin,True,
loc,Paris,exact,,Paris,True,
org,WMAA,,,,False,
loc,Berlin,exact,,Berlin,True,
loc,Paris,exact,,Paris,True,
misc,Contemporary American Ceramics,,partial,Lists Contemporary American Ceramics Contemporary American Prints,False,
misc,Contemporary American Prints and Drawings,,partial,America,False,
org,Whitney Museum of American Art,,partial,Whitney Museum of American Art Contemporary American Sculpture,True,
misc,Contemporary American Sculpture and Sculptor's Drawings,,partial,America,False,
misc,1942 Annual of Sculpture,,,,False,
date,1942,,,,False,
misc,Between Two Wars,,,,False,
misc,Contemporary American Sculpture: Selection I,,partial,America,False,
misc,Contemporary American Sculpture: Selection II,,partial,America,False,
misc,Contemporary Black Artists in America,,partial,America,False,
loc,America,exact,,America,True,
org,Pennsylvania Academy of Fine Arts,exact,,Pennsylvania Academy of Fine Arts,True,
org,Detroit Institution of Art,,partial,Detroit,False,
org,Pennsylvania Academy of Fine Arts,exact,,Pennsylvania Academy of Fine Arts,True,
org,Whitney,exact,,Whitney,False,
org,Fine Arts,,partial,Pennsylvania Academy of Fine Arts,True,
org,national Gallery,exact,,National Gallery,True,
loc,San Francisco,,partial,Francis,False,
per,Arturo Herrera,,partial,Arturo Herrera Correspondenc,True,
per,"Anastasi, William",,partial,Anastasi,True,
per,"Antin, Eleanor",,partial,Antin,True,
per,"Bochner, Mel",,partial,Bochner,True,
per,"Bourgeois, Louise",,partial,Bourgeois,False,
per,"Campus, Peter",,partial,Peter,True,
per,"Chalfont, Henry",,partial,Chalfont,False,
per,Christo and Jeanne-Claude,,partial,Christo,False,
per,"Eisenman, Nicole",,partial,Eisenman,True,
per,"Frankenthaler, Helen",,partial,Frank,True,
per,"Hill, Gary",,partial,Gary,True,
per,"Holt, Nancy",,partial,Nancy,True,
per,"Johns, Jasper",,partial,Jasper,True,
per,"Kosuth, Robert",,partial,Kosuth,True,
per,"Kozloff, Joyce",,partial,Joyce,True,
per,"Kushner, Robert",,partial,Kushner,True,
per,"Lewitt, Sol",,partial,Lewitt,True,
per,"Marden, Brice",,partial,Marden,True,
per,"Oldenburg, Claes",,partial,Oldenburg,True,
per,"Oursler, Tony",,partial,Oursler,True,
per,"Paik, Nam June",,partial,June,False,
per,Pollock,,partial,Pollock Lenders Correspondence & Loan Agreements,False,
per,Pollock,,partial,Pollock Lenders Correspondence & Loan Agreements,False,
per,Pollock,,partial,Pollock Lenders Correspondence & Loan Agreements,False,
per,Pollock,,partial,Pollock Lenders Correspondence & Loan Agreements,False,
per,"Rauschenberg, Robert",,partial,Rauschenberg,True,
per,"Simmons, Gary",,partial,Gary,True,
per,"Simmons, Laurie",,partial,Laurie,True,
per,"Spero, Nancy",,partial,Spero,True,
per,"Viola, Bill",,partial,Viola,True,
per,"Weiner, Lawrence",,partial,Weiner,True,
org,Costopolous Foundation,exact,,Costopolous Foundation,True,
org,Costopolous Foundation,exact,,Costopolous Foundation,True,
per,"Steichen, Joanna",,partial,Joanna,True,
per,"Schrier, Sandy",,partial,Sandy,True,
misc,The Ballad of Sexual Dependency,,,,False,
per,Alexander Calder,,partial,Alexander,True,
per,Alexander Calder,,partial,Alexander,True,
org,California Historical Society,,partial,California Historical Society Correspondence,True,
org,California Historical Society,,partial,California Historical Society Correspondence,True,
per,Chryssa,,partial,Chryssa Correspondence,False,
per,Chryssa,,partial,Chryssa Correspondence,False,
org,Exxon Corporation,,partial,Exxon Corporation Correspondence,True,
org,Exxon Corporation,,partial,Exxon Corporation Correspondence,True,
per,IBM,exact,,IBM,False,
per,IBM,exact,,IBM,False,
per,Norman Feder,exact,,Norman Feder,True,
per,Norman Feder,exact,,Norman Feder,True,
per,"Stein, Roger B.",,partial,Roger B.,True,
per,"Stein, Roger B.",,partial,Roger B.,True,
per,"Andre, Carl",,partial,Carl,True,
org,Whitney,exact,,Whitney,False,
per,Bry/O'Keefe,,partial,Keefe,True,
date,"January 31, 1968",exact,,"January 31, 1968",True,
date,"June 24, 1970",exact,,"June 24, 1970",True,
org,Whitney,exact,,Whitney,False,
per,Bry/O'Keefe,,partial,Keefe,True,
date,"June 26, 1970",exact,,"June 26, 1970",True,
date,"August 20, 1971",exact,,"August 20, 1971",True,
org,Whitney,exact,,Whitney,False,
org,Smithsonian,exact,,Smithsonian,True,
per,"Craven, wayne",,partial,Craven,True,
per,"Craven, Wayne",,partial,Craven,True,
org,Worcester Art Museum,,partial,Worcester,False,
org,City College,exact,,City College,True,
per,Walter Pach,exact,,Walter Pach,True,
per,Guston,exact,,Guston,True,
per,Tworkov,,partial,Tworkov Correspondence,False,
per,Hofmann,,partial,Hofmann Correspondence,False,
org,Museum of Graphic Art,,,,False,
per,Weber,,partial,Weber Correspondence,False,
per,"Nevelson, Louise",,partial,Nevelson,True,
per,"Bloemink, Barbara",,partial,Bloemink,True,
per,"Bloemink, Barbara",,partial,Bloemink,True,
per,Carpenter,exact,,Carpenter,True,
per,Coates,exact,,Coates,True,
misc,Dollhouses,,,,False,
misc,Dollhouses,,,,False,
per,Jim Shaw,exact,,Jim Shaw,True,
per,Jim Shaw,exact,,Jim Shaw,True,
per,"Frank, Robert",,partial,Frank,True,
misc,Garbage Drawings,,,,False,
misc,Garbage Drawings,,,,False,
per,"Goldin, Nan",,partial,Goldin,True,
per,"Jenney, Neil",,partial,Neil,True,
per,Jim Shaw,exact,,Jim Shaw,True,
per,Jim Shaw,exact,,Jim Shaw,True,
per,Kienholz,exact,,Kienholz,True,
per,M. Knoedler,,partial,M. Knoedler  Company,False,
per,"Marcus, Greil",,partial,Marcus,True,
per,"Myers, Scott",,partial,Scott,True,
org,National Gallery of Art,exact,,National Gallery of Art,True,
loc,"Washington, D.C.",,partial,D.C.,True,
org,National Gallery of Art,exact,,National Gallery of Art,True,
loc,"Washington, D.C.",,partial,D.C.,True,
per,"Naumann, Francis",,partial,Francis,True,
per,"Naumann, Francis",,partial,Francis,True,
per,"Nevelson, Maria",,partial,Maria,False,
per,"Nevelson, Maria",,partial,Maria,False,
per,"Norton, Peter",,partial,Peter,True,
per,"Pandiscio, Richard",,partial,Richard,True,
per,"Papa, Anthony",,partial,Anthony,True,
per,"Stella, Joseph",,partial,Stella,True,
org,The Andy Warhol Museum,,partial,Andy Warhol,False,
org,The Andy Warhol Museum,,partial,Andy Warhol,False,
org,The Keith Haring Foundation,,partial,Keith Haring,False,
org,The Keith Haring Foundation,,partial,Keith Haring,False,
org,The Menil Collection,exact,,The Menil Collection,True,
org,The Menil Collection,exact,,The Menil Collection,True,
misc,The Parents Wedding Photos,,,,False,
org,The Shafrazi Gallery,,partial,Shafrazi,False,
org,Venturi and Rauch,,partial,Rauch,False,
org,Venturi and Rauch,,partial,Rauch,False,
misc,Arkansas,exact,,Arkansas,False,
per,Frank Gillette,exact,,Frank Gillette,False,
misc,Laughing Boy,,,,False,
org,American Can Company,,partial,America,False,
org,American Can Company,,partial,America,False,
org,BMW,,,,False,
org,BMW,,,,False,
org,Braniff International,,,,False,
per,"Calder, Alexander",,partial,Alexander,True,
per,"Calder, Alexander",,partial,Alexander,True,
org,Champion International Corporation,,,,False,
org,Champion International Corporation,,,,False,
per,Claus Oldenburg,,partial,Oldenburg,True,
per,"Crichton, Michael",,partial,Michael,True,
per,"Johns, Jasper",,partial,Jasper,True,
org,Des Moines Art Center,,,,False,
per,Duane Hanson,,,,False,
per,"Hayes, Peggy Calder",,partial,Peggy Calder,True,
per,"Hayes, Peggy Calder",,partial,Peggy Calder,True,
per,Helen Lundberg Feitelson,,partial,Peggy Calder Correspondence-Helen Lundberg Feitelson,True,
per,Joan Adams Mondale,,,,False,
org,Joseph E. Seagram  Sons Inc.,,partial,Inc.,True,
org,Joseph E. Seagram  Sons Inc.,,partial,Inc.,True,
